time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3996,1,,,,,,,,,,,,,
1024,0,1974,2,-43.980894327163696,-0.028318047523498535,0.282470703125,0.13142453547698096,16,0.0004092704424510632,0.2,0.017644223,-0.04282805696129799,0.9994040727615356,-0.034500346693675965,,
1536,0,1674,3,-43.991843581199646,0.0064656734466552734,0.291748046875,0.00296961788990302,32,0.0004092704424510632,0.2,0.024678696,-0.04795084148645401,1.0014503002166748,-0.03539485541114118,-2.45789,1223.0
2048,1,1555,4,-44.03873038291931,0.0015236735343933105,0.216064453125,0.005205458641285077,48,0.0004092704424510632,0.2,0.016332276,-0.02217504195868969,1.0015244483947754,-0.023312291232286952,-2.45789,1223.0
2560,1,1489,5,-44.02274036407471,0.003492116928100586,0.23486328125,0.001866872427854105,64,0.0004092704424510632,0.2,0.014612409,-0.04292508214712143,1.0011016130447388,-0.0234069323487347,-2.5691189999999997,1223.0
3072,2,1453,6,-44.01572346687317,-0.00016963481903076172,0.25830078125,0.009250106362742372,80,0.0004092704424510632,0.2,0.018279927,-0.035209089517593384,1.0008320808410645,-0.027221946831559762,-2.5691189999999997,1223.0
3584,2,1430,7,-44.005433320999146,-0.0012159347534179688,0.271728515625,0.0024614416615804657,96,0.0004092704424510632,0.2,0.021193989,-0.030486542731523514,1.0006095170974731,-0.0295219074760098,-2.5691189999999997,1223.0
4096,2,1409,8,-43.98181879520416,0.0018166303634643555,0.1871337890625,0.0024821177757985424,112,0.0004092704424510632,0.2,0.0129191335,-0.03690642490983009,0.9993289709091187,-0.024556200063670985,-2.523744333333333,1223.0
4608,3,1393,9,-43.97838890552521,0.0013598203659057617,0.2730712890625,0.02106343279592693,128,0.0004092704424510632,0.2,0.022497129,-0.04521799832582474,1.0011317729949951,-0.03146964134066366,-2.523744333333333,1223.0
5120,3,1379,10,-44.010454535484314,0.010139405727386475,0.2734375,0.0020267065101506887,144,0.0004092704424510632,0.2,0.023275346,-0.03706458583474159,1.000464677810669,-0.02689854463096708,-2.52698525,1223.0
5632,4,1368,11,-44.00951611995697,0.0009056329727172852,0.21435546875,0.030380482494365424,160,0.0004092704424510632,0.2,0.016551878,-0.020510233938694,1.0021333694458008,-0.024334054425708018,-2.52698525,1223.0
6144,4,1359,12,-44.060728311538696,-8.368492126464844e-05,0.2364501953125,0.0017530421628180193,176,0.0004092704424510632,0.2,0.018431835,-0.029625549912452698,1.0025441646575928,-0.026248961745295674,-2.5309518,1223.0
6656,4,1352,13,-44.05840599536896,0.0008396506309509277,0.2418212890625,0.03511054185219109,192,0.0004092704424510632,0.2,0.018457899,-0.009480204433202744,1.0028516054153442,-0.024752698227530345,-2.5309518,1223.0
7168,5,1348,14,-44.065348863601685,-7.56978988647461e-05,0.1910400390625,0.003010076379723614,208,0.0004092704424510632,0.2,0.015919264,-0.034575365483760834,1.0025994777679443,-0.023782131931511685,-2.5309518,1223.0
7680,5,1343,15,-44.06641328334808,-0.0007711648941040039,0.2041015625,0.0026339333089708816,224,0.0004092704424510632,0.2,0.014844172,-0.03936170041561127,1.003645420074463,-0.023977232500328682,-2.5309261666666667,1223.0
8192,6,1339,16,-44.13044333457947,0.0009829998016357422,0.2264404296875,0.04933152301236987,240,0.0004092704424510632,0.2,0.021232218,-0.010936891660094261,1.0066922903060913,-0.028420300179277547,-2.5309261666666667,1223.0
8704,6,1332,17,-44.19787538051605,0.0010210275650024414,0.244140625,0.001981355046154931,256,0.0004092704424510632,0.2,0.019146439,-0.04127997159957886,1.007182002067566,-0.027760848563048057,-2.5216775714285715,1223.0
9216,6,1329,18,-44.18895101547241,0.0009931325912475586,0.2623291015625,0.05781543720513582,272,0.0004092704424510632,0.2,0.0245431,-0.009509775787591934,1.0066907405853271,-0.028753481165040284,-2.5216775714285715,1223.0
9728,7,1325,19,-44.17012166976929,0.002288639545440674,0.213623046875,0.0018814265131368302,288,0.0004092704424510632,0.2,0.013749201,-0.03303960710763931,1.0055733919143677,-0.02685536451463122,-2.5216775714285715,1223.0
10240,7,1322,20,-44.153250217437744,-0.0039058923721313477,0.2401123046875,0.002630653078085743,304,0.0004092704424510632,0.2,0.02253899,-0.04027119278907776,1.0061691999435425,-0.026038451862405054,-2.491755625,1223.0
10752,8,1320,21,-44.144421339035034,0.0007935762405395508,0.2255859375,0.07617811963427812,320,0.0004092704424510632,0.2,0.020904738,-0.004747211933135986,1.004165530204773,-0.02619312769093085,-2.491755625,1223.0
11264,8,1318,22,-44.096983432769775,-0.004902958869934082,0.25634765625,0.0023533058956672903,336,0.0004092704424510632,0.2,0.022834945,-0.04022028297185898,1.0040298700332642,-0.028407153076841496,-2.5040584444444445,1223.0
11776,8,1316,23,-44.1159188747406,0.0009835362434387207,0.2281494140625,0.08340185042470694,352,0.0004092704424510632,0.2,0.017551865,0.01897691935300827,1.0052039623260498,-0.02505769614072051,-2.5040584444444445,1223.0
12288,9,1316,24,-44.1512713432312,-0.049152255058288574,0.19189453125,0.0011315583269606577,368,0.0004092704424510632,0.2,0.015425344,-0.03772788867354393,1.0064512491226196,-0.023808298370568082,-2.4922731000000002,1223.0
12800,9,1314,25,-44.17736887931824,0.0009058117866516113,0.2169189453125,0.08636507554911077,384,0.0004092704424510632,0.2,0.01765233,0.007608838379383087,1.0064860582351685,-0.024226860390626825,-2.4922731000000002,1223.0
13312,10,1313,26,-44.16560673713684,-0.00561213493347168,0.276123046875,0.0025752443179953843,400,0.0004092704424510632,0.2,0.023745287,-0.033764202147722244,1.0060253143310547,-0.029265068704262376,-2.4922731000000002,1223.0
13824,10,1311,27,-44.162092208862305,-0.003907561302185059,0.2371826171875,0.0038821853086119518,416,0.0004092704424510632,0.2,0.020726461,-0.028293397277593613,1.0062997341156006,-0.025873383739963174,-2.4986946363636364,1223.0
14336,10,1311,28,-44.162203431129456,0.0007312297821044922,0.23388671875,0.10984324826858938,432,0.0004092704424510632,0.2,0.017615844,0.02231280505657196,1.005642294883728,-0.022545059051481076,-2.4986946363636364,1223.0
14848,11,1310,29,-44.15172600746155,5.066394805908203e-06,0.2412109375,0.0018907731864601374,448,0.0004092704424510632,0.2,0.019365609,-0.05364808440208435,1.006130576133728,-0.02601559314643964,-2.5022569166666666,1223.0
15360,11,1309,30,-44.16434097290039,0.0009772181510925293,0.19580078125,0.11120551568455994,464,0.0004092704424510632,0.2,0.016348505,0.018904659897089005,1.0062474012374878,-0.018758129299385473,-2.5022569166666666,1223.0
15872,12,1306,31,-44.18678033351898,-0.020205020904541016,0.202392578125,0.0019895197547157295,480,0.0004092704424510632,0.2,0.016826326,-0.033396828919649124,1.0080922842025757,-0.02225416776491329,-2.5022569166666666,1223.0
16384,12,1305,32,-44.25221264362335,-0.002281785011291504,0.212646484375,0.0037059943133499473,496,0.0004092704424510632,0.2,0.018338293,-0.0342116579413414,1.0098298788070679,-0.02326543623348698,-2.4972938461538465,1223.0
16896,12,1304,33,-44.27068591117859,0.0005539059638977051,0.2833251953125,0.09953337418846786,512,0.0004092704424510632,0.2,0.03963758,0.0015639513731002808,1.0094243288040161,-0.02229373768204823,-2.4972938461538465,1223.0
17408,13,1304,34,-44.251001715660095,-0.004780173301696777,0.2879638671875,0.0034236276223964524,528,0.0004092704424510632,0.2,0.021910427,-0.03940568119287491,1.0087740421295166,-0.03432050539413467,-2.5077415000000003,1223.0
17920,13,1304,35,-44.22764027118683,0.0005730390548706055,0.2706298828125,0.14947839942760766,544,0.0004092704424510632,0.2,0.02459063,0.03317207843065262,1.008191704750061,-0.027144791311002336,-2.5077415000000003,1223.0
18432,14,1304,36,-44.207210063934326,-0.00884699821472168,0.3258056640625,0.0019896598569175694,560,0.0004092704424510632,0.2,0.031556517,-0.04966896027326584,1.007697582244873,-0.03482913368497975,-2.5078674000000003,1223.0
18944,14,1303,37,-44.195961356163025,0.0006542801856994629,0.217041015625,0.15257561136968434,576,0.0004092704424510632,0.2,0.020250814,0.05021999403834343,1.0068916082382202,-0.021786966593936086,-2.5078674000000003,1223.0
19456,14,1303,38,-44.161901354789734,-0.009049773216247559,0.2017822265625,0.00246396793590975,592,0.0004092704424510632,0.2,0.016802054,-0.040737614035606384,1.005361795425415,-0.023032443416013848,-2.5078674000000003,1223.0
19968,15,1302,39,-44.11489152908325,-0.0010780096054077148,0.21923828125,0.003890032101480756,608,0.0004092704424510632,0.2,0.016884886,-0.026381155475974083,1.0047528743743896,-0.02476898227178026,-2.5078891875,1223.0
20480,15,1302,40,-44.10638773441315,0.0003879666328430176,0.1663818359375,0.17468926962465048,624,0.0004092704424510632,0.2,0.013904785,0.06739713251590729,1.0046523809432983,-0.018971520625200355,-2.5078891875,1223.0
20992,16,1302,41,-44.10118925571442,-0.00011336803436279297,0.275390625,0.0018612812255014433,640,0.0004092704424510632,0.2,0.02674513,-0.03273996338248253,1.004187822341919,-0.030100854113698006,-2.5092191764705882,1223.0
21504,16,1302,42,-44.08300542831421,0.0007382035255432129,0.2120361328125,0.16673487285152078,656,0.0004092704424510632,0.2,0.020684637,0.03866977244615555,1.0035524368286133,-0.02254933516087476,-2.5092191764705882,1223.0
22016,16,1301,43,-44.06992447376251,-0.005181789398193359,0.2747802734375,0.0019836927131109405,672,0.0004092704424510632,0.2,0.020836793,-0.046999718993902206,1.0033615827560425,-0.029477647214662284,-2.5115095555555556,1223.0
22528,17,1302,44,-44.04411768913269,0.0009890198707580566,0.23779296875,0.16575432987883687,688,0.0004092704424510632,0.2,0.016703006,0.03992089629173279,1.0014249086380005,-0.023679457968682982,-2.5115095555555556,1223.0
23040,17,1301,45,-43.99994075298309,-0.0056400299072265625,0.156982421875,0.0033240810516872443,704,0.0004092704424510632,0.2,0.011396518,-0.024877125397324562,1.00132155418396,-0.017131603904999793,-2.5115095555555556,1223.0
