time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3855,1,,,,,,,,,,,,,
1024,0,1869,2,-44.02129900455475,-0.03895747661590576,0.207763671875,0.09943069724249654,16,0.0004092704424510632,0.2,0.015651586,-0.03140495344996452,1.0018004179000854,-0.023537018132628873,,
1536,0,1609,3,-44.049795508384705,0.013260185718536377,0.2901611328125,0.0028192051831865683,32,0.0004092704424510632,0.2,0.022527523,-0.04872846230864525,1.0021624565124512,-0.02887737628770992,-2.536378,1223.0
2048,1,1492,4,-44.05196666717529,-0.004212021827697754,0.322265625,0.022228701738640666,48,0.0004092704424510632,0.2,0.025257124,-0.027354124933481216,1.0022059679031372,-0.03055510186823085,-2.536378,1223.0
2560,1,1429,5,-44.05263364315033,0.0162661075592041,0.23779296875,0.0015608499525114894,64,0.0004092704424510632,0.2,0.015455276,-0.034668467938899994,1.0020383596420288,-0.022581278972211294,-2.4442515,1223.0
3072,2,1395,6,-44.027100682258606,0.004178524017333984,0.3275146484375,0.010099878956680186,80,0.0004092704424510632,0.2,0.023121733,-0.0349150151014328,1.0004605054855347,-0.032439770591736306,-2.4442515,1223.0
3584,2,1369,7,-43.96820056438446,0.01731020212173462,0.2205810546875,0.0025943938162527047,96,0.0004092704424510632,0.2,0.016643912,-0.025474028661847115,0.9987239241600037,-0.02361006967839785,-2.4442515,1223.0
4096,3,1349,8,-43.93117356300354,0.005674242973327637,0.294677734375,0.002542651734984247,112,0.0004092704424510632,0.2,0.019688634,-0.046094801276922226,0.9984657168388367,-0.03334178545628674,-2.4032033333333334,1223.0
4608,3,1333,9,-43.93235671520233,0.018827497959136963,0.228759765625,0.003177817812684225,128,0.0004092704424510632,0.2,0.017547082,-0.04584529250860214,0.9985998272895813,-0.02936433938157279,-2.4032033333333334,1223.0
5120,3,1323,10,-43.94804060459137,0.006276428699493408,0.2774658203125,0.0017186871882586274,144,0.0004092704424510632,0.2,0.019620089,-0.04029122367501259,0.999666154384613,-0.025938096223399043,-2.3659885,1223.0
5632,4,1316,11,-43.9709278345108,0.00977778434753418,0.22314453125,0.003628319507697597,160,0.0004092704424510632,0.2,0.016935196,-0.020809151232242584,0.999674379825592,-0.02374421284184791,-2.3659885,1223.0
6144,4,1309,12,-43.94602644443512,0.0008581280708312988,0.2572021484375,0.0014327209137263708,176,0.0004092704424510632,0.2,0.016991526,-0.03559093549847603,0.9980044364929199,-0.028401877119904384,-2.3742706,1223.0
6656,5,1304,13,-43.89760375022888,-0.00012183189392089844,0.22900390625,0.007014010785496794,192,0.0004092704424510632,0.2,0.017572423,-0.013659479096531868,0.9971643686294556,-0.022520517057273537,-2.3742706,1223.0
7168,5,1300,14,-43.88320529460907,0.0107688307762146,0.2022705078125,0.0028270330767554697,208,0.0004092704424510632,0.2,0.015143467,-0.02676849067211151,0.9969982504844666,-0.021084284293465316,-2.3742706,1223.0
7680,5,1295,15,-43.881685972213745,0.002805948257446289,0.270751953125,0.0035360969850444235,224,0.0004092704424510632,0.2,0.019359391,-0.03972294181585312,0.9970378279685974,-0.026726034644525498,-2.396608,1223.0
8192,6,1291,16,-43.87844502925873,0.0009830594062805176,0.2451171875,0.015793600003235042,240,0.0004092704424510632,0.2,0.014934226,-0.03059832751750946,0.9965392351150513,-0.02632092821295373,-2.396608,1223.0
8704,6,1289,17,-43.88527286052704,0.004784941673278809,0.247802734375,0.0020194668832118623,256,0.0004092704424510632,0.2,0.016196784,-0.03889000415802002,0.9982379674911499,-0.030390678148251027,-2.424323285714286,1223.0
9216,7,1287,18,-43.92998707294464,0.00045603513717651367,0.1939697265625,0.022731208242475986,272,0.0004092704424510632,0.2,0.012773436,-0.012690583243966103,0.998334527015686,-0.01989464956568554,-2.424323285714286,1223.0
9728,7,1284,19,-43.90487205982208,0.003130972385406494,0.234619140625,0.002281441480590729,288,0.0004092704424510632,0.2,0.021962743,-0.04023786634206772,0.9971749782562256,-0.02628508310590405,-2.424323285714286,1223.0
10240,7,1283,20,-43.85845601558685,0.002004086971282959,0.2354736328125,0.003051952997338958,304,0.0004092704424510632,0.2,0.019158272,-0.04032670333981514,0.9955276250839233,-0.026964900171151385,-2.43246875,1223.0
10752,8,1281,21,-43.83082902431488,0.0007140040397644043,0.2415771484375,0.034968289197422564,320,0.0004092704424510632,0.2,0.026116421,-0.020860780030488968,0.9951871633529663,-0.025562642753357068,-2.43246875,1223.0
11264,8,1279,22,-43.80356442928314,0.0018886923789978027,0.241943359375,0.003216993445676053,336,0.0004092704424510632,0.2,0.019643996,-0.033409055322408676,0.9939435720443726,-0.030504259091685526,-2.4474463333333336,1223.0
11776,9,1277,23,-43.771220088005066,0.0005685687065124512,0.1866455078125,0.04583280719816685,352,0.0004092704424510632,0.2,0.014577411,-0.01286790519952774,0.9931596517562866,-0.0221873532718746,-2.4474463333333336,1223.0
12288,9,1276,24,-43.7523307800293,0.007718205451965332,0.2598876953125,0.0013309349160408601,368,0.0004092704424510632,0.2,0.01944873,-0.041865818202495575,0.9930388927459717,-0.030748784716706723,-2.4424492,1223.0
12800,10,1274,25,-43.758301973342896,0.0007982254028320312,0.1904296875,0.04808601317927241,384,0.0004092704424510632,0.2,0.01649162,-0.014965778216719627,0.9936637878417969,-0.02440106146968901,-2.4424492,1223.0
13312,10,1273,26,-43.73190486431122,0.010459840297698975,0.1907958984375,0.0033296732581220567,400,0.0004092704424510632,0.2,0.018273886,-0.036257386207580566,0.9909362196922302,-0.022639053146122023,-2.4424492,1223.0
13824,10,1271,27,-43.65830588340759,0.0015354156494140625,0.2637939453125,0.00281779583383468,416,0.0004092704424510632,0.2,0.021009762,-0.044855572283267975,0.9899959564208984,-0.029369073221459985,-2.4455634545454545,1223.0
14336,11,1270,28,-43.624306201934814,0.0006431341171264648,0.23486328125,0.06339628191199154,432,0.0004092704424510632,0.2,0.020685771,-0.0018841028213500977,0.9879956245422363,-0.025740790297277272,-2.4455634545454545,1223.0
14848,11,1269,29,-43.569714426994324,0.0006299614906311035,0.21630859375,0.002240871177491499,448,0.0004092704424510632,0.2,0.02326022,-0.036666158586740494,0.9874300360679626,-0.02457614142622333,-2.4528647500000003,1223.0
15360,12,1268,30,-43.56968688964844,0.0006052851676940918,0.2562255859375,0.06971875566523522,464,0.0004092704424510632,0.2,0.025508272,0.0028511472046375275,0.9875723123550415,-0.026943037766613998,-2.4528647500000003,1223.0
15872,12,1267,31,-43.58841633796692,0.007412135601043701,0.231689453125,0.0022773007694922853,480,0.0004092704424510632,0.2,0.02124495,-0.03878015652298927,0.9892826676368713,-0.0259813763841521,-2.4528647500000003,1223.0
16384,12,1265,32,-43.60738909244537,0.003075718879699707,0.216796875,0.0032624295745335985,496,0.0004092704424510632,0.2,0.018201116,-0.034540459513664246,0.9879593253135681,-0.027091136333183385,-2.4469586153846157,1223.0
16896,13,1264,33,-43.53812849521637,0.00028586387634277344,0.2894287109375,0.06175620178692043,512,0.0004092704424510632,0.2,0.040439896,-0.0024407878518104553,0.9850475192070007,-0.025696599928778596,-2.4469586153846157,1223.0
17408,13,1264,34,-43.4693683385849,-0.001696467399597168,0.2314453125,0.00274038302450208,528,0.0004092704424510632,0.2,0.01825089,-0.03562251105904579,0.9844532608985901,-0.025968548281525727,-2.4401647857142854,1223.0
17920,14,1264,35,-43.48251175880432,0.0005284547805786133,0.2646484375,0.09212433476932347,544,0.0004092704424510632,0.2,0.020621657,0.005917951464653015,0.9850830435752869,-0.027278058048977982,-2.4401647857142854,1223.0
18432,14,1263,36,-43.498358726501465,-0.0023345947265625,0.2052001953125,0.0020622552328859456,560,0.0004092704424510632,0.2,0.014976396,-0.011990698985755444,0.9857193231582642,-0.02127955711330287,-2.4334524666666666,1223.0
18944,15,1262,37,-43.521989941596985,0.0004850029945373535,0.2320556640625,0.09749111928977072,576,0.0004092704424510632,0.2,0.016601589,0.006755076348781586,0.9859358668327332,-0.02624449566064868,-2.4334524666666666,1223.0
19456,15,1262,38,-43.520400285720825,0.008533358573913574,0.255615234375,0.004244673160428647,592,0.0004092704424510632,0.2,0.02577592,-0.03911815956234932,0.9860321879386902,-0.025844954696367495,-2.4334524666666666,1223.0
19968,15,1261,39,-43.55186581611633,-0.0003466606140136719,0.2342529296875,0.0031677017905167304,608,0.0004092704424510632,0.2,0.017205428,-0.034610141068696976,0.9880616664886475,-0.027281930233584717,-2.4379939999999998,1223.0
20480,16,1260,40,-43.592546701431274,0.0004985332489013672,0.2786865234375,0.12240362586453557,624,0.0004092704424510632,0.2,0.029127192,0.03368212282657623,0.9874515533447266,-0.030929691827623174,-2.4379939999999998,1223.0
20992,16,1260,41,-43.52810192108154,-0.0008013248443603516,0.2510986328125,0.0019579230047384044,640,0.0004092704424510632,0.2,0.021464963,-0.046627338975667953,0.9849264621734619,-0.03136508821626194,-2.4497806470588235,1223.0
21504,17,1260,42,-43.48992478847504,0.0008108019828796387,0.251953125,0.12321009044535458,656,0.0004092704424510632,0.2,0.02861007,0.028891146183013916,0.9852985739707947,-0.024329671970917843,-2.4497806470588235,1223.0
22016,17,1260,43,-43.50718319416046,-0.018893122673034668,0.2108154296875,0.001469003231250099,672,0.0004092704424510632,0.2,0.015845153,-0.030949044972658157,0.9855700135231018,-0.026749893728265306,-2.4450338333333335,1223.0
22528,17,1259,44,-43.50602877140045,0.001281142234802246,0.1710205078125,0.12206950993277133,688,0.0004092704424510632,0.2,0.01480853,0.04789447784423828,0.9852411150932312,-0.017894575656100642,-2.4450338333333335,1223.0
23040,18,1258,45,-43.4816335439682,0.014754414558410645,0.2281494140625,0.003001321339979768,704,0.0004092704424510632,0.2,0.018785901,-0.04387252405285835,0.9841728210449219,-0.027572273364057764,-2.4450338333333335,1223.0
23552,18,1258,46,-43.43180429935455,-0.0012418031692504883,0.253173828125,0.002941733688203385,720,0.0004092704424510632,0.2,0.026164804,-0.048298466950654984,0.9817934632301331,-0.02881081162195187,-2.4372480000000003,1223.0
24064,19,1258,47,-43.344059467315674,0.0007982850074768066,0.2530517578125,0.13561595208011568,736,0.0004092704424510632,0.2,0.019470874,0.013734422624111176,0.979080080986023,-0.029235978799988516,-2.4372480000000003,1223.0
24576,19,1257,48,-43.27745509147644,-0.009110569953918457,0.2264404296875,0.0018528026212152326,752,0.0004092704424510632,0.2,0.019113645,-0.033519044518470764,0.9779983162879944,-0.02351484340033494,-2.43975125,1223.0
25088,19,1257,49,-43.25275158882141,0.00022494792938232422,0.2264404296875,0.12889186036773026,768,0.0004092704424510632,0.2,0.018624125,0.041612815111875534,0.9771013855934143,-0.02313797858369071,-2.43975125,1223.0
25600,20,1257,50,-43.228580832481384,0.008282661437988281,0.2412109375,0.0023346718844550196,784,0.0004092704424510632,0.2,0.01581376,-0.02664770372211933,0.9764043688774109,-0.02405901415477274,-2.43975125,1223.0
26112,20,1257,51,-43.20230579376221,-0.004473447799682617,0.2352294921875,0.0029314199528016616,800,0.0004092704424510632,0.2,0.018395985,-0.03828302025794983,0.9754073023796082,-0.028763080772478133,-2.4366134761904763,1223.0
26624,21,1257,52,-43.19628727436066,0.00047653913497924805,0.1534423828125,0.15266370866447687,816,0.0004092704424510632,0.2,0.013850873,0.029876943677663803,0.976059079170227,-0.01926825358532369,-2.4366134761904763,1223.0
27136,21,1257,53,-43.20413148403168,-0.010154485702514648,0.1947021484375,0.0020985670871596085,832,0.0004092704424510632,0.2,0.018875437,-0.028503797948360443,0.9754372239112854,-0.02013216666819062,-2.4359682727272727,1223.0
27648,21,1257,54,-43.19610249996185,0.00039821863174438477,0.2017822265625,0.15184547053650022,848,0.0004092704424510632,0.2,0.019667035,0.03187701478600502,0.9762256741523743,-0.023842007271014154,-2.4359682727272727,1223.0
28160,22,1257,55,-43.23590278625488,0.0022212862968444824,0.175048828125,0.0015385477454401553,864,0.0004092704424510632,0.2,0.013612848,-0.035135459154844284,0.9777056574821472,-0.023250593134434894,-2.4334762173913043,1223.0
28672,22,1256,56,-43.25675332546234,0.001743316650390625,0.2301025390625,0.14928909949958324,880,0.0004092704424510632,0.2,0.019063696,0.04453955963253975,0.9771938323974609,-0.026740698303910904,-2.4334762173913043,1223.0
29184,23,1255,57,-43.23460650444031,0.008713483810424805,0.256591796875,0.0029185950770624913,896,0.0004092704424510632,0.2,0.023776768,-0.051553916186094284,0.977001428604126,-0.032375810187659226,-2.4334762173913043,1223.0
29696,23,1255,58,-43.22930145263672,-0.0004928112030029297,0.190673828125,0.004040367588459048,912,0.0004092704424510632,0.2,0.01466927,-0.03261227905750275,0.9773070812225342,-0.021712306450353935,-2.435314333333333,1223.0
