time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3857,1,,,,,,,,,,,,,
1024,0,1889,2,-43.957245230674744,-0.7277810573577881,0.2108154296875,0.21329493517259834,16,0.0004092704424510632,0.2,0.013177667,-0.027158716693520546,0.9979954361915588,-0.024644862103741616,,
1536,0,1635,3,-43.885730266571045,-0.014544248580932617,0.2550048828125,0.0028018490920658223,32,0.0004092704424510632,0.2,0.016150149,-0.03135841712355614,0.9954571723937988,-0.02439113997388631,-2.452692,1223.0
2048,1,1526,4,-43.84035241603851,-0.006575822830200195,0.2822265625,0.0216148515464738,48,0.0004092704424510632,0.2,0.021182835,-0.03273728862404823,0.9957390427589417,-0.026760512206237763,-2.452692,1223.0
2560,1,1467,5,-43.85577952861786,-0.0106353759765625,0.27587890625,0.001551178398585762,64,0.0004092704424510632,0.2,0.01988585,-0.044781122356653214,0.9959373474121094,-0.026775706850457937,-2.4732595,1223.0
3072,2,1430,6,-43.87373435497284,-0.003100275993347168,0.3184814453125,0.011461028203484602,80,0.0004092704424510632,0.2,0.02565701,-0.03589840605854988,0.9975324273109436,-0.032493355771293864,-2.4732595,1223.0
3584,2,1404,7,-43.932154417037964,-0.0049173831939697266,0.2286376953125,0.00228347027223208,96,0.0004092704424510632,0.2,0.018496893,-0.02633885107934475,0.9990664720535278,-0.021747765378677286,-2.4732595,1223.0
4096,2,1384,8,-43.96526300907135,-0.0019408464431762695,0.254150390625,0.002672628572327085,112,0.0004092704424510632,0.2,0.020269658,-0.029195407405495644,1.000103235244751,-0.028344416808977257,-2.427591666666667,1223.0
4608,3,1367,9,-43.992268681526184,-0.005460023880004883,0.239501953125,0.0032868930502445437,128,0.0004092704424510632,0.2,0.016347062,-0.024143295362591743,1.0002027750015259,-0.027428533707279712,-2.427591666666667,1223.0
5120,3,1356,10,-43.991726756095886,-0.002751588821411133,0.2093505859375,0.00230718223247095,144,0.0004092704424510632,0.2,0.018073099,-0.04246571660041809,1.0012589693069458,-0.02327525535656605,-2.4368652500000003,1223.0
5632,4,1350,11,-44.02748465538025,-0.002192378044128418,0.2626953125,0.003173437449731864,160,0.0004092704424510632,0.2,0.020142365,-0.02957644686102867,1.001685619354248,-0.028083595068892464,-2.4368652500000003,1223.0
6144,4,1341,12,-44.01309287548065,-0.0030999183654785156,0.24169921875,0.0017830934084486216,176,0.0004092704424510632,0.2,0.01813136,-0.042564306408166885,1.0003756284713745,-0.02800562140328111,-2.4258086000000003,1223.0
6656,4,1335,13,-43.96746265888214,-0.0002079010009765625,0.2342529296875,0.004785214092407841,192,0.0004092704424510632,0.2,0.022079788,-0.036494649946689606,0.9994080066680908,-0.026609229622408748,-2.4258086000000003,1223.0
7168,5,1330,14,-43.94264221191406,-0.0027409791946411133,0.2039794921875,0.0030649537984572817,208,0.0004092704424510632,0.2,0.015607371,-0.03950349614024162,0.9987773299217224,-0.02763797392253764,-2.4258086000000003,1223.0
7680,5,1324,15,-43.92856502532959,-0.0005047321319580078,0.1629638671875,0.0028331325702311005,224,0.0004092704424510632,0.2,0.012277516,-0.025035617873072624,0.9984278082847595,-0.018651574209798127,-2.415229666666667,1223.0
8192,6,1320,16,-43.92513179779053,-0.0002707242965698242,0.19384765625,0.01457594646490179,240,0.0004092704424510632,0.2,0.01902586,-0.019231075420975685,0.9983802437782288,-0.02194911116384901,-2.415229666666667,1223.0
8704,6,1316,17,-43.93534708023071,0.0028591156005859375,0.234130859375,0.0015539006381004583,256,0.0004092704424510632,0.2,0.021388106,-0.02443711645901203,0.9998126029968262,-0.023766407437506132,-2.410968285714286,1223.0
9216,7,1312,18,-43.97994112968445,0.0002453923225402832,0.2496337890625,0.021198639820795506,272,0.0004092704424510632,0.2,0.019932374,-0.02420281618833542,1.0005499124526978,-0.025392082839971408,-2.410968285714286,1223.0
9728,7,1310,19,-44.02377939224243,-0.004401683807373047,0.180419921875,0.0021508178888325347,288,0.0004092704424510632,0.2,0.01609997,-0.025311164557933807,1.00314462184906,-0.016367827163776383,-2.410968285714286,1223.0
10240,7,1309,20,-44.08409225940704,0.0002180337905883789,0.2633056640625,0.0037777633406221867,304,0.0004092704424510632,0.2,0.02233618,-0.033898819237947464,1.0041887760162354,-0.03202055342262611,-2.43287675,1223.0
10752,8,1307,21,-44.08869707584381,3.3974647521972656e-05,0.2589111328125,0.03674614452756941,320,0.0004092704424510632,0.2,0.02733006,-0.017688043415546417,1.003321647644043,-0.024668883852427825,-2.43287675,1223.0
11264,8,1306,22,-44.0513801574707,0.0013365745544433594,0.2454833984375,0.0025968220943468623,336,0.0004092704424510632,0.2,0.023876138,-0.033408693969249725,1.0018388032913208,-0.02558255530311726,-2.4267202222222224,1223.0
11776,9,1304,23,-43.98682141304016,0.0001652240753173828,0.228759765625,0.05007584160193801,352,0.0004092704424510632,0.2,0.016744489,-0.016756583005189896,0.9993936419487,-0.02644685383711476,-2.4267202222222224,1223.0
12288,9,1302,24,-43.90380263328552,-0.0008291006088256836,0.2335205078125,0.0010575788119240315,368,0.0004092704424510632,0.2,0.018824372,-0.035206373780965805,0.9964958429336548,-0.02930565274436958,-2.4287041,1223.0
12800,9,1301,25,-43.825603723526,0.0004615187644958496,0.2581787109375,0.0544300158508122,384,0.0004092704424510632,0.2,0.026009955,-0.004574799910187721,0.9949599504470825,-0.029694674420170486,-2.4287041,1223.0
13312,10,1299,26,-43.77237319946289,-0.0033338069915771484,0.234375,0.003532765680574812,400,0.0004092704424510632,0.2,0.017165378,-0.03022141195833683,0.9925491213798523,-0.02684231221792288,-2.4287041,1223.0
13824,10,1298,27,-43.69671130180359,-0.0016989707946777344,0.203369140625,0.003386095977475634,416,0.0004092704424510632,0.2,0.015302472,-0.030364032834768295,0.9907886385917664,-0.023256747255800292,-2.4341085454545457,1223.0
14336,11,1296,28,-43.66337442398071,0.0002722740173339844,0.2333984375,0.07649056753143668,432,0.0004092704424510632,0.2,0.02100883,-0.006352614611387253,0.9905974268913269,-0.02941285240376601,-2.4341085454545457,1223.0
14848,11,1295,29,-43.66875624656677,0.001348257064819336,0.19384765625,0.0017646801061346196,448,0.0004092704424510632,0.2,0.014998335,-0.02724355086684227,0.9909697771072388,-0.021951440605334938,-2.43586625,1223.0
15360,11,1293,30,-43.671385526657104,0.0006919503211975098,0.234130859375,0.07899821421597153,464,0.0004092704424510632,0.2,0.01787448,0.00033169612288475037,0.9907441735267639,-0.02455830803955905,-2.43586625,1223.0
15872,12,1292,31,-43.651142954826355,-0.012306809425354004,0.23193359375,0.0018601420561026316,480,0.0004092704424510632,0.2,0.02564625,-0.04373551160097122,0.9897958040237427,-0.02751303066179389,-2.43586625,1223.0
16384,12,1291,32,-43.62948524951935,0.0017443299293518066,0.230712890625,0.004443580197403207,496,0.0004092704424510632,0.2,0.017946012,-0.028245186433196068,0.9893497824668884,-0.026869543056818657,-2.441759461538462,1223.0
16896,13,1291,33,-43.59961152076721,0.00018978118896484375,0.301513671875,0.07736494578421116,512,0.0004092704424510632,0.2,0.037853025,-0.0043259114027023315,0.9876521825790405,-0.030215988139389083,-2.441759461538462,1223.0
17408,13,1291,34,-43.57219076156616,-0.004059553146362305,0.2093505859375,0.0025132382470474113,528,0.0004092704424510632,0.2,0.017266594,-0.0422985777258873,0.9874763488769531,-0.024596093950094655,-2.4286305,1223.0
17920,13,1290,35,-43.5594367980957,0.0003701448440551758,0.22705078125,0.1175621987786144,544,0.0004092704424510632,0.2,0.018892251,0.03135856240987778,0.9866626858711243,-0.023700003788690083,-2.4286305,1223.0
18432,14,1290,36,-43.524524092674255,-0.004907011985778809,0.256591796875,0.001795515461708419,560,0.0004092704424510632,0.2,0.015278805,-0.02702704444527626,0.9857620596885681,-0.0246328987122979,-2.4243483333333335,1223.0
