time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/std,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
4251,512,1,0,,,,,,,,,,,,,
2652,1024,2,0,0.2197265625,-0.044681623578071594,0.0004092704424510632,-0.029608151686261408,0.0868590621103067,1.00034761428833,16,0.2,-43.98929023742676,-1.215756893157959,0.01768529,,
2381,1536,3,0,0.2801513671875,-0.03295614570379257,0.0004092704424510632,-0.029583808936877176,0.0025028793825185858,0.9982659220695496,32,0.2,-43.973329067230225,0.03423106670379639,0.020115295,1223.0,-2.31954
2254,2048,4,0,0.26904296875,-0.00047549232840538025,0.0004092704424510632,-0.028064375306712463,0.0690060640918091,0.996219277381897,48,0.2,-43.89613389968872,-0.005388498306274414,0.019963633,1223.0,-2.31954
2175,2560,5,1,0.290771484375,-0.04671192914247513,0.0004092704424510632,-0.032591670111287385,0.0016839899581100326,0.9938661456108093,64,0.2,-43.83453392982483,0.018588483333587646,0.021232318,1223.0,-2.333368
2118,3072,6,1,0.204833984375,0.010411888360977173,0.0004092704424510632,-0.01995561942749191,0.07132928667124361,0.9919493198394775,80,0.2,-43.76327443122864,0.0002319812774658203,0.013213298,1223.0,-2.333368
2080,3584,7,1,0.2745361328125,-0.049522750079631805,0.0004092704424510632,-0.027697477431502193,0.0021786538418382406,0.990410566329956,96,0.2,-43.70904076099396,-0.021057844161987305,0.017715491,1223.0,-2.333368
2050,4096,8,1,0.2701416015625,-0.032081812620162964,0.0004092704424510632,-0.02355141536827432,0.0021869517404411454,0.989241898059845,112,0.2,-43.66541945934296,0.007294654846191406,0.017850867,1223.0,-2.3080206666666667
2026,4608,9,2,0.3197021484375,0.010979510843753815,0.0004092704424510632,-0.02938751710462384,0.09402364585548639,0.9881284236907959,128,0.2,-43.63048696517944,0.002206563949584961,0.021043397,1223.0,-2.3080206666666667
2010,5120,10,2,0.3094482421875,-0.0454590804874897,0.0004092704424510632,-0.03093951656774152,0.0012678284783760319,0.9884114265441895,144,0.2,-43.61204242706299,-0.3264390230178833,0.02145587,1223.0,-2.27830575
2001,5632,11,2,0.2481689453125,0.011993598192930222,0.0004092704424510632,-0.021304735710145906,0.08307808975223452,0.9896477460861206,160,0.2,-43.63428974151611,0.03553426265716553,0.018359121,1223.0,-2.27830575
1993,6144,12,3,0.232666015625,-0.04505585879087448,0.0004092704424510632,-0.024912828899687156,0.0022882312405272387,0.9903674125671387,176,0.2,-43.66984140872955,-0.20709240436553955,0.017140118,1223.0,-2.2672073999999998
1988,6656,13,3,0.2593994140625,-0.016530171036720276,0.0004092704424510632,-0.028142677489086054,0.07257601025048643,0.9903870224952698,192,0.2,-43.679418087005615,0.10157686471939087,0.018558167,1223.0,-2.2672073999999998
1983,7168,14,3,0.271240234375,-0.030121996998786926,0.0004092704424510632,-0.025895459184539504,0.004341784784628544,0.9915639162063599,208,0.2,-43.68812918663025,-0.09607994556427002,0.021094795,1223.0,-2.2672073999999998
1977,7680,15,3,0.2589111328125,-0.032494839280843735,0.0004092704424510632,-0.02679014194291085,0.0026978253954439424,0.9922983646392822,224,0.2,-43.72611629962921,0.03668409585952759,0.014232976,1223.0,-2.2522401666666667
1972,8192,16,4,0.291748046875,-0.005059834569692612,0.0004092704424510632,-0.02565226287697442,0.08735848241485655,0.9913744926452637,240,0.2,-43.722182869911194,0.04343068599700928,0.02553996,1223.0,-2.2522401666666667
1964,8704,17,4,0.306396484375,-0.040306247770786285,0.0004092704424510632,-0.03377723498851992,0.0027541124873096123,0.9915125966072083,256,0.2,-43.69993269443512,-0.7213709354400635,0.02488922,1223.0,-2.242042285714286
1957,9216,18,4,0.2384033203125,0.0022975467145442963,0.0004092704424510632,-0.022992060548858717,0.09106331667862833,0.9901977181434631,272,0.2,-43.69432890415192,0.11283427476882935,0.022456747,1223.0,-2.242042285714286
1951,9728,19,4,0.2762451171875,-0.04570503905415535,0.0004092704424510632,-0.02870122983586043,0.004765056888572872,0.9883135557174683,288,0.2,-43.637622356414795,-0.1153860092163086,0.01912753,1223.0,-2.242042285714286
1948,10240,20,5,0.19970703125,-0.043313246220350266,0.0004092704424510632,-0.025198488088790327,0.0032786882220534608,0.9891504049301147,304,0.2,-43.61208128929138,0.18121713399887085,0.013482792,1223.0,-2.232315
1946,10752,21,5,0.2174072265625,-0.010246168822050095,0.0004092704424510632,-0.02668213509605266,0.07814419688656926,0.9900459051132202,320,0.2,-43.65326499938965,0.17851346731185913,0.027859982,1223.0,-2.232315
1942,11264,22,5,0.23193359375,-0.03216693550348282,0.0004092704424510632,-0.026024286737083457,0.0048395320773124695,0.9892346858978271,336,0.2,-43.646888256073,-2.298449993133545,0.015379135,1223.0,-2.2291907777777777
1942,11776,23,6,0.19384765625,-0.003244709223508835,0.0004092704424510632,-0.023391642956994474,0.09408077783882618,0.9882187843322754,352,0.2,-43.61570751667023,0.06524521112442017,0.012768207,1223.0,-2.2291907777777777
1939,12288,24,6,0.218994140625,-0.03502057492733002,0.0004092704424510632,-0.02556310989893973,0.003802167411777191,0.9889253377914429,368,0.2,-43.60037922859192,-1.2482013702392578,0.014533972,1223.0,-2.2431159999999997
1937,12800,25,6,0.22705078125,-0.003412064164876938,0.0004092704424510632,-0.024376288085477427,0.1174018873134628,0.9880632162094116,384,0.2,-43.611016631126404,0.06882047653198242,0.020580746,1223.0,-2.2431159999999997
1935,13312,26,6,0.187744140625,-0.03497336059808731,0.0004092704424510632,-0.021242768460069783,0.005247007102298085,0.9855117201805115,400,0.2,-43.5563679933548,-0.4536789655685425,0.01709802,1223.0,-2.2431159999999997
