time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef
5028,-170.3520965576172,-4.6457225,23,44.33770751953125,4,-121.99124908447266,213,0.0008459126528049375,1257.0,4927,0.01740402914583683
10056,-36.342376708984375,-3.719203875,23,4.929358005523682,8,-125.3858642578125,429,0.0008459126528049375,1257.0,9955,0.0012032458325847983
15084,31.845487594604492,-3.095699083333333,23,14.475259780883789,12,-125.13687896728516,645,0.0008459126528049375,1257.0,14983,0.0009359201067127287
20112,-34.19113540649414,-2.723557625,23,5.220210552215576,16,-114.7625961303711,864,0.0008459126528049375,1257.0,20011,0.0009123099152930081
25140,-31.00984764099121,-2.53253175,23,3.227534770965576,20,-90.61060333251953,5,0.0008459126528049375,1257.0,25039,0.000660474062897265
30168,2.7903900146484375,-2.412249458333333,23,0.7483356595039368,24,-86.79248809814453,222,0.0008459126528049375,1257.0,30067,0.0007641540723852813
35196,-110.74267578125,-2.3220691071428567,23,2.242086410522461,28,-68.12323760986328,440,0.0008459126528049375,1257.0,35095,0.0006033431855030358
40224,-87.83277893066406,-2.27444871875,22,2.9029040336608887,32,-60.49026870727539,674,0.0008459126528049375,1257.0,40123,0.0007484711823053658
45252,9.3787841796875,-2.2479443333333333,22,4.051054000854492,36,-56.43695068359375,911,0.0008459126528049375,1257.0,45151,0.00022894547146279365
50280,20.41415023803711,-2.1716877,22,1.4265166521072388,40,-53.32657241821289,12,0.0008459126528049375,1257.0,50179,0.0003264894476160407
55308,-20.507123947143555,-2.1035551136363635,21,2.130943536758423,44,-49.25727081298828,250,0.0008459126528049375,1257.0,55207,0.0003414514649193734
60336,-33.97734832763672,-2.0615000416666667,21,3.6293907165527344,48,-47.07539367675781,486,0.0008459126528049375,1257.0,60235,0.0005082488059997559
65364,-29.942291259765625,-2.0220536153846154,21,0.7263545989990234,52,-47.201568603515625,723,0.0008459126528049375,1257.0,65263,0.000347634544596076
70392,-57.803916931152344,-1.987684625,21,4.699363708496094,56,-37.77838134765625,961,0.0008459126528049375,1257.0,70291,0.0008687308873049915
75420,-71.76607513427734,-1.9678080333333334,20,0.8820447325706482,60,-33.73551940917969,20,0.0008459126528049375,1257.0,75319,0.00037922229967080057
80448,11.649443626403809,-1.93630709375,19,2.098402261734009,64,-33.38079833984375,274,0.0008459126528049375,1257.0,80347,0.0005111385835334659
85476,27.352027893066406,-1.9167041029411769,19,1.1256656646728516,68,-31.184661865234375,525,0.0008459126528049375,1257.0,85375,0.0004378308658488095
90504,-30.92690086364746,-1.895666625,19,1.1202967166900635,72,-26.31926155090332,777,0.0008459126528049375,1257.0,90403,0.0003804927400778979
95532,-16.596120834350586,-1.8733030789473688,19,1.4651601314544678,76,-22.6650447845459,1033,0.0008459126528049375,1257.0,95431,0.0003819456906057894
