time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef
5028,-172.50408935546875,-4.49196475,19,2.1911420822143555,4,-122.1138687133789,259,0.0008459126528049375,1257.0,4927,0.017167121171951294
10056,78.38121795654297,-3.440209125,19,32.17041778564453,8,-131.96710205078125,517,0.0008459126528049375,1257.0,9955,0.0011393389431759715
15084,45.96609115600586,-2.804834916666666,19,7.5899977684021,12,-131.4885711669922,787,0.0008459126528049375,1257.0,14983,0.0012690441217273474
20112,71.09115600585938,-2.555681125,19,5.882567405700684,16,-122.63919067382812,1043,0.0008459126528049375,1257.0,20011,0.0013437316520139575
25140,104.97855377197266,-2.4016043999999996,19,4.770279884338379,20,-114.07562255859375,7,0.0008459126528049375,1257.0,25039,0.0008367571863345802
30168,74.97992706298828,-2.28804325,20,167.91831970214844,24,-106.17176818847656,255,0.0008459126528049375,1257.0,30067,0.000859388499520719
35196,-2.455078125,-2.249116285714286,19,5.458047389984131,28,-75.67459106445312,516,0.0008459126528049375,1257.0,35095,0.001174009288661182
40224,-15.798662185668945,-2.2076256250000004,19,3.953948497772217,32,-55.91073989868164,769,0.0008459126528049375,1257.0,40123,0.0008962115971371531
45252,34.84931564331055,-2.145986638888889,19,1.7451523542404175,36,-53.512062072753906,1017,0.0008459126528049375,1257.0,45151,0.0003321572730783373
50280,-42.974483489990234,-2.122680825,19,4.756587982177734,40,-47.04185485839844,14,0.0008459126528049375,1257.0,50179,0.00048631313256919384
55308,32.64200973510742,-2.078621681818182,18,2.087249279022217,44,-43.272727966308594,282,0.0008459126528049375,1257.0,55207,0.000401971279643476
60336,-12.324020385742188,-2.0567518958333335,18,5.764151573181152,48,-23.7808837890625,547,0.0008459126528049375,1257.0,60235,0.0006482734461314976
65364,-93.75035858154297,-2.0465210000000003,19,3.6335291862487793,52,-22.79437255859375,803,0.0008459126528049375,1257.0,65263,0.0005223815678618848
70392,37.97732925415039,-2.0357605892857142,19,1.9909324645996094,56,-17.53826332092285,1063,0.0008459126528049375,1257.0,70291,0.00027539063012227416
75420,-23.701610565185547,-2.0096822666666667,20,1.0323313474655151,60,-18.368568420410156,20,0.0008459126528049375,1257.0,75319,0.000755623506847769
80448,96.77693176269531,-2.0011238125,19,2.1468989849090576,64,12.98086166381836,281,0.0008459126528049375,1257.0,80347,0.00031190048321150243
85476,-70.72454071044922,-1.985104632352941,19,1.4576990604400635,68,20.924907684326172,547,0.0008459126528049375,1257.0,85375,0.00044356976286508143
90504,-20.647144317626953,-1.9682141666666668,19,1.5329160690307617,72,26.466157913208008,812,0.0008459126528049375,1257.0,90403,0.00033013266511261463
95532,-26.681873321533203,-1.9626022368421052,19,1.9136412143707275,76,32.409358978271484,1079,0.0008459126528049375,1257.0,95431,0.00023312574194278568
