time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef
5028,-177.03936767578125,-4.6194025,21,1.8882777690887451,4,-123.90743255615234,230,0.0008459126528049375,1257.0,4927,0.017292337492108345
10056,3.4183497428894043,-3.51623075,18,8.056838989257812,8,-123.9213638305664,535,0.0008459126528049375,1257.0,9955,0.0017396719194948673
15084,-34.44276809692383,-2.8772308333333334,17,3.794198989868164,12,-113.9152603149414,860,0.0008459126528049375,1257.0,14983,0.0010106544941663742
20112,20.619779586791992,-2.53195325,16,17.0814151763916,16,-71.69499206542969,1188,0.0008459126528049375,1257.0,20011,0.0007029988919384778
25140,-28.04786491394043,-2.34008615,15,1.3378267288208008,20,-69.05950927734375,9,0.0008459126528049375,1257.0,25039,0.00045401902752928436
30168,-53.395835876464844,-2.214929625,15,1.226365566253662,24,-64.39242553710938,326,0.0008459126528049375,1257.0,30067,0.0003306358412373811
35196,2.2985968589782715,-2.144053607142857,15,4.451836109161377,28,-57.33349609375,648,0.0008459126528049375,1257.0,35095,0.0006171893910504878
40224,-10.459274291992188,-2.0935234375,15,1.2442200183868408,32,-58.557987213134766,966,0.0008459126528049375,1257.0,40123,0.0005057640373706818
45252,-15.217460632324219,-2.047635944444445,15,1.3448262214660645,36,-56.79783630371094,1287,0.0008459126528049375,1257.0,45151,0.000357685872586444
50280,32.918636322021484,-1.9833502499999998,21,9.525589942932129,40,-53.771629333496094,13,0.0008459126528049375,1257.0,50179,0.0004589830932673067
55308,61.68660354614258,-1.9387735454545452,20,2.8414864540100098,44,-38.41938400268555,262,0.0008459126528049375,1257.0,55207,0.00024139112792909145
60336,-48.842201232910156,-1.9225757083333335,19,1.3393161296844482,48,-36.598670959472656,518,0.0008459126528049375,1257.0,60235,0.0002731680579017848
65364,28.021766662597656,-1.8853443461538464,20,5.696540832519531,52,-32.309776306152344,762,0.0008459126528049375,1257.0,65263,0.0006207660189829767
70392,13.94633960723877,-1.8483610714285714,20,0.9161192178726196,56,-31.903676986694336,1015,0.0008459126528049375,1257.0,70291,0.0004673163057304919
75420,-55.80023193359375,-1.833061,20,4.4050750732421875,60,-27.256698608398438,20,0.0008459126528049375,1257.0,75319,0.000362149701686576
80448,231.28733825683594,-1.8072296093750002,19,20.527677536010742,64,-17.951374053955078,278,0.0008459126528049375,1257.0,80347,0.0011332774301990867
85476,-25.765666961669922,-1.8050832205882354,18,4.033497333526611,68,-10.952094078063965,559,0.0008459126528049375,1257.0,85375,0.0007330920198000968
90504,-105.80570220947266,-1.7910720972222225,18,6.772228240966797,72,-6.369725704193115,845,0.0008459126528049375,1257.0,90403,0.00032766477670520544
95532,-28.195043563842773,-1.780929407894737,18,3.8390512466430664,76,-3.9315264225006104,1128,0.0008459126528049375,1257.0,95431,0.0005469100433401763
