time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef
5028,-177.9160919189453,-4.46802375,21,1.8898775577545166,4,-125.46871185302734,234,0.0008459126528049375,1257.0,4927,0.017584722489118576
10056,-43.391605377197266,-3.656370625,20,7.059885025024414,8,-133.9103546142578,479,0.0008459126528049375,1257.0,9955,0.0010548207210376859
15084,59.20664978027344,-3.0761707500000006,21,3.4387707710266113,12,-131.67819213867188,714,0.0008459126528049375,1257.0,14983,0.0008387901470996439
20112,11.111470222473145,-2.7211522500000003,21,3.7238759994506836,16,-118.20841217041016,954,0.0008459126528049375,1257.0,20011,0.0005501345149241388
25140,1.3295884132385254,-2.5193316500000003,22,5.075619697570801,20,-117.55862426757812,6,0.0008459126528049375,1257.0,25039,0.0008573080995120108
30168,6.662419319152832,-2.4060599166666665,20,7.1068830490112305,24,-116.47476959228516,251,0.0008459126528049375,1257.0,30067,0.0006391865317709744
35196,-2.7463881969451904,-2.3417259642857147,20,3.2398250102996826,28,-108.63304138183594,488,0.0008459126528049375,1257.0,35095,0.0004257268738001585
40224,124.52066802978516,-2.266211125,21,10.971482276916504,32,-84.62920379638672,723,0.0008459126528049375,1257.0,40123,0.001246495870873332
45252,67.96600341796875,-2.2086672777777783,21,4.54544734954834,36,-79.39665222167969,962,0.0008459126528049375,1257.0,45151,0.0005147627089172602
50280,-36.18416213989258,-2.13713045,20,2.6641697883605957,40,-74.3534164428711,13,0.0008459126528049375,1257.0,50179,0.0006649883580394089
55308,7.488836765289307,-2.1041599772727277,20,2.847191572189331,44,-71.89306640625,254,0.0008459126528049375,1257.0,55207,0.00048537395196035504
60336,-33.96476745605469,-2.057733354166667,21,3.3341493606567383,48,-65.57005310058594,487,0.0008459126528049375,1257.0,60235,0.0008545555756427348
65364,-13.715249061584473,-2.009667769230769,20,3.2535181045532227,52,-58.4132080078125,740,0.0008459126528049375,1257.0,65263,0.0005199392326176167
70392,-14.868864059448242,-1.9932269642857143,20,4.510241985321045,56,-29.237356185913086,979,0.0008459126528049375,1257.0,70291,0.0009720633970573545
75420,-7.021595001220703,-1.9795006499999999,22,5.041208744049072,60,-20.39795684814453,18,0.0008459126528049375,1257.0,75319,0.0010496512986719608
80448,10.127617835998535,-1.974191234375,21,2.5931663513183594,64,-14.522134780883789,255,0.0008459126528049375,1257.0,80347,0.0006216389592736959
85476,97.8346939086914,-1.961933602941177,21,7.228278636932373,68,-3.0662107467651367,496,0.0008459126528049375,1257.0,85375,0.0005454563070088625
90504,-5.852451801300049,-1.9504605138888893,20,11.725312232971191,72,12.97997760772705,751,0.0008459126528049375,1257.0,90403,0.0015466345939785242
95532,13.905887603759766,-1.9313039342105263,20,4.039844036102295,76,19.675701141357422,1005,0.0008459126528049375,1257.0,95431,0.0009352723718620837
