time/episodes,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps
4,-169.8968963623047,5032,209,0.017373118549585342,0.0008459126528049375,4931,2.2334322929382324,1258.0,-4.3037415,-123.54829406738281,24
8,-45.277305603027344,10064,427,0.0017507941229268909,0.0008459126528049375,9963,11.186334609985352,1258.0,-3.2791957499999995,-122.01782989501953,23
12,-15.377432823181152,15096,647,0.0009565153159201145,0.0008459126528049375,14995,2.856734037399292,1258.0,-2.6853325833333326,-115.82813262939453,23
16,-36.92680740356445,20128,867,0.0013477557804435492,0.0008459126528049375,20027,9.570341110229492,1258.0,-2.332977375,-104.57176208496094,23
20,19.758760452270508,25160,6,0.0008069747709669173,0.0008459126528049375,25059,3.640178918838501,1258.0,-2.11571465,-101.68830871582031,22
24,-46.80900955200195,30192,227,0.0006749384920112789,0.0008459126528049375,30091,2.7486860752105713,1258.0,-2.0127365,-98.67837524414062,22
28,102.40097045898438,35224,450,0.00038473415770567954,0.0008459126528049375,35123,3.2881224155426025,1258.0,-1.913630321428571,-92.26280212402344,22
32,112.0893325805664,40256,673,0.00024210929404944181,0.0008459126528049375,40155,12.397000312805176,1258.0,-1.86590096875,-90.57455444335938,22
36,-43.639862060546875,45288,894,0.0003733262710738927,0.0008459126528049375,45187,2.7788453102111816,1258.0,-1.8171743888888894,-84.62684631347656,22
40,-2.0532519817352295,50320,14,0.0008142616716213524,0.0008459126528049375,50219,2.102494239807129,1258.0,-1.766755525,-85.1504135131836,22
44,-27.594804763793945,55352,231,0.002779928036034107,0.0008459126528049375,55251,28.2076473236084,1258.0,-1.7471287499999997,-50.667198181152344,23
48,28.761676788330078,60384,450,0.0005009488086216152,0.0008459126528049375,60283,21.03911590576172,1258.0,-1.7399099583333335,-44.81944274902344,23
52,49.8743782043457,65416,676,0.0008245559292845428,0.0008459126528049375,65315,2.01261305809021,1258.0,-1.700985961538462,-44.07913589477539,22
56,-34.61365509033203,70448,904,0.0004991354653611779,0.0008459126528049375,70347,3.784648895263672,1258.0,-1.67440125,-37.668975830078125,22
60,24.951387405395508,75480,22,0.0005213210242800415,0.0008459126528049375,75379,12.934107780456543,1258.0,-1.6451692666666669,-32.55638885498047,21
64,-41.77667999267578,80512,271,0.0009262225939892232,0.0008459126528049375,80411,15.371990203857422,1258.0,-1.626659390625,-27.318408966064453,20
68,0.0810997486114502,85544,525,0.0009301594691351056,0.0008459126528049375,85443,2.4375224113464355,1258.0,-1.6131837058823526,-24.53318214416504,20
72,-20.5054874420166,90576,778,0.0013517796760424972,0.0008459126528049375,90475,34.876441955566406,1258.0,-1.6037400833333333,-18.646793365478516,20
76,13.205885887145996,95608,1032,0.0010283380979672074,0.0008459126528049375,95507,15.233125686645508,1258.0,-1.5785057368421052,-7.565921783447266,19
