time/episodes,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps
4,-173.29513549804688,5032,201,0.017307410016655922,0.0008459126528049375,4931,1.6481356620788574,1258.0,-4.530235749999999,-122.30116271972656,25
8,10.63051700592041,10064,407,0.0009111769613809884,0.0008459126528049375,9963,6.248864650726318,1258.0,-3.5421213750000002,-129.5456085205078,24
12,129.62289428710938,15096,612,0.0013142481911927462,0.0008459126528049375,14995,42.33841323852539,1258.0,-2.8344755,-124.39922332763672,24
16,-57.85203170776367,20128,838,0.0010191991459578276,0.0008459126528049375,20027,5.528263092041016,1258.0,-2.526078875,-107.04225158691406,24
20,-19.5711669921875,25160,8,0.000851718126796186,0.0008459126528049375,25059,3.830488920211792,1258.0,-2.3267899499999998,-96.64850616455078,18
24,20.083511352539062,30192,283,0.0005913141067139804,0.0008459126528049375,30091,2.113086462020874,1258.0,-2.1390702916666666,-93.18898010253906,18
28,58.75716018676758,35224,561,0.0009187246323563159,0.0008459126528049375,35123,5.66865348815918,1258.0,-2.021884857142857,-70.25634002685547,18
32,-58.15923309326172,40256,839,0.0005402750102803111,0.0008459126528049375,40155,1.7950217723846436,1258.0,-1.9691710312500001,-61.33031463623047,18
36,-23.383201599121094,45288,1112,0.0007768312934786081,0.0008459126528049375,45187,1.8732539415359497,1258.0,-1.8951250833333333,-50.52516555786133,18
40,-4.998176097869873,50320,16,0.00021987507352605462,0.0008459126528049375,50219,5.995295524597168,1258.0,-1.8644099,-47.79811096191406,18
44,13.690086364746094,55352,290,0.0006095959106460214,0.0008459126528049375,55251,2.711071252822876,1258.0,-1.809712363636364,-41.032371520996094,18
48,-64.71692657470703,60384,560,0.0005277431919239461,0.0008459126528049375,60283,4.645781517028809,1258.0,-1.7586144166666664,-28.802370071411133,18
52,14.266752243041992,65416,832,0.0007062071817927063,0.0008459126528049375,65315,2.307676076889038,1258.0,-1.730722192307692,-16.371273040771484,18
56,22.969655990600586,70448,1069,0.0008897334919311106,0.0008459126528049375,70347,12.707988739013672,1258.0,-1.6991379464285714,-17.88005828857422,19
60,10.872572898864746,75480,23,0.0007920089992694557,0.0008459126528049375,75379,87.5635986328125,1258.0,-1.6653430333333332,-14.527993202209473,20
64,22.663402557373047,80512,276,0.001321575022302568,0.0008459126528049375,80411,8.14223861694336,1258.0,-1.625951734375,-8.542194366455078,19
68,49.55341339111328,85544,526,0.0008958962862379849,0.0008459126528049375,85443,3.690134048461914,1258.0,-1.598522661764706,-6.390196323394775,20
72,-31.594738006591797,90576,778,0.0007169361342675984,0.0008459126528049375,90475,4.468648433685303,1258.0,-1.5777423333333331,-3.330176830291748,20
76,-19.76885414123535,95608,1038,0.0005255704163573682,0.0008459126528049375,95507,20.08159828186035,1258.0,-1.554392381578947,4.931369781494141,19
