time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
45,23040,12,1796,0.008235189918195829,-0.019406612889724784,-0.035714223980903625,0.0004092704424510632,-43.5793297290802,0.18896484375,0.018679911,-0.7629212141036987,0.2,704,0.9874736070632935,-2.7266818333333336,1258.0
46,23552,13,1796,0.1273089995374903,-0.025426036256249063,0.012753605842590332,0.0004092704424510632,-43.551965951919556,0.2080078125,0.020050008,0.2428012490272522,0.2,720,0.9871160984039307,-2.7266818333333336,1258.0
47,24064,13,1797,0.03216771356528625,-0.019756237350520678,-0.02595270797610283,0.0004092704424510632,-43.54718625545502,0.1778564453125,0.012829386,-0.3211139440536499,0.2,736,0.987108051776886,-2.7291442631578953,1258.0
48,24576,13,1798,0.08474496507551521,-0.021883923967834562,-0.013391837477684021,0.0004092704424510632,-43.546356558799744,0.20654296875,0.017215163,0.4473203420639038,0.2,752,0.9871523380279541,-2.7291442631578953,1258.0
49,25088,13,1795,0.019613245443906635,-0.024303585523739457,-0.022726139053702354,0.0004092704424510632,-43.55664539337158,0.2164306640625,0.023218036,0.5445606708526611,0.2,768,0.9882497191429138,-2.7291442631578953,1258.0
50,25600,14,1792,0.009913187604979612,-0.0261628785810899,-0.042175520211458206,0.0004092704424510632,-43.58254373073578,0.2449951171875,0.021065548,-0.14738202095031738,0.2,784,0.9883047342300415,-2.7319812000000003,1258.0
51,26112,14,1792,0.06077791273128241,-0.02047902171034366,-0.018989771604537964,0.0004092704424510632,-43.5659818649292,0.13671875,0.013808169,0.3039856553077698,0.2,800,0.9874210357666016,-2.7319812000000003,1258.0
52,26624,14,1792,0.016411432123277336,-0.030215666658477858,-0.04288102686405182,0.0004092704424510632,-43.53937017917633,0.248046875,0.021872927,-0.6850988864898682,0.2,816,0.9870191216468811,-2.731911761904762,1258.0
53,27136,15,1790,0.0672050160355866,-0.019669365545269102,0.008798472583293915,0.0004092704424510632,-43.5345596075058,0.189208984375,0.018471144,0.4538830518722534,0.2,832,0.9868397116661072,-2.731911761904762,1258.0
54,27648,15,1789,0.013852893287548795,-0.03121988616476301,-0.03830697387456894,0.0004092704424510632,-43.53278970718384,0.2623291015625,0.024497397,0.18645882606506348,0.2,848,0.9869681000709534,-2.731911761904762,1258.0
55,28160,15,1790,0.00847362430067733,-0.027753889531595632,-0.03585312142968178,0.0004092704424510632,-43.509997725486755,0.252197265625,0.019525934,0.4772034287452698,0.2,864,0.9851279854774475,-2.7287800454545454,1258.0
56,28672,16,1791,0.04226191114867106,-0.025825114324106835,-0.02699289284646511,0.0004092704424510632,-43.448347091674805,0.293212890625,0.03955776,0.41097569465637207,0.2,880,0.9840744733810425,-2.7287800454545454,1258.0
57,29184,16,1792,0.024034988455241546,-0.024289688881253824,-0.03178092837333679,0.0004092704424510632,-43.429261326789856,0.227783203125,0.022961225,-0.9807615280151367,0.2,896,0.9836889505386353,-2.7267754347826085,1258.0
58,29696,16,1792,0.07915932545438409,-0.020915721397614107,-0.012020844966173172,0.0004092704424510632,-43.407981634140015,0.2210693359375,0.01535775,0.252224326133728,0.2,912,0.9825888276100159,-2.7267754347826085,1258.0
59,30208,16,1791,0.019661432248540223,-0.024185129936086014,-0.022873133420944214,0.0004092704424510632,-43.348334074020386,0.2227783203125,0.018754529,0.11452430486679077,0.2,928,0.9796066880226135,-2.725816125,1258.0
60,30720,17,1792,0.06575552024878561,-0.02403677960683126,-0.01790275052189827,0.0004092704424510632,-43.26921463012695,0.2449951171875,0.023651287,0.4418030381202698,0.2,944,0.9781777262687683,-2.725816125,1258.0
