time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef
4,-4.1128315,1223.0,26,-173.9986114501953,4892,187,0.0008459126528049375,4791,1.6228117942810059,-124.67208862304688,0.01926201581954956
8,-3.3536280000000005,1223.0,25,-41.012062072753906,9784,389,0.0008459126528049375,9683,45.44545364379883,-131.41305541992188,0.00122647057287395
12,-2.6936819166666672,1223.0,24,36.7594108581543,14676,591,0.0008459126528049375,14575,34.011634826660156,-137.828369140625,0.000930599111597985
16,-2.389775,1223.0,24,99.17487335205078,19568,787,0.0008459126528049375,19467,29.035171508789062,-128.41030883789062,0.0015306061832234263
20,-2.18812115,1223.0,25,-42.77637481689453,24460,967,0.0008459126528049375,24359,5.0484771728515625,-112.57303619384766,0.0007928285631351173
24,-2.0546262499999997,1223.0,26,277.3733215332031,29352,166,0.0008459126528049375,29251,35.62506103515625,-87.5436782836914,0.000491900194901973
28,-1.9588159642857141,1223.0,27,-2.9372730255126953,34244,336,0.0008459126528049375,34143,2.055213689804077,-76.33856201171875,0.0009299275116063654
32,-1.900472625,1223.0,27,-19.533924102783203,39136,506,0.0008459126528049375,39035,1.7400364875793457,-77.56474304199219,0.00022191257448866963
36,-1.8222080555555555,1223.0,28,124.15255737304688,44028,677,0.0008459126528049375,43927,2.9325098991394043,-74.41854095458984,0.00023870855511631817
40,-1.7618339749999996,1223.0,28,22.343286514282227,48920,838,0.0008459126528049375,48819,0.8699874877929688,-68.63937377929688,0.00011672088294290006
44,-1.7186544772727268,1223.0,28,-1.2009217739105225,53812,134,0.0008459126528049375,53711,2.48218035697937,-63.99827575683594,0.0004105030675418675
48,-1.6777953333333333,1223.0,27,-24.42620277404785,58704,315,0.0008459126528049375,58603,2.1771018505096436,-59.46182632446289,0.0004713205271400511
52,-1.6415065961538462,1223.0,27,9.894369125366211,63596,502,0.0008459126528049375,63495,4.409690856933594,-59.21693420410156,0.00037579797208309174
56,-1.6031476964285716,1223.0,27,405.59765625,68488,674,0.0008459126528049375,68387,9.3546781539917,-42.4262809753418,0.0004264426534064114
60,-1.5685647333333335,1223.0,27,19.263717651367188,73380,838,0.0008459126528049375,73279,6.275758743286133,-37.65486145019531,0.00048530660569667816
64,-1.5544336875,1223.0,27,46.85486602783203,78272,119,0.0008459126528049375,78171,8.65020751953125,-32.24630355834961,0.0008048128220252693
68,-1.5387626029411765,1223.0,25,-10.968141555786133,83164,314,0.0008459126528049375,83063,3.4173967838287354,-29.995372772216797,0.0016007140511646867
72,-1.5159251805555556,1223.0,25,88.90583038330078,88056,506,0.0008459126528049375,87955,3.817870616912842,-24.44875717163086,0.000576626742258668
76,-1.4913881842105265,1223.0,26,-28.210020065307617,92948,676,0.0008459126528049375,92847,6.772025108337402,-13.321023941040039,0.0010857888264581561
80,-1.4681749874999999,1223.0,26,6.793564319610596,97840,863,0.0008459126528049375,97739,10.271977424621582,-0.6497817039489746,0.000978035037405789
