time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef
4,-4.1554512500000005,1223.0,29,-159.46055603027344,4892,166,0.0008459126528049375,4791,0.9454523324966431,-123.09413146972656,0.019045904278755188
8,-3.296440125,1223.0,29,-34.503997802734375,9784,333,0.0008459126528049375,9683,3.073835849761963,-128.8892059326172,0.0010451494017615914
12,-2.729092083333333,1223.0,29,-21.27228546142578,14676,504,0.0008459126528049375,14575,10.771682739257812,-125.9326400756836,0.0011693781707435846
16,-2.38843125,1223.0,28,9.814640045166016,19568,675,0.0008459126528049375,19467,20.738611221313477,-115.78388977050781,0.0019047356909140944
20,-2.1868770499999997,1223.0,29,5.327730655670166,24460,843,0.0008459126528049375,24359,5.096399307250977,-109.07511901855469,0.0006204997189342976
24,-2.0361162916666666,1223.0,27,7.298125267028809,29352,156,0.0008459126528049375,29251,31.581207275390625,-96.74435424804688,0.0005812593153677881
28,-1.9299199642857143,1223.0,29,41.15290451049805,34244,314,0.0008459126528049375,34143,1.308566689491272,-94.6943130493164,0.0005571398069150746
32,-1.86983334375,1223.0,30,-13.116527557373047,39136,463,0.0008459126528049375,39035,3.5246739387512207,-83.34288787841797,0.000584303867071867
36,-1.8108670277777779,1223.0,31,-62.58592224121094,44028,612,0.0008459126528049375,43927,2.442432165145874,-72.05030059814453,0.00028834748081862926
40,-1.7393304749999998,1223.0,31,-21.632783889770508,48920,761,0.0008459126528049375,48819,0.6391453742980957,-71.0294418334961,0.0004405890649650246
44,-1.6924120227272725,1223.0,32,-42.528385162353516,53812,115,0.0008459126528049375,53711,2.539611339569092,-56.54253387451172,0.00046173582086339593
48,-1.6719194166666664,1223.0,32,12.274330139160156,58704,265,0.0008459126528049375,58603,1.8622416257858276,-42.13579559326172,0.000282699940726161
52,-1.6407182307692305,1223.0,32,-7.062697887420654,63596,418,0.0008459126528049375,63495,2.5270638465881348,-30.756431579589844,0.0006328661693260074
56,-1.6185591785714284,1223.0,31,-37.38106918334961,68488,594,0.0008459126528049375,68387,1.7359246015548706,-24.36249542236328,0.0003100972098764032
60,-1.5850428499999996,1223.0,31,-9.164053916931152,73380,746,0.0008459126528049375,73279,0.849992036819458,-21.994810104370117,0.0007312360685318708
64,-1.5702168125,1223.0,31,-57.124359130859375,78272,104,0.0008459126528049375,78171,1.1217639446258545,-21.607696533203125,0.0002688993699848652
68,-1.5612951176470586,1223.0,30,41.32925796508789,83164,264,0.0008459126528049375,83063,0.8286369442939758,-14.801776885986328,0.00023808628611732274
72,-1.5470053333333336,1223.0,30,78.43881225585938,88056,425,0.0008459126528049375,87955,0.6791984438896179,-12.106305122375488,0.0002545574971009046
76,-1.5275089736842107,1223.0,31,-33.125186920166016,92948,572,0.0008459126528049375,92847,1.5199203491210938,-9.027124404907227,0.00041925572440959513
80,-1.5125169125,1223.0,31,-26.5189208984375,97840,721,0.0008459126528049375,97739,0.9602880477905273,-7.75284481048584,0.00030783662805333734
