time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/std,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/explained_variance,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
19,58,29696,1538,1.0018101930618286,0.0004092704424510632,0.015675088,-0.018224940315121785,0.1390380859375,-43.98811900615692,0.10373669292312115,0.2,912,0.7638213634490967,0.001469803974032402,1258.0,-2.6848029999999996
19,59,30208,1538,1.0008600950241089,0.0004092704424510632,0.02157176,-0.02971395116765052,0.265625,-43.969979643821716,0.004407268472277792,0.2,928,-5.015830039978027,-0.043925218284130096,1258.0,-2.6832407499999995
19,60,30720,1537,1.0004231929779053,0.0004092704424510632,0.014877467,-0.012091344920918345,0.067626953125,-43.94845521450043,0.17597067542374134,0.2,944,0.6123180389404297,0.01292535848915577,1258.0,-2.6832407499999995
20,61,31232,1538,1.0000215768814087,0.0004092704424510632,0.01931023,-0.025379235245054588,0.2423095703125,-43.932586908340454,0.0053889928276475985,0.2,960,-1.8612678050994873,-0.04031398519873619,1258.0,-2.6832407499999995
20,62,31744,1538,1.0016077756881714,0.0004092704424510632,0.024292126,-0.025287707612733357,0.26025390625,-43.94817066192627,0.01799204116105102,0.2,976,0.04775470495223999,-0.016965169459581375,1258.0,-2.6834463599999996
20,63,32256,1538,1.0025643110275269,0.0004092704424510632,0.019932922,-0.018750152623397298,0.162109375,-43.9985066652298,0.149100495968014,0.2,992,0.6844271421432495,-0.0010543838143348694,1258.0,-2.6834463599999996
21,64,32768,1539,1.0029796361923218,0.0004092704424510632,0.018908568,-0.03057625811197795,0.2825927734375,-44.018229246139526,0.008308837066579144,0.2,1008,-2.4045066833496094,-0.029400577768683434,1258.0,-2.6871123846153844
21,65,33280,1540,1.0025957822799683,0.0004092704424510632,0.014190007,-0.01556264485407155,0.1416015625,-44.01782548427582,0.13757118431385607,0.2,1024,0.6277570724487305,0.0031738653779029846,1258.0,-2.6871123846153844
21,66,33792,1540,1.002900242805481,0.0004092704424510632,0.023641933,-0.025880650158796925,0.26953125,-44.009087324142456,0.0053597457153955474,0.2,1040,-1.6153275966644287,-0.0366460382938385,1258.0,-2.6871123846153844
22,67,34304,1535,1.00371515750885,0.0004092704424510632,0.024019836,-0.028933194058481604,0.28564453125,-44.03389012813568,0.012752128823194653,0.2,1056,0.056182682514190674,-0.03572876751422882,1258.0,-2.684214703703703
22,68,34816,1534,1.0038586854934692,0.0004092704424510632,0.013259474,-0.012867630677646957,0.09814453125,-44.05025374889374,0.148209621431306,0.2,1072,0.6392288208007812,-0.010644683614373207,1258.0,-2.684214703703703
23,69,35328,1535,1.003250002861023,0.0004092704424510632,0.0175756,-0.025983478437410668,0.2476806640625,-44.04044556617737,0.01473671369603835,0.2,1088,-0.05218040943145752,-0.02659892849624157,1258.0,-2.6871892142857137
23,70,35840,1534,1.0029571056365967,0.0004092704424510632,0.014165037,-0.012042648653732613,0.0921630859375,-44.02672779560089,0.1611809340538457,0.2,1104,0.614101231098175,0.0023218337446451187,1258.0,-2.6871892142857137
23,71,36352,1534,0.9997678995132446,0.0004092704424510632,0.0146847125,-0.025993716306402348,0.2269287109375,-43.97936689853668,0.004305914277210832,0.2,1120,-0.6104217767715454,-0.03310508280992508,1258.0,-2.6871892142857137
24,72,36864,1533,1.0006215572357178,0.0004092704424510632,0.024416223,-0.025797530921408907,0.2930908203125,-43.924673438072205,0.01110468860133551,0.2,1136,0.04229533672332764,-0.01916472241282463,1258.0,-2.687751862068965
24,73,37376,1531,1.001165747642517,0.0004092704424510632,0.018368054,-0.018253792426548898,0.1265869140625,-43.96345913410187,0.21776687493547797,0.2,1152,0.39083921909332275,0.011180862784385681,1258.0,-2.687751862068965
24,74,37888,1531,1.0025221109390259,0.0004092704424510632,0.025057562,-0.03558787254587514,0.311767578125,-43.981929898262024,0.01213520513556432,0.2,1168,-0.07105231285095215,-0.04358397796750069,1258.0,-2.688087
25,75,38400,1528,1.0027157068252563,0.0004092704424510632,0.015711933,-0.016298502785502933,0.13232421875,-44.01865530014038,0.20633183140307665,0.2,1184,0.7552981972694397,0.012069851160049438,1258.0,-2.688087
25,76,38912,1529,1.0017333030700684,0.0004092704424510632,0.017155945,-0.026530522824032232,0.250732421875,-44.0031955242157,0.005324521436705254,0.2,1200,-1.6740219593048096,-0.042938850820064545,1258.0,-2.688087
25,77,39424,1529,1.0006176233291626,0.0004092704424510632,0.022209473,-0.02939049572160002,0.28369140625,-43.96940207481384,0.019433350418694317,0.2,1216,0.4160084128379822,-0.03790850564837456,1258.0,-2.6896031290322577
26,78,39936,1529,1.0002855062484741,0.0004092704424510632,0.023533482,-0.019845614799123723,0.1470947265625,-43.94891595840454,0.11023980739992112,0.2,1232,0.7744340896606445,-0.020353572443127632,1258.0,-2.6896031290322577
26,79,40448,1530,1.0014663934707642,0.0004092704424510632,0.01753806,-0.026372001790150534,0.216064453125,-43.9558140039444,0.017693109984975308,0.2,1248,-0.44168734550476074,-0.04528260976076126,1258.0,-2.69258621875
26,80,40960,1530,1.0020155906677246,0.0004092704424510632,0.009066362,-0.01125014983699657,0.0654296875,-43.98749089241028,0.2645037283655256,0.2,1264,0.770488440990448,0.01752983033657074,1258.0,-2.69258621875
27,81,41472,1531,1.0024030208587646,0.0004092704424510632,0.014699472,-0.024956036199000664,0.244140625,-44.001960039138794,0.007132894214009866,0.2,1280,-6.662463665008545,-0.04071253910660744,1258.0,-2.69258621875
27,82,41984,1531,1.0025668144226074,0.0004092704424510632,0.01959574,-0.023990806395886466,0.2474365234375,-44.010764479637146,0.013494347542291507,0.2,1296,0.573878288269043,-0.03109648823738098,1258.0,-2.6837358181818183
27,83,42496,1531,1.0014921426773071,0.0004092704424510632,0.015864257,-0.01730588704231195,0.1356201171875,-43.99970090389252,0.1988389900070615,0.2,1312,0.4962533116340637,-0.013704056851565838,1258.0,-2.6837358181818183
28,84,43008,1532,1.0008482933044434,0.0004092704424510632,0.021322053,-0.029506035440135747,0.257080078125,-43.960163831710815,0.01329331350279972,0.2,1328,0.010078072547912598,-0.03672095015645027,1258.0,-2.688686823529412
28,85,43520,1531,1.0002734661102295,0.0004092704424510632,0.014614079,-0.0156454648822546,0.1055908203125,-43.94491744041443,0.2094418308697641,0.2,1344,0.7371512651443481,0.011441225185990334,1258.0,-2.688686823529412
