time/fps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/episodes,train/learning_rate
10,4931,1.7432665824890137,460,-179.060546875,-4.79359475,-121.45773315429688,1258.0,5032,0.016925381496548653,4,0.0008459126528049375
10,9963,10.945659637451172,922,-62.41645050048828,-3.7498208749999997,-116.61666870117188,1258.0,10064,0.0013560489751398563,8,0.0008459126528049375
10,14995,4.850393772125244,1378,-27.86272430419922,-3.032063916666667,-109.68975830078125,1258.0,15096,0.0013491883873939514,12,0.0008459126528049375
10,20027,1.7853792905807495,1840,20.528461456298828,-2.6861445625,-106.6768798828125,1258.0,20128,0.0007426228257827461,16,0.0008459126528049375
10,25059,1.0581679344177246,14,9.939566612243652,-2.4686859500000002,-104.30297088623047,1258.0,25160,0.000667434767819941,20,0.0008459126528049375
10,30091,1.4003868103027344,482,-26.6396427154541,-2.3048422916666667,-99.53472137451172,1258.0,30192,0.00032801181077957153,24,0.0008459126528049375
10,35123,1.294154167175293,946,133.3756103515625,-2.2104282142857143,-96.0732192993164,1258.0,35224,0.0001770167873473838,28,0.0008459126528049375
10,40155,7.15117883682251,1416,-19.880964279174805,-2.12226290625,-91.81369018554688,1258.0,40256,0.0005987672484479845,32,0.0008459126528049375
10,45187,7.791545867919922,1888,-19.67984390258789,-2.0681121944444443,-49.882957458496094,1258.0,45288,0.0009608324617147446,36,0.0008459126528049375
10,50219,3.3162262439727783,29,-33.53989028930664,-2.025199625,-43.951847076416016,1258.0,50320,0.0009476259583607316,40,0.0008459126528049375
10,55251,4.163795471191406,502,57.02082061767578,-2.0025151136363637,-38.135704040527344,1258.0,55352,0.00035748229129239917,44,0.0008459126528049375
10,60283,9.511425018310547,972,-8.322860717773438,-1.9622287083333332,-31.78220558166504,1258.0,60384,0.0010286470642313361,48,0.0008459126528049375
10,65315,6.928576469421387,1438,42.96920394897461,-1.9243529038461538,-25.181941986083984,1258.0,65416,0.002240049419924617,52,0.0008459126528049375
