rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed
-4.64240775,0.0008459126528049375,-120.24977111816406,0.017064426094293594,4,1257.0,4927,67,3.4289679527282715,-176.36529541015625,5028,74
-3.59744325,0.0008459126528049375,-124.39546203613281,0.0013321073492988944,8,1257.0,9955,66,18.31589698791504,-26.614261627197266,10056,150
-2.9570079166666665,0.0008459126528049375,-125.17759704589844,0.000572481076233089,12,1257.0,14983,66,2.8329179286956787,3.250969409942627,15084,226
-2.5660723125000002,0.0008459126528049375,-110.22058868408203,0.0009501543245278299,16,1257.0,20011,66,3.757100820541382,61.73682403564453,20112,303
-2.4020413,0.0008459126528049375,-106.99583435058594,0.0003561234043445438,20,1257.0,25039,72,16.056251525878906,74.8938217163086,25140,1
-2.266123833333334,0.0008459126528049375,-100.35757446289062,0.0004538211796898395,24,1257.0,30067,68,3.7578728199005127,77.372802734375,30168,75
-2.170617857142857,0.0008459126528049375,-78.41452026367188,0.00035584179568104446,28,1257.0,35095,66,42.05653762817383,-16.840211868286133,35196,154
-2.081528125,0.0008459126528049375,-65.18929290771484,0.000536153675056994,32,1257.0,40123,66,2.500272274017334,-64.88481140136719,40224,230
-2.0300721944444446,0.0008459126528049375,-40.74946212768555,0.00038896777550689876,36,1257.0,45151,66,2.3596413135528564,46.335060119628906,45252,305
-1.9699816249999997,0.0008459126528049375,-23.507627487182617,0.000968233507592231,40,1257.0,50179,69,1.8704664707183838,11.280768394470215,50280,4
-1.9104483636363638,0.0008459126528049375,-20.04921531677246,0.00035878116614185274,44,1257.0,55207,66,0.5050572752952576,51.52831268310547,55308,79
-1.8709871875000001,0.0008459126528049375,-12.691987037658691,0.0004616633814293891,48,1257.0,60235,65,1.320086121559143,-35.943260192871094,60336,158
-1.8317543846153848,0.0008459126528049375,0.29889777302742004,0.0012531982501968741,52,1257.0,65263,65,2.0341944694519043,-28.93396759033203,65364,235
-1.8104739642857144,0.0008459126528049375,3.886935234069824,0.00036035547964274883,56,1257.0,70291,65,1.3667069673538208,72.33900451660156,70392,312
-1.7855974166666668,0.0008459126528049375,4.445779800415039,0.00020831394067499787,60,1257.0,75319,64,2.184919595718384,42.25949478149414,75420,6
-1.76274425,0.0008459126528049375,9.997602462768555,0.00046097266022115946,64,1257.0,80347,62,0.4462186396121979,28.396041870117188,80448,86
-1.7522986176470585,0.0008459126528049375,11.299851417541504,0.0002656057185959071,68,1257.0,85375,62,0.275774210691452,36.937347412109375,85476,168
-1.731102347222222,0.0008459126528049375,14.987245559692383,0.00019680868717841804,72,1257.0,90403,62,0.33961889147758484,-41.85093688964844,90504,249
-1.709929842105263,0.0008459126528049375,17.398239135742188,0.0002476728113833815,76,1257.0,95431,61,0.23992079496383667,-3.5910305976867676,95532,332
