time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4099,0,1,512,,,,,,,,,,,,,
1869,0,2,1024,16,0.1744930264467257,-1.1825268268585205,0.9990217089653015,0.2,-0.04220499098300934,0.016908035,-43.9762989282608,0.0004092704424510632,0.24267578125,-0.02829504548572004,,
1583,0,3,1536,32,0.0063288383098552,0.025596678256988525,0.9968956112861633,0.2,-0.030296986922621727,0.024340998,-43.92546212673187,0.0004092704424510632,0.2979736328125,-0.027863996103405952,1258.0,-2.855867
1470,1,4,2048,48,0.0200840329634957,-0.004805564880371094,0.9973055720329285,0.2,-0.024313785135746002,0.017740957,-43.88822662830353,0.0004092704424510632,0.2801513671875,-0.025733568298164755,1258.0,-2.855867
1410,1,5,2560,64,0.005661149029037915,-0.0017229318618774414,0.9968318343162537,0.2,-0.0333721749484539,0.01653894,-43.89753568172455,0.0004092704424510632,0.24365234375,-0.025386005378095433,1258.0,-2.785019
1373,2,6,3072,80,0.009057399292942137,-0.005274176597595215,0.9982650876045227,0.2,-0.027626866474747658,0.017357899,-43.89973735809326,0.0004092704424510632,0.23681640625,-0.021857817206182517,1258.0,-2.785019
1348,2,7,3584,96,0.007416117136017419,-0.001809239387512207,0.9994331002235413,0.2,-0.030309127643704414,0.017341837,-43.946842670440674,0.0004092704424510632,0.2437744140625,-0.02422105398727581,1258.0,-2.785019
1324,3,8,4096,112,0.00222829155245563,0.008138895034790039,0.9986897110939026,0.2,-0.042316652834415436,0.01736915,-43.95615577697754,0.0004092704424510632,0.2861328125,-0.03174953366396949,1258.0,-2.791926333333333
1313,3,9,4608,128,0.0050573145563248545,-0.0012769699096679688,0.9974367618560791,0.2,-0.04087483510375023,0.0109735895,-43.92271399497986,0.0004092704424510632,0.1640625,-0.021637562444084324,1258.0,-2.791926333333333
1303,3,10,5120,144,0.006227538746315986,0.005280971527099609,0.996282696723938,0.2,-0.03996846452355385,0.015425357,-43.878063678741455,0.0004092704424510632,0.24169921875,-0.02208199942833744,1258.0,-2.751219
1297,4,11,5632,160,0.004687017542892136,-0.0002104043960571289,0.9960368871688843,0.2,-0.03698848932981491,0.015052788,-43.85584306716919,0.0004092704424510632,0.228515625,-0.024131481477525085,1258.0,-2.751219
1291,4,12,6144,176,0.005962558680039365,0.012323200702667236,0.996118426322937,0.2,-0.039184682071208954,0.017541766,-43.85190784931183,0.0004092704424510632,0.2310791015625,-0.023995894720428623,1258.0,-2.751219
1285,5,13,6656,192,0.0033476260214229114,0.005714833736419678,0.9965271949768066,0.2,-0.03751198202371597,0.016933989,-43.85586667060852,0.0004092704424510632,0.2332763671875,-0.02530308294808492,1258.0,-2.775813
1281,5,14,7168,208,0.008436729971435852,0.003716409206390381,0.9965669512748718,0.2,-0.05387113243341446,0.017595869,-43.87032091617584,0.0004092704424510632,0.279296875,-0.03134804813453229,1258.0,-2.775813
1278,6,15,7680,224,0.005216415418544784,0.019813597202301025,0.9942614436149597,0.2,-0.0439184308052063,0.023397923,-43.830557227134705,0.0004092704424510632,0.2806396484375,-0.028438128356356174,1258.0,-2.7569328333333334
1275,6,16,8192,240,0.016744172404287383,0.006461441516876221,0.9912303686141968,0.2,-0.02974647656083107,0.015761422,-43.74434721469879,0.0004092704424510632,0.236572265625,-0.026970676190103404,1258.0,-2.7569328333333334
1273,6,17,8704,256,0.005671279155649245,0.02931004762649536,0.9913812279701233,0.2,-0.021636787801980972,0.020536043,-43.69232952594757,0.0004092704424510632,0.2537841796875,-0.024407333803537767,1258.0,-2.7569328333333334
1271,7,18,9216,272,0.002924627358879661,0.032449960708618164,0.9902034401893616,0.2,-0.04656921327114105,0.018387578,-43.687588810920715,0.0004092704424510632,0.228271484375,-0.027611170589807443,1258.0,-2.727912857142857
1268,7,19,9728,288,0.028870647307485342,0.002548038959503174,0.989479660987854,0.2,-0.025436416268348694,0.019529196,-43.64560079574585,0.0004092704424510632,0.2767333984375,-0.027125027860165574,1258.0,-2.727912857142857
1266,8,20,10240,304,0.004342915315646678,0.25045108795166016,0.9881999492645264,0.2,-0.03403555229306221,0.017655589,-43.621224999427795,0.0004092704424510632,0.275634765625,-0.023224044358357787,1258.0,-2.71254475
1265,8,21,10752,320,0.03514054528204724,0.055107712745666504,0.9875163435935974,0.2,-0.020779237151145935,0.01744739,-43.58112382888794,0.0004092704424510632,0.248779296875,-0.02576336238416843,1258.0,-2.71254475
1263,8,22,11264,336,0.004199993694783188,0.48443591594696045,0.9890230894088745,0.2,-0.03455318510532379,0.015209899,-43.59350621700287,0.0004092704424510632,0.2327880859375,-0.025636166661570314,1258.0,-2.71254475
