time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1313,4,12,6144,176,0.0057681428152136505,0.004576385021209717,0.9924447536468506,0.2,-0.04365736246109009,0.02762302,-43.71314454078674,0.0004092704424510632,0.3157958984375,-0.033209912056918256,1258.0,-2.7246525000000004
1308,5,13,6656,192,0.0022839586999907624,0.00699692964553833,0.992438018321991,0.2,-0.0387483686208725,0.020820193,-43.74496924877167,0.0004092704424510632,0.2529296875,-0.028087080514524132,1258.0,-2.7008004000000003
1302,5,14,7168,208,0.015539343294221908,-0.0010347366333007812,0.9931730628013611,0.2,-0.03784998506307602,0.026113689,-43.750316739082336,0.0004092704424510632,0.3095703125,-0.03277097604586743,1258.0,-2.7008004000000003
1298,5,15,7680,224,0.006293441139860079,0.005058109760284424,0.9953835606575012,0.2,-0.04674932360649109,0.021225534,-43.789159536361694,0.0004092704424510632,0.263427734375,-0.030173087172443047,1258.0,-2.712793333333334
1294,6,16,8192,240,0.025159243785310537,0.0008342862129211426,0.9969590902328491,0.2,-0.028605660423636436,0.018931497,-43.85495579242706,0.0004092704424510632,0.2529296875,-0.02239707304397598,1258.0,-2.712793333333334
1291,6,17,8704,256,0.005100383554236032,0.01728534698486328,0.9968774318695068,0.2,-0.02488175593316555,0.015483376,-43.875062704086304,0.0004092704424510632,0.2347412109375,-0.01930271457240451,1258.0,-2.712793333333334
1287,7,18,9216,272,0.003077684716117801,0.006150245666503906,0.9984226822853088,0.2,-0.03174259141087532,0.013217596,-43.89108419418335,0.0004092704424510632,0.2015380859375,-0.022352615240379237,1258.0,-2.692223142857143
1284,7,19,9728,288,0.043171185185201466,0.001036226749420166,1.0002866983413696,0.2,-0.013765973970293999,0.013881376,-43.94872975349426,0.0004092704424510632,0.2110595703125,-0.024119776266161352,1258.0,-2.692223142857143
1282,7,20,10240,304,0.005608380030025728,0.03261458873748779,1.001190423965454,0.2,-0.033693909645080566,0.027593901,-43.993852853775024,0.0004092704424510632,0.2672119140625,-0.025937933300156146,1258.0,-2.701808375
1280,8,21,10752,320,0.0550221586599946,0.005063354969024658,1.0008677244186401,0.2,-0.0002013780176639557,0.014102435,-43.99827790260315,0.0004092704424510632,0.208740234375,-0.020115760846238118,1258.0,-2.701808375
