time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4147,0,1,512,,,,,,,,,,,,,
1904,0,2,1024,16,0.22771072685645777,-2.635833978652954,0.9978927969932556,0.2,-0.03680810704827309,0.014869586,-43.9548225402832,0.0004092704424510632,0.2125244140625,-0.02460565856017638,,
1620,0,3,1536,32,0.005048744278610684,0.013180017471313477,0.9970623850822449,0.2,-0.04179439693689346,0.020305086,-43.904439091682434,0.0004092704424510632,0.3089599609375,-0.029735390038695186,1258.0,-2.876668
1504,1,4,2048,48,0.005670497826940846,0.0078011155128479,0.9962385892868042,0.2,-0.03670971468091011,0.01833102,-43.88201451301575,0.0004092704424510632,0.26513671875,-0.027493053814396262,1258.0,-2.876668
1444,1,5,2560,64,0.00546189968008548,0.017516732215881348,0.9931831359863281,0.2,-0.0363493487238884,0.01006768,-43.824979066848755,0.0004092704424510632,0.1785888671875,-0.022316670219879597,1258.0,-2.7569765
1405,2,6,3072,80,0.005303480007569306,0.009579002857208252,0.9935768842697144,0.2,-0.023837173357605934,0.017877517,-43.77131998538971,0.0004092704424510632,0.2607421875,-0.027093295502709225,1258.0,-2.7569765
1378,2,7,3584,96,0.0059037670434918255,0.0021976232528686523,0.9921318292617798,0.2,-0.02974243462085724,0.022343392,-43.77156484127045,0.0004092704424510632,0.3424072265625,-0.031504911748925224,1258.0,-2.7569765
1362,3,8,4096,112,0.0029606276293634437,0.0072060227394104,0.9930113554000854,0.2,-0.04299455136060715,0.019969672,-43.738754987716675,0.0004092704424510632,0.2955322265625,-0.03160640115675051,1258.0,-2.7953136666666665
1345,3,9,4608,128,0.011293371790088713,0.010417520999908447,0.9950798153877258,0.2,-0.03187953308224678,0.019344084,-43.79603946208954,0.0004092704424510632,0.2537841796875,-0.029869420366594568,1258.0,-2.7953136666666665
1335,3,10,5120,144,0.005098166431707796,0.03788936138153076,0.996618926525116,0.2,-0.03855092450976372,0.017881589,-43.85550320148468,0.0004092704424510632,0.2694091796875,-0.02770239330129698,1258.0,-2.7905332499999997
1325,4,11,5632,160,0.020123099500779063,0.006900310516357422,0.997635543346405,0.2,-0.019456595182418823,0.023183215,-43.89130473136902,0.0004092704424510632,0.3201904296875,-0.03499843135068659,1258.0,-2.7905332499999997
1319,4,12,6144,176,0.005374694519559853,0.06610029935836792,0.9979533553123474,0.2,-0.035307593643665314,0.01683442,-43.91308522224426,0.0004092704424510632,0.228515625,-0.026886466090218164,1258.0,-2.7905332499999997
1312,5,13,6656,192,0.0031458552984986454,0.03652036190032959,0.9991955757141113,0.2,-0.04145012050867081,0.01618068,-43.934414863586426,0.0004092704424510632,0.2420654296875,-0.025795165056479163,1258.0,-2.7893313999999996
1306,5,14,7168,208,0.037258082476910204,0.011902332305908203,0.9978266954421997,0.2,-0.010606179013848305,0.01969704,-43.93497049808502,0.0004092704424510632,0.2542724609375,-0.023747430255752988,1258.0,-2.7893313999999996
1303,5,15,7680,224,0.004528992722043768,0.1960621476173401,0.9976485371589661,0.2,-0.03904929384589195,0.018733222,-43.89745903015137,0.0004092704424510632,0.243408203125,-0.02497547412349377,1258.0,-2.7887729999999995
1299,6,16,8192,240,0.04106008308008313,0.061525166034698486,0.9970734715461731,0.2,-0.012207332998514175,0.026206974,-43.89786386489868,0.0004092704424510632,0.2718505859375,-0.027878991786565166,1258.0,-2.7887729999999995
1295,6,17,8704,256,0.003978258002462098,0.4079524278640747,0.998267412185669,0.2,-0.041116468608379364,0.01895981,-43.89252543449402,0.0004092704424510632,0.26611328125,-0.026149735029321164,1258.0,-2.7887729999999995
1293,7,18,9216,272,0.003920365372323431,0.15694034099578857,1.0002448558807373,0.2,-0.030978919938206673,0.017010685,-43.94315242767334,0.0004092704424510632,0.231689453125,-0.02339481038507074,1258.0,-2.7867251428571427
1291,7,19,9728,288,0.06173406622838229,0.00817716121673584,1.0004856586456299,0.2,-0.011043354868888855,0.020759156,-43.98539221286774,0.0004092704424510632,0.24853515625,-0.025657085338025354,1258.0,-2.7867251428571427
1287,7,20,10240,304,0.0031079927721293643,0.20371383428573608,1.0000287294387817,0.2,-0.042811665683984756,0.01628202,-43.97823905944824,0.0004092704424510632,0.2137451171875,-0.0221782969601918,1258.0,-2.7829125
1285,8,21,10752,320,0.06421260500792414,0.14802712202072144,0.9998754858970642,0.2,0.0030642803758382797,0.021408137,-43.96766257286072,0.0004092704424510632,0.234375,-0.023494086381106172,1258.0,-2.7829125
1282,8,22,11264,336,0.004957089200615883,0.09337973594665527,0.9994072318077087,0.2,-0.017127886414527893,0.015638884,-43.960362911224365,0.0004092704424510632,0.2193603515625,-0.022660187853034586,1258.0,-2.7829125
