train/ent_coef,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/episodes,train/actor_loss
0.017703164368867874,1257.0,4927,47.367454528808594,32,-4.876695000000001,5028,-167.47512817382812,154,0.0008459126528049375,4,-121.4844970703125
0.0014089099131524563,1257.0,9955,4.046327114105225,31,-3.790839,10056,-5.695363521575928,319,0.0008459126528049375,8,-127.16419219970703
0.0016903653740882874,1257.0,14983,7.86369514465332,31,-3.220849916666667,15084,-3.5114879608154297,479,0.0008459126528049375,12,-119.74319458007812
0.0013179131783545017,1257.0,20011,3.091618061065674,31,-2.8933351875,20112,-38.112159729003906,635,0.0008459126528049375,16,-104.95632934570312
0.0009842034196481109,1257.0,25039,3.4876370429992676,28,-2.7043125999999997,25140,-24.31577491760254,4,0.0008459126528049375,20,-105.7410888671875
0.0013210363686084747,1257.0,30067,4.143265247344971,31,-2.55008425,30168,-49.782386779785156,162,0.0008459126528049375,24,-89.26678466796875
0.0006719459197483957,1257.0,35095,7.905845642089844,32,-2.4340884642857143,35196,-4.096889019012451,318,0.0008459126528049375,28,-77.70037841796875
0.0015561938052996993,1257.0,40123,3.743008613586426,31,-2.3216796875,40224,-66.66751861572266,477,0.0008459126528049375,32,-61.075103759765625
0.000588811410125345,1257.0,45151,1.7510464191436768,31,-2.26112575,45252,-8.8705415725708,634,0.0008459126528049375,36,-54.77408981323242
0.0007583932601846755,1257.0,50179,1.257051944732666,28,-2.19388145,50280,29.783266067504883,9,0.0008459126528049375,40,-43.12641525268555
0.0009306261781603098,1257.0,55207,3.276616096496582,31,-2.139989,55308,23.842918395996094,168,0.0008459126528049375,44,-32.02099609375
0.0010279032867401838,1257.0,60235,4.736697673797607,31,-2.098361666666667,60336,-0.36949169635772705,327,0.0008459126528049375,48,-23.235240936279297
0.0006458532297983766,1257.0,65263,1.7916316986083984,31,-2.0736159615384615,65364,6.842232704162598,486,0.0008459126528049375,52,-22.01815414428711
0.000612382311373949,1257.0,70291,0.9771619439125061,31,-2.0265466250000004,70392,6.70257043838501,653,0.0008459126528049375,56,-14.782743453979492
0.0007648459868505597,1257.0,75319,1.8592244386672974,38,-1.9941054500000002,75420,-15.372551918029785,10,0.0008459126528049375,60,-6.283802032470703
0.000336128898197785,1257.0,80347,1.5730013847351074,30,-1.96211496875,80448,27.658729553222656,179,0.0008459126528049375,64,-5.155722618103027
0.0008311232668347657,1257.0,85375,2.6239445209503174,29,-1.9175081911764706,85476,-26.100704193115234,349,0.0008459126528049375,68,1.481938362121582
0.0003720263484865427,1257.0,90403,1.7999660968780518,29,-1.8978070555555557,90504,17.058731079101562,520,0.0008459126528049375,72,4.203305244445801
0.00044536637142300606,1257.0,95431,1.6360816955566406,29,-1.873212828947368,95532,-15.42166519165039,698,0.0008459126528049375,76,6.532103538513184
