time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
3690,1,0,512,,,,,,,,,,,,,
1763,2,0,1024,0.2237548828125,0.01597773,-1.1226484775543213,-0.040609098970890045,0.2,0.15635423790081404,0.0004092704424510632,16,0.9995181560516357,-0.025544687086949125,-43.987897992134094,,
1509,3,1,1536,0.2611083984375,0.020347811,0.009724259376525879,-0.03313311189413071,0.2,0.0034373975649941713,0.0004092704424510632,32,0.9967955946922302,-0.02848365332465619,-43.93214130401611,-2.766441,1258.0
1410,4,1,2048,0.3450927734375,0.028362311,0.021717846393585205,-0.024639133363962173,0.2,0.008326739931362681,0.0004092704424510632,48,0.9966259598731995,-0.02613213236327283,-43.87820100784302,-2.766441,1258.0
1356,5,1,2560,0.224365234375,0.015676033,0.06875795125961304,-0.036497075110673904,0.2,0.002877237715438241,0.0004092704424510632,64,0.9959616661071777,-0.022842286954983138,-43.87348401546478,-2.8271615,1258.0
1322,6,2,3072,0.3487548828125,0.029012896,0.02419126033782959,-0.03424854204058647,0.2,0.019874839868862182,0.0004092704424510632,80,0.9946526288986206,-0.03401464532362297,-43.83935797214508,-2.8271615,1258.0
1296,7,2,3584,0.220947265625,0.013511391,-0.03290402889251709,-0.038381144404411316,0.2,0.0016151086492754985,0.0004092704424510632,96,0.9930559396743774,-0.02249155330355279,-43.79335880279541,-2.8271615,1258.0
1276,8,3,4096,0.28271484375,0.01950337,-0.003082275390625,-0.031589820981025696,0.2,0.011612668313318864,0.0004092704424510632,112,0.9934772253036499,-0.027628354990156367,-43.76664197444916,-2.7769513333333333,1258.0
1260,9,3,4608,0.27392578125,0.016440656,-0.0037946701049804688,-0.03334575891494751,0.2,0.016559900337597355,0.0004092704424510632,128,0.9920203685760498,-0.026651703810784966,-43.76525890827179,-2.7769513333333333,1258.0
1247,10,4,5120,0.2437744140625,0.016503152,-0.006362318992614746,-0.03704330325126648,0.2,0.002564675629400881,0.0004092704424510632,144,0.99030601978302,-0.02568894310388714,-43.702635169029236,-2.7680480000000003,1258.0
1232,11,4,5632,0.27734375,0.023799833,0.02394258975982666,-0.021800536662340164,0.2,0.037429607938975096,0.0004092704424510632,160,0.9890655279159546,-0.02669298482942395,-43.656118631362915,-2.7680480000000003,1258.0
1224,12,5,6144,0.232421875,0.015578425,0.026055634021759033,-0.02719149738550186,0.2,0.0015131089767237427,0.0004092704424510632,176,0.9885351061820984,-0.024668864556588233,-43.63210093975067,-2.7680480000000003,1258.0
