time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
3735,1,0,512,,,,,,,,,,,,,
1749,2,0,1024,0.2286376953125,0.018931607,-2.7016706466674805,-0.04830022528767586,0.2,0.15726871077276883,0.0004092704424510632,16,0.998571515083313,-0.030142395553411916,-43.967581152915955,,
1506,3,1,1536,0.2086181640625,0.012456115,-0.0184098482131958,-0.02630714327096939,0.2,0.003415812287130393,0.0004092704424510632,32,1.000476360321045,-0.02445030413218774,-43.96102440357208,-2.581726,1258.0
1404,4,1,2048,0.2427978515625,0.016696144,0.0008087754249572754,-0.02795308083295822,0.2,0.012383846333250403,0.0004092704424510632,48,1.001107931137085,-0.02221793806529604,-44.01449632644653,-2.581726,1258.0
1350,5,1,2560,0.269775390625,0.01815174,-0.0008356571197509766,-0.028430435806512833,0.2,0.002879202405893011,0.0004092704424510632,64,0.9999834895133972,-0.02764503439539112,-44.00506508350372,-2.579688,1258.0
1280,6,2,3072,0.2825927734375,0.018091777,-0.00016701221466064453,-0.029128825291991234,0.2,0.009237265141564421,0.0004092704424510632,80,0.9983963370323181,-0.02672774385428056,-43.96022093296051,-2.579688,1258.0
1262,7,2,3584,0.2952880859375,0.01819419,0.003441035747528076,-0.031004808843135834,0.2,0.0012567975882120663,0.0004092704424510632,96,0.9984537363052368,-0.029046832387393806,-43.93337941169739,-2.579688,1258.0
1244,8,3,4096,0.31396484375,0.02449499,-0.00014603137969970703,-0.03949551284313202,0.2,0.01543433396727778,0.0004092704424510632,112,0.9969683289527893,-0.030308639776194468,-43.914695143699646,-2.6645496666666664,1258.0
1234,9,3,4608,0.2349853515625,0.017589822,-0.00937342643737793,-0.030584093183279037,0.2,0.004335910234658513,0.0004092704424510632,128,0.9945346713066101,-0.02407568829949014,-43.85163879394531,-2.6645496666666664,1258.0
1227,10,4,5120,0.228759765625,0.015422545,-0.006330370903015137,-0.04070071876049042,0.2,0.0038532268154085614,0.0004092704424510632,144,0.9938435554504395,-0.02113165022456087,-43.79589092731476,-2.72929825,1258.0
