train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,time/total_timesteps,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/learning_rate
0.017593512311577797,4,1257.0,186,2.186811923980713,5028,4927,-124.2984848022461,-175.2688751220703,26,-4.74371175,0.0008459126528049375
0.0009705590782687068,8,1257.0,379,5.695198059082031,10056,9955,-132.03408813476562,54.79170227050781,26,-3.6925980000000003,0.0008459126528049375
0.0013417538721114397,12,1257.0,564,36.44561767578125,15084,14983,-131.4413604736328,68.0197525024414,26,-3.051175916666667,0.0008459126528049375
0.001641361741349101,16,1257.0,758,12.73383617401123,20112,20011,-115.44541931152344,97.97331237792969,26,-2.70948175,0.0008459126528049375
0.0005991876823827624,20,1257.0,5,2.4148402214050293,25140,25039,-91.18682861328125,-13.214875221252441,26,-2.4895954,0.0008459126528049375
0.0005682343035005033,24,1257.0,169,2.2082810401916504,30168,30067,-78.7826919555664,29.78465461730957,30,-2.351045125,0.0008459126528049375
0.00020714965648949146,28,1257.0,332,1.0071450471878052,35196,35095,-75.8623046875,29.55380630493164,30,-2.2751648214285716,0.0008459126528049375
0.0001802949554985389,32,1257.0,494,2.1048295497894287,40224,40123,-69.48426055908203,37.1012077331543,30,-2.17319109375,0.0008459126528049375
0.0002502128481864929,36,1257.0,656,1.836907982826233,45252,45151,-64.89840698242188,109.87918853759766,30,-2.0917227499999997,0.0008459126528049375
0.0004925888497382402,40,1257.0,8,4.19173526763916,50280,50179,-61.73640060424805,13.66199016571045,31,-2.049049,0.0008459126528049375
0.00023809583217371255,44,1257.0,169,2.3208837509155273,55308,55207,-59.05353546142578,31.72924041748047,31,-2.0007772500000005,0.0008459126528049375
0.00037533522117882967,48,1257.0,330,1.3184056282043457,60336,60235,-54.434329986572266,1.431322693824768,31,-1.9523637916666665,0.0008459126528049375
0.00021808536257594824,52,1257.0,489,1.9196734428405762,65364,65263,-49.50313949584961,-66.4117202758789,31,-1.919270288461538,0.0008459126528049375
0.0004917894839309156,56,1257.0,649,1.2673227787017822,70392,70291,-46.53569412231445,-34.72855758666992,31,-1.8874751964285714,0.0008459126528049375
0.0003079884627368301,60,1257.0,14,0.31006574630737305,75420,75319,-43.55331039428711,24.153118133544922,29,-1.87060045,0.0008459126528049375
0.00031130079878494143,64,1257.0,185,0.5064074993133545,80448,80347,-42.312747955322266,24.73322105407715,29,-1.839663265625,0.0008459126528049375
0.0001663497678237036,68,1257.0,361,0.8426251411437988,85476,85375,-36.081092834472656,92.46552276611328,28,-1.8123425882352941,0.0008459126528049375
0.0003952819388359785,72,1257.0,548,1.5160061120986938,90504,90403,-27.277324676513672,61.45308303833008,28,-1.7823083194444445,0.0008459126528049375
0.00035702931927517056,76,1257.0,748,0.6859077215194702,95532,95431,-24.94538116455078,-20.640703201293945,27,-1.7662284868421052,0.0008459126528049375
