train/critic_loss,train/ent_coef_loss,time/fps,time/time_elapsed,time/episodes,train/n_updates,train/ent_coef,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/total_timesteps
49.867515563964844,-180.1538543701172,30,162,4,4791,0.019368799403309822,-4.553887,1223.0,-120.18035888671875,0.0008459126528049375,4892
2.1544580459594727,40.499881744384766,30,318,8,9683,0.0011714196298271418,-3.6398919999999997,1223.0,-127.28474426269531,0.0008459126528049375,9784
3.402003526687622,-65.18084716796875,32,456,12,14575,0.0008116063545458019,-3.03234325,1223.0,-131.33963012695312,0.0008459126528049375,14676
3.737091064453125,0.4142887592315674,32,595,16,19467,0.0009328080341219902,-2.6451708125,1223.0,-134.24978637695312,0.0008459126528049375,19568
4.884861469268799,-22.025680541992188,32,750,20,24359,0.0016048502875491977,-2.4128390499999997,1223.0,-130.28265380859375,0.0008459126528049375,24460
6.285253047943115,-42.69597244262695,28,151,24,29251,0.0012836885871365666,-2.26176125,1223.0,-115.31941986083984,0.0008459126528049375,29352
16.415348052978516,22.90207290649414,28,318,28,34143,0.0017283302731812,-2.128349642857143,1223.0,-106.114990234375,0.0008459126528049375,34244
9.431427001953125,47.09788131713867,30,460,32,39035,0.0013509594136849046,-2.04112428125,1223.0,-87.79286193847656,0.0008459126528049375,39136
2.496781826019287,42.314029693603516,31,602,36,43927,0.0006866887561045587,-1.9739020833333332,1223.0,-86.11528778076172,0.0008459126528049375,44028
1.6630687713623047,22.763824462890625,31,766,40,48819,0.0005569992936216295,-1.9217410000000001,1223.0,-76.48223876953125,0.0008459126528049375,48920
2.037595510482788,9.419737815856934,30,126,44,53711,0.0007874040165916085,-1.8893534772727272,1223.0,-70.73005676269531,0.0008459126528049375,53812
3.0211899280548096,16.397624969482422,29,294,48,58603,0.0006266567506827414,-1.8589825624999998,1223.0,-62.505393981933594,0.0008459126528049375,58704
2.252873659133911,0.6414868235588074,29,463,52,63495,0.00042919255793094635,-1.8163169807692303,1223.0,-60.60659408569336,0.0008459126528049375,63596
12.749565124511719,58.22813415527344,29,622,56,68387,0.000993753899820149,-1.7790658035714286,1223.0,-45.42222595214844,0.0008459126528049375,68488
4.447525501251221,-0.15671950578689575,29,793,60,73279,0.0005110267084091902,-1.7605117,1223.0,-43.603057861328125,0.0008459126528049375,73380
0.8016849756240845,-22.936235427856445,27,120,64,78171,0.0003385822055861354,-1.746067578125,1223.0,-41.86071014404297,0.0008459126528049375,78272
17.935379028320312,343.2236022949219,26,302,68,83063,0.00045373677858151495,-1.7282212499999998,1223.0,-34.5892219543457,0.0008459126528049375,83164
3.75937557220459,-20.625749588012695,28,466,72,87955,0.0007143971743062139,-1.7177115694444443,1223.0,-32.5272331237793,0.0008459126528049375,88056
3.949028730392456,-18.766979217529297,27,647,76,92847,0.0008347323746420443,-1.7086010263157896,1223.0,-28.75025177001953,0.0008459126528049375,92948
5.8168044090271,124.01194763183594,27,830,80,97739,0.0006722144898958504,-1.697788475,1223.0,-23.94916534423828,0.0008459126528049375,97840
