time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,4047,,,,,,,,,,,,,
1024,2,0,1868,0.3389892578125,16,0.0004092704424510632,0.07793326250248356,0.2,-0.04141958168474957,-0.04332606494426727,-0.46593713760375977,0.021952918,1.000847339630127,-43.995840668678284,,
1536,3,0,1599,0.28662109375,32,0.0004092704424510632,0.003391473845113069,0.2,-0.03003957877808716,-0.03878302499651909,-0.003448486328125,0.021972794,1.001123309135437,-44.02035403251648,-2.495833,1258.0
2048,4,1,1494,0.279052734375,48,0.0004092704424510632,0.005534187643206678,0.2,-0.028739468893036246,-0.03624827414751053,0.009879350662231445,0.01893925,0.9978535771369934,-43.97813153266907,-2.495833,1258.0
2560,5,1,1433,0.2548828125,64,0.0004092704424510632,0.0036897394893458113,0.2,-0.027096453122794628,-0.039137259125709534,0.03503221273422241,0.017202321,0.9974056482315063,-43.90550136566162,-2.509899,1258.0
3072,6,2,1397,0.2559814453125,80,0.0004092704424510632,0.011854895390570164,0.2,-0.023855166669818573,-0.020196575671434402,0.01674020290374756,0.015593037,0.9980762600898743,-43.91190731525421,-2.509899,1258.0
3584,7,2,1373,0.288818359375,96,0.0004092704424510632,0.003297775569080841,0.2,-0.028520407213363796,-0.027448974549770355,0.047756195068359375,0.020296928,0.9980999231338501,-43.926591634750366,-2.509899,1258.0
4096,8,3,1359,0.250244140625,112,0.0004092704424510632,0.002660768925125012,0.2,-0.02495572017505765,-0.02976888418197632,0.10067880153656006,0.013659382,0.9983121752738953,-43.92417061328888,-2.531019,1258.0
4608,9,3,1346,0.220458984375,128,0.0004092704424510632,0.02054105937713757,0.2,-0.026853181276237592,-0.029578790068626404,0.027115821838378906,0.015512589,0.9955311417579651,-43.8952351808548,-2.531019,1258.0
5120,10,3,1336,0.3067626953125,144,0.0004092704424510632,0.0026257207318849396,0.2,-0.03197951253969222,-0.04381006956100464,0.2600064277648926,0.02360202,0.9944274425506592,-43.81777203083038,-2.5623395,1258.0
5632,11,4,1328,0.2418212890625,160,0.0004092704424510632,0.027784163423348218,0.2,-0.021234732041193638,-0.016002986580133438,0.05214303731918335,0.01882254,0.9940823912620544,-43.80422079563141,-2.5623395,1258.0
6144,12,4,1321,0.2705078125,176,0.0004092704424510632,0.003049442864721641,0.2,-0.027215213689487427,-0.04115214943885803,0.4845629334449768,0.017307017,0.9944506287574768,-43.7963844537735,-2.5623395,1258.0
6656,13,5,1316,0.26953125,192,0.0004092704424510632,0.002360684680752456,0.2,-0.029954376004752703,-0.034311532974243164,0.2927559018135071,0.01654357,0.9935734868049622,-43.79633009433746,-2.5185488000000005,1258.0
7168,14,5,1311,0.2744140625,208,0.0004092704424510632,0.03733755415305495,0.2,-0.024489184346748516,-0.02854485623538494,0.09146225452423096,0.021752674,0.9938881397247314,-43.77943825721741,-2.5185488000000005,1258.0
7680,15,5,1307,0.2056884765625,224,0.0004092704424510632,0.0035637679684441537,0.2,-0.019936103519285098,-0.02713732421398163,0.32679224014282227,0.013148397,0.9934699535369873,-43.780866265296936,-2.5090858333333337,1258.0
8192,16,6,1303,0.29443359375,240,0.0004092704424510632,0.038303277688100934,0.2,-0.026827182184206322,-0.01660536229610443,0.19376468658447266,0.01946824,0.9933313727378845,-43.76869475841522,-2.5090858333333337,1258.0
8704,17,6,1300,0.2581787109375,256,0.0004092704424510632,0.004609426905517466,0.2,-0.02767048036912456,-0.034196507185697556,0.5173202753067017,0.01940902,0.9932307600975037,-43.76187765598297,-2.5090858333333337,1258.0
9216,18,7,1298,0.2110595703125,272,0.0004092704424510632,0.0033354214938299265,0.2,-0.021647067711455747,-0.02228126861155033,-0.0758368968963623,0.014947068,0.9940940141677856,-43.772674441337585,-2.528480857142857,1258.0
9728,19,7,1295,0.2696533203125,288,0.0004092704424510632,0.049181634676642716,0.2,-0.029001213028095663,-0.01785432919859886,0.0299341082572937,0.01583158,0.9932447671890259,-43.77790892124176,-2.528480857142857,1258.0
10240,20,7,1292,0.1798095703125,304,0.0004092704424510632,0.0049063564074458554,0.2,-0.02021916859666817,-0.03291891887784004,-0.16123950481414795,0.0118607795,0.9943515062332153,-43.76534116268158,-2.51997325,1258.0
10752,21,8,1291,0.2281494140625,320,0.0004092704424510632,0.05499732925090939,0.2,-0.02280316813266836,-0.01384645700454712,0.27956831455230713,0.016834985,0.9923418760299683,-43.76938533782959,-2.51997325,1258.0
11264,22,8,1288,0.19580078125,336,0.0004092704424510632,0.005632884880469646,0.2,-0.019816136686131358,-0.016319366171956062,0.11099797487258911,0.016221734,0.9927268624305725,-43.72596323490143,-2.51997325,1258.0
11776,23,9,1286,0.2279052734375,352,0.0004092704424510632,0.0026641236363502685,0.2,-0.022584713442483917,-0.02952492982149124,0.10074412822723389,0.019511087,0.9936390519142151,-43.7597336769104,-2.509497777777778,1258.0
12288,24,9,1286,0.263671875,368,0.0004092704424510632,0.04850233829347417,0.2,-0.027720160549506545,-0.027814827859401703,0.15948134660720825,0.020436613,0.9935010671615601,-43.77461922168732,-2.509497777777778,1258.0
12800,25,9,1284,0.221923828125,384,0.0004092704424510632,0.009062790210009553,0.2,-0.02348130743484944,-0.02525298297405243,-2.055790901184082,0.014860513,0.9938055276870728,-43.76847493648529,-2.5187822,1258.0
13312,26,10,1283,0.2076416015625,400,0.0004092704424510632,0.05890546110458672,0.2,-0.022350253158947453,-0.009264055639505386,0.050169408321380615,0.015125751,0.994989812374115,-43.79261088371277,-2.5187822,1258.0
13824,27,10,1282,0.2703857421875,416,0.0004092704424510632,0.005777844671683852,0.2,-0.02820029378926847,-0.03438606858253479,0.015009641647338867,0.021632884,0.9963051676750183,-43.828484773635864,-2.5187822,1258.0
14336,28,11,1280,0.2474365234375,432,0.0004092704424510632,0.007533759227953851,0.2,-0.02455711223592516,-0.030332637950778008,0.5979562997817993,0.020685593,0.9950739145278931,-43.835983872413635,-2.5251773636363635,1258.0
14848,29,11,1279,0.32421875,448,0.0004092704424510632,0.02579256281023845,0.2,-0.02696290594758466,-0.024431666359305382,0.4931286573410034,0.042497143,0.993923008441925,-43.78857398033142,-2.5251773636363635,1258.0
15360,30,12,1278,0.191162109375,464,0.0004092704424510632,0.00669934086909052,0.2,-0.018092718804837205,-0.02798142470419407,-1.970106840133667,0.016455602,0.9935035705566406,-43.76541447639465,-2.5146528333333333,1258.0
15872,31,12,1277,0.265625,480,0.0004092704424510632,0.06431398342829198,0.2,-0.026479086809558794,-0.010334659367799759,0.11648273468017578,0.02207323,0.9930037260055542,-43.750640988349915,-2.5146528333333333,1258.0
16384,32,12,1277,0.2579345703125,496,0.0004092704424510632,0.006432126319850795,0.2,-0.028930566972121596,-0.03776783496141434,-0.6723920106887817,0.024237303,0.9948847889900208,-43.76698052883148,-2.513343153846154,1258.0
16896,33,13,1276,0.24267578125,512,0.0004092704424510632,0.06032869021873921,0.2,-0.025730713561642915,-0.019336584955453873,0.3771882653236389,0.020833869,0.9946338534355164,-43.802034974098206,-2.513343153846154,1258.0
17408,34,13,1275,0.2593994140625,528,0.0004092704424510632,0.010359448293456808,0.2,-0.026719306886661798,-0.03715895116329193,-0.3131793737411499,0.018931612,0.9945429563522339,-43.784141302108765,-2.513343153846154,1258.0
17920,35,14,1274,0.2193603515625,544,0.0004092704424510632,0.003163939618389122,0.2,-0.021325071284081787,-0.022576168179512024,0.1814408302307129,0.016053148,0.9934126138687134,-43.77434062957764,-2.492687357142857,1258.0
18432,36,14,1273,0.1748046875,560,0.0004092704424510632,0.08026322245132178,0.2,-0.021545486291870475,0.006403997540473938,0.20771920680999756,0.021598201,0.9925437569618225,-43.732152700424194,-2.492687357142857,1258.0
18944,37,14,1272,0.2291259765625,576,0.0004092704424510632,0.015277482889359817,0.2,-0.024500139654264785,-0.02924453280866146,-1.3546299934387207,0.01594159,0.9918959140777588,-43.70672941207886,-2.4952315333333335,1258.0
19456,38,15,1271,0.1837158203125,592,0.0004092704424510632,0.06538762571290135,0.2,-0.021129806409589946,0.0004783403128385544,0.3622763752937317,0.019533467,0.9901734590530396,-43.678940653800964,-2.4952315333333335,1258.0
19968,39,15,1271,0.256103515625,608,0.0004092704424510632,0.011143522031488828,0.2,-0.025386063301994,-0.04211306944489479,-0.7651443481445312,0.029643815,0.9910800457000732,-43.65095376968384,-2.4952315333333335,1258.0
20480,40,16,1268,0.2998046875,624,0.0004092704424510632,0.0023773315479047596,0.2,-0.027554225307540037,-0.041510358452796936,-0.6486527919769287,0.019939408,0.991631269454956,-43.68501055240631,-2.4964549375000002,1258.0
20992,41,16,1267,0.19970703125,640,0.0004092704424510632,0.07035620976239443,0.2,-0.02184686619148124,-0.011488562449812889,0.16985690593719482,0.018359313,0.9916213154792786,-43.69257032871246,-2.4964549375000002,1258.0
21504,42,16,1266,0.2513427734375,656,0.0004092704424510632,0.011386748767108656,0.2,-0.02776842043385841,-0.03319074213504791,-2.1480495929718018,0.020379063,0.9908922910690308,-43.6805944442749,-2.4904264705882357,1258.0
22016,43,17,1265,0.1466064453125,672,0.0004092704424510632,0.0921520059928298,0.2,-0.018414651363855228,-0.0031840242445468903,0.28005772829055786,0.0144383535,0.9901549816131592,-43.657853841781616,-2.4904264705882357,1258.0
22528,44,17,1265,0.209716796875,688,0.0004092704424510632,0.00920343391771894,0.2,-0.018696323415497318,-0.02652018330991268,-0.9591574668884277,0.016626846,0.991062581539154,-43.65342950820923,-2.4904264705882357,1258.0
23040,45,18,1265,0.212890625,704,0.0004092704424510632,0.003974796458351193,0.2,-0.024713113059988245,-0.026353323832154274,0.02913081645965576,0.014766246,0.9906551837921143,-43.673678159713745,-2.504582055555556,1258.0
23552,46,18,1264,0.173095703125,720,0.0004092704424510632,0.11317364673595876,0.2,-0.020028092461870983,-0.004995735362172127,0.05508911609649658,0.015530828,0.9904296398162842,-43.65251338481903,-2.504582055555556,1258.0
