train/ent_coef_loss,train/n_updates,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/time_elapsed,train/actor_loss
-182.739990234375,4931,5032,1.855919599533081,0.0008459126528049375,10,1258.0,-4.538836999999999,0.016992809250950813,4,482,-121.61642456054688
75.77619171142578,9963,10064,5.658146381378174,0.0008459126528049375,10,1258.0,-3.50759975,0.000929380941670388,8,962,-128.29232788085938
110.3685302734375,14995,15096,13.37158203125,0.0008459126528049375,10,1258.0,-2.758079333333333,0.0018219533376395702,12,1435,-121.0949935913086
-58.41416549682617,20027,20128,3.427586317062378,0.0008459126528049375,10,1258.0,-2.447655125,0.0013216972583904862,16,1904,-108.25918579101562
-14.107420921325684,25059,25160,3.6272785663604736,0.0008459126528049375,10,1258.0,-2.22439225,0.0007965140393935144,20,14,-105.97814178466797
-56.56313705444336,30091,30192,5.786791801452637,0.0008459126528049375,10,1258.0,-2.05782,0.0008815580513328314,24,493,-97.33228302001953
-75.49624633789062,35123,35224,3.2690749168395996,0.0008459126528049375,10,1258.0,-1.953129357142857,0.0011904400307685137,28,974,-79.52543640136719
-54.84003829956055,40155,40256,3.221942901611328,0.0008459126528049375,10,1258.0,-1.8768386874999998,0.00045357021735981107,32,1442,-68.93527221679688
238.59722900390625,45187,45288,25.057958602905273,0.0008459126528049375,10,1258.0,-1.8289632777777776,0.0008705193758942187,36,1910,-54.20870590209961
-8.277481079101562,50219,50320,2.432835578918457,0.0008459126528049375,10,1258.0,-1.7725706499999998,0.00042855553328990936,40,31,-51.98434829711914
-32.92789840698242,55251,55352,3.7949953079223633,0.0008459126528049375,10,1258.0,-1.7258156136363636,0.0007902585784904659,44,513,-47.88922882080078
-11.015998840332031,60283,60384,5.172755718231201,0.0008459126528049375,10,1258.0,-1.685197125,0.0006736048380844295,48,987,-34.88188552856445
-14.824871063232422,65315,65416,9.561931610107422,0.0008459126528049375,10,1258.0,-1.651597096153846,0.0018823662539944053,52,1460,-21.83901596069336
-26.28927230834961,70347,70448,11.144142150878906,0.0008459126528049375,10,1258.0,-1.6271768928571428,0.0007232812931761146,56,1940,-13.378847122192383
9.574615478515625,75379,75480,11.06030559539795,0.0008459126528049375,10,1258.0,-1.6168883500000002,0.00040884182089939713,60,44,-6.510043621063232
-55.61930847167969,80411,80512,6.885091781616211,0.0008459126528049375,10,1258.0,-1.5991370625,0.0011436629574745893,64,520,3.5351295471191406
25.986711502075195,85443,85544,53.529937744140625,0.0008459126528049375,10,1258.0,-1.581407794117647,0.0013089110143482685,68,991,33.952911376953125
