time/total_timesteps,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps
5032,1258.0,4,-158.03823852539062,0.01753976196050644,4931,1.944701910018921,0.0008459126528049375,-122.63873291015625,487,-4.16462125,10
10064,1258.0,8,-38.27743911743164,0.0012186693493276834,9963,5.252153396606445,0.0008459126528049375,-129.9583740234375,980,-3.088136375,10
15096,1258.0,12,38.506168365478516,0.0007565385312773287,14995,3.9180166721343994,0.0008459126528049375,-127.12419128417969,1469,-2.4576268333333333,10
20128,1258.0,16,-13.723219871520996,0.0006151127745397389,20027,2.1598875522613525,0.0008459126528049375,-116.51216888427734,1962,-2.1162775625,10
25160,1258.0,20,19.91843605041504,0.0008279919857159257,25059,5.645101070404053,0.0008459126528049375,-104.90043640136719,15,-1.9123582000000003,10
30192,1258.0,24,54.06279754638672,0.0008586221374571323,30091,6.676848411560059,0.0008459126528049375,-89.39727020263672,500,-1.7926314583333334,10
35224,1258.0,28,12.365093231201172,0.000534266117028892,35123,7.526335716247559,0.0008459126528049375,-87.72567749023438,984,-1.7304221428571425,10
40256,1258.0,32,-71.48141479492188,0.0005779488710686564,40155,3.1131725311279297,0.0008459126528049375,-84.70973205566406,1479,-1.64057396875,10
45288,1258.0,36,-31.299488067626953,0.0009073424735106528,45187,15.181747436523438,0.0008459126528049375,-50.584632873535156,1977,-1.5648999166666666,10
50320,1258.0,40,-36.5459098815918,0.0006237358320504427,50219,4.540135860443115,0.0008459126528049375,-42.35073471069336,31,-1.5111652000000002,10
55352,1258.0,44,-3.0035276412963867,0.0005012727924622595,55251,3.6634669303894043,0.0008459126528049375,-34.073974609375,520,-1.4837201590909095,10
60384,1258.0,48,0.8584619760513306,0.00042518804548308253,60283,4.864779472351074,0.0008459126528049375,-24.79517364501953,1002,-1.4694108333333336,10
65416,1258.0,52,-2.4000797271728516,0.0004952540039084852,65315,3.834446907043457,0.0008459126528049375,-25.968421936035156,1480,-1.4458306153846154,10
70448,1258.0,56,-48.350189208984375,0.0002630531380418688,70347,2.7661638259887695,0.0008459126528049375,-16.936080932617188,1967,-1.4232180357142858,10
75480,1258.0,60,-7.439349174499512,0.0004285485774744302,75379,3.9672844409942627,0.0008459126528049375,-11.807305335998535,45,-1.3954418333333334,10
80512,1258.0,64,-46.319541931152344,0.0006209714920260012,80411,2.9191904067993164,0.0008459126528049375,0.3522540330886841,540,-1.374545984375,10
85544,1258.0,68,-49.06917953491211,0.0007309760549105704,85443,5.932206630706787,0.0008459126528049375,0.423372745513916,1048,-1.3509654264705884,10
90576,1258.0,72,-19.841712951660156,0.0006547223310917616,90475,8.19243049621582,0.0008459126528049375,17.32657814025879,1535,-1.337329347222222,10
