time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/approx_kl,train/loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1241,21504,42,17,0.0004092704424510632,-43.57858967781067,0.02852413762593642,656,-0.1620718240737915,-0.021020219690399244,0.177490234375,0.9876790046691895,0.013521869,-0.018141964450478554,0.2,1258.0,-3.2309822941176476
1240,22016,43,17,0.0004092704424510632,-43.55395007133484,0.12485414487309754,672,0.2587664723396301,-0.020329614606453106,0.16650390625,0.9864465594291687,0.015319227,0.023968830704689026,0.2,1258.0,-3.2309822941176476
1240,22528,44,18,0.0004092704424510632,-43.53413391113281,0.02425972220953554,688,0.30632680654525757,-0.015277494661859237,0.1685791015625,0.9868902564048767,0.021239808,-0.012869901023805141,0.2,1258.0,-3.2309822941176476
1239,23040,45,18,0.0004092704424510632,-43.517611026763916,0.007319788346649148,704,-0.4131559133529663,-0.02546358098334167,0.221923828125,0.9845603108406067,0.016615668,-0.032933514565229416,0.2,1258.0,-3.2463529444444448
1238,23552,46,19,0.0004092704424510632,-43.45195388793945,0.15894036670215428,720,0.23012763261795044,-0.016749119211453944,0.109619140625,0.983751654624939,0.012841804,0.04652542620897293,0.2,1258.0,-3.2463529444444448
1238,24064,47,19,0.0004092704424510632,-43.447341322898865,0.050726433109957725,736,-0.4466710090637207,-0.02483844717789907,0.186767578125,0.9842779636383057,0.018086579,-0.024344803765416145,0.2,1258.0,-3.2414882105263163
1238,24576,48,19,0.0004092704424510632,-43.4755585193634,0.10850860504433513,752,0.352450430393219,-0.017892515752464533,0.1483154296875,0.9853116869926453,0.01741953,0.018713153898715973,0.2,1258.0,-3.2414882105263163
1237,25088,49,20,0.0004092704424510632,-43.50202393531799,0.02142305625602603,768,0.5010255575180054,-0.0272307808190817,0.25,0.9861461520195007,0.022433715,-0.024403013288974762,0.2,1258.0,-3.2414882105263163
1237,25600,50,20,0.0004092704424510632,-43.52473819255829,0.007976024891831912,784,-0.5661470890045166,-0.02017597813392058,0.1787109375,0.9865272045135498,0.013489879,-0.029093358665704727,0.2,1258.0,-3.2522169000000005
1236,26112,51,21,0.0004092704424510632,-43.53223741054535,0.08637252717744559,800,0.22904062271118164,-0.02443468800629489,0.1983642578125,0.9867780208587646,0.021053243,-0.015996413305401802,0.2,1258.0,-3.2522169000000005
1236,26624,52,21,0.0004092704424510632,-43.52877581119537,0.019645977212348953,816,-0.5501832962036133,-0.023774424305884168,0.21240234375,0.9862251281738281,0.021541737,-0.029700741171836853,0.2,1258.0,-3.2509673809523814
1236,27136,53,21,0.0004092704424510632,-43.52229583263397,0.10863634059205651,832,0.4331108331680298,-0.019576264181523584,0.14111328125,0.9870725274085999,0.015890362,0.00908317044377327,0.2,1258.0,-3.2509673809523814
1235,27648,54,22,0.0004092704424510632,-43.51044797897339,0.018729925679508597,848,0.051725804805755615,-0.01950247085187584,0.17822265625,0.9843906760215759,0.017661385,-0.028129704296588898,0.2,1258.0,-3.2509673809523814
1235,28160,55,22,0.0004092704424510632,-43.42078673839569,0.00840155487821903,864,0.4093133807182312,-0.02739567557000555,0.232666015625,0.9830172061920166,0.019654056,-0.03351458162069321,0.2,1258.0,-3.242164090909091
1234,28672,56,23,0.0004092704424510632,-43.39850568771362,0.09299834258854389,880,0.22584962844848633,-0.025829441859968938,0.279296875,0.9827181100845337,0.030209985,-0.01452692598104477,0.2,1258.0,-3.242164090909091
1234,29184,57,23,0.0004092704424510632,-43.40529501438141,0.02091749108512886,896,-0.7542948722839355,-0.022154770660563372,0.1898193359375,0.9836847186088562,0.01729498,-0.025751549750566483,0.2,1258.0,-3.242557260869565
1234,29696,58,24,0.0004092704424510632,-43.43838620185852,0.10922977235168219,912,0.4265918731689453,-0.01680338319420116,0.15771484375,0.9843143820762634,0.018409494,0.03346189111471176,0.2,1258.0,-3.242557260869565
1234,30208,59,24,0.0004092704424510632,-43.460376262664795,0.02455682650906965,928,0.011477410793304443,-0.024095583794405684,0.20654296875,0.9855824708938599,0.015162963,-0.03556282818317413,0.2,1258.0,-3.2481302500000004
1234,30720,60,24,0.0004092704424510632,-43.50567352771759,0.15023730276152492,944,0.30764180421829224,-0.018866402679122984,0.2017822265625,0.9870211482048035,0.025140524,0.03536392003297806,0.2,1258.0,-3.2481302500000004
1234,31232,61,25,0.0004092704424510632,-43.53067076206207,0.008559158093703445,960,-11.882523536682129,-0.022604824873269536,0.20654296875,0.9868595600128174,0.017239206,-0.025670992210507393,0.2,1258.0,-3.2481302500000004
1234,31744,62,25,0.0004092704424510632,-43.534788370132446,0.008468139567412436,976,-0.0680919885635376,-0.03052547793777194,0.30029296875,0.9883862137794495,0.029603044,-0.03615812957286835,0.2,1258.0,-3.2479611600000005
1233,32256,63,26,0.0004092704424510632,-43.57133686542511,0.19276358070783317,992,0.03941011428833008,-0.028882323706056923,0.279052734375,0.9882687926292419,0.030421102,0.03540471941232681,0.2,1258.0,-3.2479611600000005
1233,32768,64,26,0.0004092704424510632,-43.56041753292084,0.03603553108405322,1008,-0.1695190668106079,-0.023263403214514256,0.217529296875,0.9881736040115356,0.024521682,-0.02859235182404518,0.2,1258.0,-3.260496576923077
1233,33280,65,26,0.0004092704424510632,-43.55165183544159,0.21523089241236448,1024,0.3154139518737793,-0.016537341245566495,0.17626953125,0.9876182079315186,0.019035764,0.04487672448158264,0.2,1258.0,-3.260496576923077
1233,33792,66,27,0.0004092704424510632,-43.517358899116516,0.017448993836296722,1040,0.1024814248085022,-0.02286484991782345,0.2105712890625,0.9854720830917358,0.016303424,-0.020062420517206192,0.2,1258.0,-3.260496576923077
1233,34304,67,27,0.0004092704424510632,-43.46826636791229,0.004442693061719183,1056,0.19436496496200562,-0.029999634265550412,0.25244140625,0.9855387806892395,0.025419254,-0.049218058586120605,0.2,1258.0,-3.2642027037037042
1233,34816,68,28,0.0004092704424510632,-43.48589730262756,0.2229389469139278,1072,0.17938649654388428,-0.01679951185360551,0.128662109375,0.98618084192276,0.015880194,0.021433742716908455,0.2,1258.0,-3.2642027037037042
1232,35328,69,28,0.0004092704424510632,-43.50785207748413,0.04533154412638396,1088,-0.2861216068267822,-0.02257700834888965,0.1815185546875,0.9869900345802307,0.017222637,-0.017581697553396225,0.2,1258.0,-3.2653121071428575
1232,35840,70,29,0.0004092704424510632,-43.51401221752167,0.3026507282629609,1104,0.36158210039138794,-0.018349151214351878,0.1495361328125,0.9862564206123352,0.016675714,0.10427258908748627,0.2,1258.0,-3.2653121071428575
1232,36352,71,29,0.0004092704424510632,-43.50906264781952,0.022638431983068585,1120,0.6230432987213135,-0.026823376858374104,0.2828369140625,0.9874643683433533,0.020270027,-0.026356754824519157,0.2,1258.0,-3.2653121071428575
1232,36864,72,29,0.0004092704424510632,-43.53937542438507,0.007485427762730978,1136,-0.48435115814208984,-0.025585449271602556,0.2093505859375,0.9871154427528381,0.017545298,-0.026917587965726852,0.2,1258.0,-3.266573586206897
1232,37376,73,30,0.0004092704424510632,-43.523500204086304,0.2622702377848327,1152,0.28676915168762207,-0.020242402621079236,0.1510009765625,0.987358033657074,0.01635535,0.02808079682290554,0.2,1258.0,-3.266573586206897
1231,37888,74,30,0.0004092704424510632,-43.54852998256683,0.046819647948723286,1168,-0.27840614318847656,-0.02432930815848522,0.203857421875,0.9887630343437195,0.020122772,-0.03270107880234718,0.2,1258.0,-3.265883066666667
1231,38400,75,31,0.0004092704424510632,-43.58212685585022,0.21015559881925583,1184,0.4958849549293518,-0.01600659070390975,0.09912109375,0.9891670942306519,0.014581563,0.02880127727985382,0.2,1258.0,-3.265883066666667
1231,38912,76,31,0.0004092704424510632,-43.58306896686554,0.062027317588217556,1200,0.04561275243759155,-0.017837659193901345,0.2060546875,0.9894490242004395,0.023477778,-0.0023527778685092926,0.2,1258.0,-3.265883066666667
1231,39424,77,32,0.0004092704424510632,-43.59347987174988,0.01703681258368306,1216,-0.43754637241363525,-0.024605083381175064,0.2431640625,0.9892277717590332,0.024413066,-0.014844235964119434,0.2,1258.0,-3.266687483870968
1230,39936,78,32,0.0004092704424510632,-43.587016344070435,0.178065232350491,1232,0.19886690378189087,-0.020109543023863807,0.1312255859375,0.989368200302124,0.016967244,-0.007950767874717712,0.2,1258.0,-3.266687483870968
1229,40448,79,32,0.0004092704424510632,-43.598894119262695,0.06240955542307347,1248,-0.4025747776031494,-0.024663423813763075,0.18603515625,0.9898548722267151,0.02423909,-0.010537482798099518,0.2,1258.0,-3.2719941875
1228,40960,80,33,0.0004092704424510632,-43.59641134738922,0.24204583978280425,1264,0.40612828731536865,-0.020693910832051188,0.1951904296875,0.9890113472938538,0.023282578,0.0783429890871048,0.2,1258.0,-3.2719941875
1228,41472,81,33,0.0004092704424510632,-43.594618797302246,0.03958753729239106,1280,0.6066466569900513,-0.03181422828492941,0.2880859375,0.9903915524482727,0.024607163,-0.01921280287206173,0.2,1258.0,-3.2719941875
1228,41984,82,34,0.0004092704424510632,-43.63122522830963,0.029462224862072617,1296,0.359636127948761,-0.022553762973984703,0.193603515625,0.9907538294792175,0.01833971,-0.007625794969499111,0.2,1258.0,-3.2699369696969693
1228,42496,83,34,0.0004092704424510632,-43.61084282398224,0.17492112517356873,1312,0.5335602760314941,-0.022549224348040298,0.221435546875,0.9899158477783203,0.025498543,0.01594708487391472,0.2,1258.0,-3.2699369696969693
1227,43008,84,35,0.0004092704424510632,-43.60443723201752,0.033584939141292125,1328,-0.6767796277999878,-0.02985166053986177,0.2633056640625,0.9901118874549866,0.02384692,-0.04189196228981018,0.2,1258.0,-3.270507382352941
