train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate
-167.61827087402344,1257.0,389,-4.3280635,12,4927,5028,0.017276562750339508,-122.98246765136719,4.148785591125488,4,0.0008459126528049375
-22.11693572998047,1257.0,807,-3.32033525,12,9955,10056,0.0012532190885394812,-129.9014892578125,3.2632808685302734,8,0.0008459126528049375
-32.5111083984375,1257.0,1227,-2.701072166666666,12,14983,15084,0.0015984128694981337,-127.74861145019531,17.52104377746582,12,0.0008459126528049375
-65.6893310546875,1257.0,1631,-2.2897956875,12,20011,20112,0.0010340921580791473,-111.4365463256836,10.396319389343262,16,0.0008459126528049375
-6.756675720214844,1257.0,11,-2.11422855,12,25039,25140,0.002109295455738902,-100.2723617553711,8.22542953491211,20,0.0008459126528049375
-13.101263999938965,1257.0,435,-1.9660589583333337,11,30067,30168,0.0010395904537290335,-94.60616302490234,3.0144667625427246,24,0.0008459126528049375
7.707061767578125,1257.0,842,-1.9055945714285716,12,35095,35196,0.0010339496657252312,-69.45716094970703,3.4187417030334473,28,0.0008459126528049375
-3.9215800762176514,1257.0,1258,-1.8299709062499998,12,40123,40224,0.0003850142238661647,-69.32605743408203,1.0614365339279175,32,0.0008459126528049375
-35.31343460083008,1257.0,1682,-1.7668774166666665,12,45151,45252,0.00027102415333501995,-59.89628601074219,1.2587504386901855,36,0.0008459126528049375
-9.488773345947266,1257.0,23,-1.712826925,12,50179,50280,0.00026004103710874915,-58.47731018066406,7.872467041015625,40,0.0008459126528049375
71.75788879394531,1257.0,430,-1.6544758181818182,12,55207,55308,0.0006898722494952381,-56.46464157104492,10.003400802612305,44,0.0008459126528049375
-92.16056060791016,1257.0,842,-1.6226245625000002,12,60235,60336,0.00041042183875106275,-51.53921127319336,1.6265649795532227,48,0.0008459126528049375
38.300148010253906,1257.0,1275,-1.575544096153846,12,65263,65364,0.000714010326191783,-44.58792495727539,5.6378350257873535,52,0.0008459126528049375
6.3001813888549805,1257.0,1704,-1.5398227321428573,11,70291,70392,0.0011406533885747194,-44.39661407470703,4.176959037780762,56,0.0008459126528049375
247.20645141601562,1257.0,36,-1.4962239666666668,11,75319,75420,0.0012130975956097245,-28.642200469970703,133.60989379882812,60,0.0008459126528049375
62.94422149658203,1257.0,485,-1.4771079999999999,11,80347,80448,0.0009129030513577163,-27.571205139160156,2.8184738159179688,64,0.0008459126528049375
-2.4216418266296387,1257.0,938,-1.4587589117647057,11,85375,85476,0.0014147222973406315,-20.086145401000977,29.217662811279297,68,0.0008459126528049375
193.78753662109375,1257.0,1394,-1.4325765694444443,11,90403,90504,0.003584383288398385,-5.051525115966797,245.210693359375,72,0.0008459126528049375
-11.828089714050293,1257.0,1833,-1.410719539473684,11,95431,95532,0.0019903983920812607,9.210135459899902,12.949981689453125,76,0.0008459126528049375
