train/ent_coef_loss,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss,train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,train/n_updates
-170.26296997070312,1257.0,4,-4.66227825,3.178586959838867,5028,-123.11233520507812,0.017279231920838356,74,67,0.0008459126528049375,4927
-27.108957290649414,1257.0,8,-3.686105375,4.416239261627197,10056,-129.7808380126953,0.0012740037636831403,74,135,0.0008459126528049375,9955
29.283483505249023,1257.0,12,-3.1571982500000004,3.270129680633545,15084,-128.2241973876953,0.0013584921834990382,73,205,0.0008459126528049375,14983
-59.021697998046875,1257.0,16,-2.799654125,12.669499397277832,20112,-122.61724090576172,0.0013061165809631348,72,275,0.0008459126528049375,20011
-3.4167680740356445,1257.0,20,-2.5956141500000003,5.926534652709961,25140,-101.53433227539062,0.0006846704636700451,72,1,0.0008459126528049375,25039
-7.932679176330566,1257.0,24,-2.418776083333333,1.2998542785644531,30168,-96.41918182373047,0.0008149876375682652,72,71,0.0008459126528049375,30067
-8.060869216918945,1257.0,28,-2.2939422499999997,9.332539558410645,35196,-91.5162353515625,0.0009972038678824902,71,141,0.0008459126528049375,35095
-18.130937576293945,1257.0,32,-2.2207155312499998,1.4433352947235107,40224,-92.07907104492188,0.0006232319283299148,71,211,0.0008459126528049375,40123
-79.01548767089844,1257.0,36,-2.16839325,6.814265251159668,45252,-65.93522644042969,0.0011123456060886383,71,281,0.0008459126528049375,45151
-17.546491622924805,1257.0,40,-2.119289375,5.942829132080078,50280,-53.94886016845703,0.0010086939437314868,71,3,0.0008459126528049375,50179
-6.54628324508667,1257.0,44,-2.081107204545454,3.4498581886291504,55308,-49.57823944091797,0.001018276670947671,71,73,0.0008459126528049375,55207
-32.940574645996094,1257.0,48,-2.0716183125,2.2756361961364746,60336,-44.801048278808594,0.0005139278364367783,72,143,0.0008459126528049375,60235
1.5393950939178467,1257.0,52,-2.040326269230769,16.841304779052734,65364,-34.426300048828125,0.0011259380262345076,72,212,0.0008459126528049375,65263
13.496564865112305,1257.0,56,-2.0079605535714284,15.274553298950195,70392,-30.39658546447754,0.0012299504596740007,72,282,0.0008459126528049375,70291
15.610798835754395,1257.0,60,-1.982160333333333,5.147398948669434,75420,-15.0048246383667,0.0020225353073328733,70,5,0.0008459126528049375,75319
34.8261833190918,1257.0,64,-1.9640473906249998,35.28148651123047,80448,-8.256348609924316,0.0009649284183979034,69,78,0.0008459126528049375,80347
12.427382469177246,1257.0,68,-1.9542206470588235,10.208913803100586,85476,-2.3348612785339355,0.001478907885029912,68,152,0.0008459126528049375,85375
-28.545740127563477,1257.0,72,-1.9346962777777779,3.896652936935425,90504,6.711961269378662,0.0007601974066346884,68,225,0.0008459126528049375,90403
-2.4337637424468994,1257.0,76,-1.8980342631578948,3.498371124267578,95532,11.02322006225586,0.0012015842366963625,68,298,0.0008459126528049375,95431
