time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,4013,1,,,,,,,,,,,,,
1024,0,2510,2,-43.9886314868927,-0.03651522472500801,0.9999120831489563,-2.387413263320923,0.0004092704424510632,0.018761853,0.1750492941664561,-0.03281962855544407,0.277099609375,0.2,16,,
1536,0,2241,3,-44.00397992134094,-0.027381472289562225,1.0015075206756592,-0.0317302942276001,0.0004092704424510632,0.020491133,0.002794036307022907,-0.03160308438236825,0.28125,0.2,32,-2.34379,1258.0
2048,0,2123,4,-44.06347358226776,-0.02208102121949196,1.0037715435028076,0.0001074671745300293,0.0004092704424510632,0.018018797,0.012160588055849075,-0.02303817325446289,0.2449951171875,0.2,48,-2.34379,1258.0
2560,1,2062,5,-44.10363781452179,-0.033980097621679306,1.0035052299499512,-0.012761235237121582,0.0004092704424510632,0.029414294,0.0028282100829528645,-0.03215811477275565,0.331787109375,0.2,64,-2.3311830000000002,1258.0
3072,1,2020,6,-44.079999923706055,-0.0276445634663105,1.0030122995376587,0.003607332706451416,0.0004092704424510632,0.014078438,0.008158152573741972,-0.02525672894262243,0.26806640625,0.2,80,-2.3311830000000002,1258.0
3584,1,1994,7,-44.05571734905243,-0.04401356726884842,1.0015610456466675,-0.014495372772216797,0.0004092704424510632,0.015138225,0.0014585957615054213,-0.02809181864722632,0.2596435546875,0.2,96,-2.3311830000000002,1258.0
4096,2,1971,8,-44.01941680908203,-0.033806152641773224,1.0012856721878052,-0.0026361942291259766,0.0004092704424510632,0.016583176,0.005198603685130365,-0.028045869708876126,0.281982421875,0.2,112,-2.3622330000000002,1258.0
4608,2,1956,9,-44.01160275936127,-0.026468263939023018,1.0007426738739014,-0.002874135971069336,0.0004092704424510632,0.018996127,0.0014681859611300752,-0.024270774476462975,0.246826171875,0.2,128,-2.3622330000000002,1258.0
5120,2,1945,10,-43.97191083431244,-0.021611452102661133,0.9986231327056885,-0.0033735036849975586,0.0004092704424510632,0.0176006,0.002586763057479402,-0.024132142396410927,0.2501220703125,0.2,144,-2.36221025,1258.0
5632,2,1935,11,-43.92742419242859,-0.025699205696582794,0.9982737302780151,0.001788794994354248,0.0004092704424510632,0.018445995,0.006751277192961425,-0.020882985278149135,0.236572265625,0.2,160,-2.36221025,1258.0
6144,3,1926,12,-43.92691135406494,-0.040486764162778854,0.9983718991279602,0.0009824037551879883,0.0004092704424510632,0.015720239,0.0016575478784943698,-0.026702944829594344,0.2333984375,0.2,176,-2.36221025,1258.0
6656,3,1920,13,-43.948517084121704,-0.028240254148840904,0.9999820590019226,0.0053070783615112305,0.0004092704424510632,0.017246287,0.005201524276344571,-0.022666377888526767,0.2718505859375,0.2,192,-2.3433806,1258.0
7168,3,1914,14,-43.99919378757477,-0.033820997923612595,1.0010429620742798,0.0002530217170715332,0.0004092704424510632,0.025313284,0.007343601377215236,-0.03249646638869308,0.3216552734375,0.2,208,-2.3433806,1258.0
7680,4,1909,15,-44.00845456123352,-0.05319233611226082,1.0004467964172363,-0.003354191780090332,0.0004092704424510632,0.02632263,0.0018464380518707912,-0.03201014079968445,0.291015625,0.2,224,-2.316951,1258.0
8192,4,1905,16,-44.001758456230164,-0.03413160890340805,1.0014392137527466,0.003740966320037842,0.0004092704424510632,0.026685763,0.01776831893948838,-0.025557212371495552,0.2763671875,0.2,240,-2.316951,1258.0
8704,4,1901,17,-44.06187152862549,-0.036490362137556076,1.0042017698287964,-0.014449238777160645,0.0004092704424510632,0.016217,0.002081972945234156,-0.019674552531796508,0.1895751953125,0.2,256,-2.316951,1258.0
9216,4,1898,18,-44.14143908023834,-0.0327235609292984,1.005961298942566,0.011979877948760986,0.0004092704424510632,0.01739866,0.006619229199714027,-0.02060542843537405,0.217041015625,0.2,272,-2.3410007142857148,1258.0
9728,5,1896,19,-44.17994809150696,-0.022042691707611084,1.007118821144104,0.004146575927734375,0.0004092704424510632,0.013550529,0.026912512897979468,-0.02602525960537605,0.1871337890625,0.2,288,-2.3410007142857148,1258.0
10240,5,1894,20,-44.199053168296814,-0.044968776404857635,1.0069748163223267,0.06969767808914185,0.0004092704424510632,0.02139157,0.0017995947710005566,-0.029387645598035306,0.2607421875,0.2,304,-2.3427303750000004,1258.0
10752,5,1892,21,-44.17987263202667,0.0011403486132621765,1.0060906410217285,0.0008189678192138672,0.0004092704424510632,0.013887289,0.03830282075796276,-0.019503074247040786,0.1915283203125,0.2,320,-2.3427303750000004,1258.0
11264,5,1890,22,-44.15562438964844,-0.033662375062704086,1.0058304071426392,-0.00012230873107910156,0.0004092704424510632,0.018312953,0.001721237264064257,-0.026511260715778917,0.2679443359375,0.2,336,-2.3427303750000004,1258.0
11776,6,1889,23,-44.15375304222107,-0.028470808640122414,1.0057252645492554,0.017857015132904053,0.0004092704424510632,0.022134613,0.006499424242065288,-0.025606815703213215,0.2740478515625,0.2,352,-2.3544111111111112,1258.0
12288,6,1887,24,-44.129462242126465,-0.010572604835033417,1.0040689706802368,0.006916701793670654,0.0004092704424510632,0.01842346,0.041953406180255115,-0.020770348084624857,0.2427978515625,0.2,368,-2.3544111111111112,1258.0
12800,6,1884,25,-44.09253263473511,-0.02402997389435768,1.0037047863006592,0.15166914463043213,0.0004092704424510632,0.016589353,0.0033480597303423565,-0.024887491403205786,0.2281494140625,0.2,384,-2.3555732000000003,1258.0
13312,7,1881,26,-44.07926082611084,-0.017389953136444092,1.0030152797698975,0.01654982566833496,0.0004092704424510632,0.023505796,0.05451786844059825,-0.026293129587429576,0.2735595703125,0.2,400,-2.3555732000000003,1258.0
13824,7,1880,27,-44.05709385871887,-0.03156096488237381,1.0026925802230835,0.09017026424407959,0.0004092704424510632,0.018300036,0.0016570559801039053,-0.024476896855048835,0.2403564453125,0.2,416,-2.3555732000000003,1258.0
14336,7,1879,28,-44.03454375267029,-0.03296305239200592,1.001254677772522,0.2872229814529419,0.0004092704424510632,0.016831234,0.003461920037807431,-0.02232456876663491,0.2314453125,0.2,432,-2.339495454545455,1258.0
14848,7,1877,29,-43.98885476589203,-0.017224259674549103,1.000445008277893,0.17541056871414185,0.0004092704424510632,0.027566344,0.032315290125552565,-0.023738478048471734,0.2716064453125,0.2,448,-2.339495454545455,1258.0
15360,8,1876,30,-43.953861594200134,-0.04226091876626015,0.9981082677841187,0.22228342294692993,0.0004092704424510632,0.013486117,0.003371725666511338,-0.02640490693738684,0.2430419921875,0.2,464,-2.3320615000000005,1258.0
15872,8,1875,31,-43.866647243499756,0.00592518225312233,0.9958404302597046,0.03049570322036743,0.0004092704424510632,0.02369542,0.068129948573187,-0.022203527099918574,0.2369384765625,0.2,480,-2.3320615000000005,1258.0
16384,8,1874,32,-43.832550048828125,-0.0348181314766407,0.9962419271469116,-0.39655256271362305,0.0004092704424510632,0.022150118,0.002926766246673651,-0.026204029272776097,0.24853515625,0.2,496,-2.348598153846154,1258.0
16896,9,1873,33,-43.8483510017395,0.0028213299810886383,0.9961965084075928,0.28128570318222046,0.0004092704424510632,0.022785489,0.06912485568318516,-0.025505930883809924,0.2491455078125,0.2,512,-2.348598153846154,1258.0
17408,9,1871,34,-43.82968199253082,-0.03208659216761589,0.9949738383293152,-0.37174904346466064,0.0004092704424510632,0.016819648,0.007592977111926302,-0.025739143922692165,0.22021484375,0.2,528,-2.348598153846154,1258.0
17920,9,1870,35,-43.78731060028076,-0.030732233077287674,0.994204044342041,0.00279921293258667,0.0004092704424510632,0.016605936,0.004347746820712928,-0.024144395341863856,0.2178955078125,0.2,544,-2.343329928571429,1258.0
