time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3890,1,,,,,,,,,,,,,
1024,0,2480,2,-44.00721633434296,-0.022122103720903397,1.0013314485549927,-1.0388810634613037,0.0004092704424510632,0.016773697,0.11713201999373268,-0.025554422347340733,0.222900390625,0.2,16,,
1536,0,2210,3,-44.03118276596069,-0.03755122050642967,1.00129234790802,-0.06458151340484619,0.0004092704424510632,0.018788226,0.002654371961398283,-0.03099975475925021,0.2764892578125,0.2,32,-2.501106,1258.0
2048,0,2107,4,-44.01050341129303,-0.041416753083467484,1.0002493858337402,0.01200324296951294,0.0004092704424510632,0.023844544,0.005276237345242407,-0.03343984093226027,0.346923828125,0.2,48,-2.501106,1258.0
2560,1,2048,5,-43.96995294094086,-0.028001900762319565,0.9986312985420227,0.01252657175064087,0.0004092704424510632,0.016516337,0.0028824765686294995,-0.023606500239111483,0.240234375,0.2,64,-2.4765414999999997,1258.0
3072,1,2010,6,-43.932329297065735,-0.03650559112429619,0.9983245730400085,0.013785064220428467,0.0004092704424510632,0.019863669,0.011454507621238008,-0.02835221993154846,0.3028564453125,0.2,80,-2.4765414999999997,1258.0
3584,1,1986,7,-43.91142237186432,-0.040690384805202484,0.9965366721153259,0.011060833930969238,0.0004092704424510632,0.01613595,0.0011291308474028483,-0.02968861465342343,0.26171875,0.2,96,-2.4765414999999997,1258.0
4096,2,1969,8,-43.86328089237213,-0.03926219046115875,0.9961763024330139,0.03274661302566528,0.0004092704424510632,0.01717757,0.005067536985734478,-0.025241359224310145,0.2698974609375,0.2,112,-2.4027516666666666,1258.0
4608,2,1954,9,-43.85933864116669,-0.028997592628002167,0.9956258535385132,0.018714189529418945,0.0004092704424510632,0.013312988,0.012380986619973555,-0.02280534472083673,0.22119140625,0.2,128,-2.4027516666666666,1258.0
5120,2,1943,10,-43.835898756980896,-0.03565630316734314,0.9950573444366455,0.04413485527038574,0.0004092704424510632,0.015792014,0.0017614553034945857,-0.025333311350550503,0.250732421875,0.2,144,-2.353919,1258.0
5632,2,1933,11,-43.80209672451019,-0.008095272816717625,0.9935367703437805,0.014693915843963623,0.0004092704424510632,0.015495966,0.024476863269228488,-0.020271095942007378,0.2275390625,0.2,160,-2.353919,1258.0
6144,3,1927,12,-43.763883113861084,-0.0415932722389698,0.9931289553642273,0.12249946594238281,0.0004092704424510632,0.026115883,0.0014379110925801797,-0.02744483359856531,0.2874755859375,0.2,176,-2.353919,1258.0
6656,3,1919,13,-43.758851408958435,-0.044754646718502045,0.9930510520935059,0.11427217721939087,0.0004092704424510632,0.031294927,0.0060653669643215835,-0.03405087278224528,0.3341064453125,0.2,192,-2.3487894,1258.0
