time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-4.32658,4927,1.8538539409637451,1257.0,69,-121.60214233398438,0.0008459126528049375,71,5028,-174.85031127929688,0.01722455956041813
8,-3.325320625,9955,3.7165040969848633,1257.0,140,-128.7453155517578,0.0008459126528049375,71,10056,31.101659774780273,0.001177133759483695
12,-2.707983333333333,14983,1.1226612329483032,1257.0,211,-129.28472900390625,0.0008459126528049375,71,15084,-8.336875915527344,0.0007902198121882975
16,-2.370000125,20011,9.537698745727539,1257.0,282,-110.30906677246094,0.0008459126528049375,71,20112,71.03038787841797,0.0012140767648816109
20,-2.1901905499999996,25039,3.2165920734405518,1257.0,1,-101.98424530029297,0.0008459126528049375,74,25140,57.96033477783203,0.000878877763170749
24,-2.0254768750000003,30067,4.361667633056641,1257.0,70,-83.286376953125,0.0008459126528049375,73,30168,19.07440757751465,0.0014601567527279258
28,-1.9445715714285714,35095,0.8817356824874878,1257.0,138,-81.07562255859375,0.0008459126528049375,73,35196,14.730220794677734,0.0005454760394059122
32,-1.869080625,40123,2.1478116512298584,1257.0,207,-78.06034088134766,0.0008459126528049375,73,40224,8.225744247436523,0.00027953326934948564
36,-1.7793186388888889,45151,8.805963516235352,1257.0,275,-63.05015182495117,0.0008459126528049375,73,45252,28.908912658691406,0.0012912581441923976
40,-1.771639175,50179,2.4854249954223633,1257.0,3,-56.093238830566406,0.0008459126528049375,73,50280,37.074527740478516,0.00029444851679727435
44,-1.7420294545454547,55207,1.246873140335083,1257.0,72,-53.28600311279297,0.0008459126528049375,73,55308,-84.05924987792969,0.0003374903171788901
48,-1.7033476041666666,60235,6.192604064941406,1257.0,140,-33.00114059448242,0.0008459126528049375,73,60336,-35.760536193847656,0.001146688126027584
52,-1.691677365384615,65263,5.296724796295166,1257.0,208,-29.785171508789062,0.0008459126528049375,73,65364,-35.19278335571289,0.0005563075537793338
56,-1.656309892857143,70291,2.048833131790161,1257.0,277,-25.31573486328125,0.0008459126528049375,73,70392,-73.4062728881836,0.0005779293132945895
60,-1.62518815,75319,3.6053457260131836,1257.0,5,-14.090579986572266,0.0008459126528049375,70,75420,-36.50511932373047,0.0008952881908044219
64,-1.611119671875,80347,1.7094682455062866,1257.0,78,-11.909529685974121,0.0008459126528049375,69,80448,-47.9183349609375,0.0006354819051921368
68,-1.5893787794117649,85375,1.2603346109390259,1257.0,151,-7.370911121368408,0.0008459126528049375,69,85476,-2.8126769065856934,0.0005896863294765353
72,-1.5800057222222224,90403,2.3286044597625732,1257.0,224,-1.2517379522323608,0.0008459126528049375,69,90504,-21.281410217285156,0.0005350228166207671
76,-1.5740080789473685,95431,1.8580293655395508,1257.0,297,0.022683143615722656,0.0008459126528049375,68,95532,5.417420387268066,0.0007917348411865532
