time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-4.28077375,4927,1.6618571281433105,1257.0,69,-121.90093994140625,0.0008459126528049375,72,5028,-179.10325622558594,0.016909724101424217
8,-3.223924,9955,3.3045623302459717,1257.0,142,-122.12947845458984,0.0008459126528049375,70,10056,-57.30189514160156,0.0014810307184234262
12,-2.523555083333333,14983,3.26312255859375,1257.0,215,-118.0036392211914,0.0008459126528049375,70,15084,39.38404846191406,0.0011830710573121905
16,-2.2484284375000003,20011,2.5368852615356445,1257.0,287,-113.52474975585938,0.0008459126528049375,69,20112,-32.62294006347656,0.0011660801246762276
20,-2.0461552500000004,25039,3.3918583393096924,1257.0,2,-103.40581512451172,0.0008459126528049375,69,25140,31.655336380004883,0.0010145694250240922
24,-1.897302541666667,30067,4.589105606079102,1257.0,74,-98.30359649658203,0.0008459126528049375,69,30168,-14.281783103942871,0.0007243598811328411
28,-1.8023425357142862,35095,2.0361716747283936,1257.0,147,-95.49146270751953,0.0008459126528049375,69,35196,-2.2674784660339355,0.00046321068657562137
32,-1.75781125,40123,9.25905990600586,1257.0,221,-92.22200775146484,0.0008459126528049375,68,40224,-25.56576156616211,0.0004288210766389966
36,-1.720053888888889,45151,3.7810721397399902,1257.0,294,-74.82781219482422,0.0008459126528049375,68,45252,-0.3493027687072754,0.0006861872971057892
40,-1.739263775,50179,2.259976863861084,1257.0,4,-66.35509490966797,0.0008459126528049375,69,50280,20.320068359375,0.0003215113829355687
44,-1.7138114772727275,55207,1.5749056339263916,1257.0,76,-58.50933074951172,0.0008459126528049375,69,55308,18.3026123046875,0.0003203697269782424
48,-1.6867482708333335,60235,2.149880886077881,1257.0,147,-57.57503128051758,0.0008459126528049375,69,60336,-33.764564514160156,0.0005701651680283248
52,-1.6639949615384617,65263,11.657634735107422,1257.0,219,-38.21855545043945,0.0008459126528049375,70,65364,-11.39303207397461,0.001088378019630909
56,-1.652409767857143,70291,3.2952451705932617,1257.0,291,-36.63114547729492,0.0008459126528049375,70,70392,-72.40727233886719,0.0006648906855843961
60,-1.6312818833333333,75319,15.349390983581543,1257.0,6,-26.233041763305664,0.0008459126528049375,67,75420,-3.7024693489074707,0.0007434047874994576
64,-1.6075883125,80347,3.543245315551758,1257.0,81,-28.654029846191406,0.0008459126528049375,67,80448,-27.388198852539062,0.0011341423960402608
68,-1.6064292205882351,85375,4.547644138336182,1257.0,157,-21.432109832763672,0.0008459126528049375,66,85476,44.18389129638672,0.0009683286189101636
72,-1.5925035555555556,90403,12.358831405639648,1257.0,235,15.627620697021484,0.0008459126528049375,65,90504,-28.883302688598633,0.0018169812392443419
76,-1.587712907894737,95431,53.88819885253906,1257.0,311,23.599449157714844,0.0008459126528049375,65,95532,77.99948120117188,0.000938283046707511
