train/actor_loss,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss
-122.34393310546875,4,1258.0,10,4931,-174.33189392089844,0.0008459126528049375,0.01716805435717106,5032,-5.28436225,470,1.7810792922973633
-127.91961669921875,8,1258.0,10,9963,59.18864822387695,0.0008459126528049375,0.0012479725992307067,10064,-4.259881125,962,6.505597114562988
-124.1790771484375,12,1258.0,10,14995,-27.03986930847168,0.0008459126528049375,0.0009408582700416446,15096,-3.6599446666666666,1452,4.481482028961182
-111.271484375,16,1258.0,10,20027,23.461069107055664,0.0008459126528049375,0.0009189143311232328,20128,-3.2830250625,1938,2.91703462600708
-92.81715393066406,20,1258.0,10,25059,-67.465576171875,0.0008459126528049375,0.0011411968152970076,25160,-3.0350138000000006,15,4.710614204406738
-89.91616821289062,24,1258.0,10,30091,-102.10822296142578,0.0008459126528049375,0.0005257792072370648,30192,-2.8334332083333336,506,2.0249476432800293
-88.89778137207031,28,1258.0,10,35123,-22.160409927368164,0.0008459126528049375,0.00046140479389578104,35224,-2.723974964285715,991,2.205293893814087
-65.87812805175781,32,1258.0,10,40155,-38.26670837402344,0.0008459126528049375,0.0007734832470305264,40256,-2.67827240625,1479,2.1725451946258545
-45.484188079833984,36,1258.0,10,45187,-41.56132507324219,0.0008459126528049375,0.0006127678789198399,45288,-2.6310608055555558,1960,4.589447021484375
-43.55217742919922,40,1258.0,10,50219,21.254905700683594,0.0008459126528049375,0.00034197221975773573,50320,-2.6029961,30,1.924384593963623
-28.78923988342285,44,1258.0,10,55251,-78.50221252441406,0.0008459126528049375,0.00026380931376479566,55352,-2.570136659090909,519,1.0515762567520142
-25.58208656311035,48,1258.0,10,60283,86.49478149414062,0.0008459126528049375,0.0002653391275089234,60384,-2.5352231250000004,1003,1.0150909423828125
-24.215044021606445,52,1258.0,10,65315,45.6336784362793,0.0008459126528049375,0.00021389861649367958,65416,-2.5011367115384617,1482,5.108644008636475
-20.680686950683594,56,1258.0,10,70347,63.5147705078125,0.0008459126528049375,0.0003772936179302633,70448,-2.47317775,1958,1.482482671737671
-16.29251480102539,60,1258.0,10,75379,105.72129821777344,0.0008459126528049375,0.00047046435065567493,75480,-2.4405298166666665,45,2.1750874519348145
-13.6763916015625,64,1258.0,10,80411,-51.378604888916016,0.0008459126528049375,0.0003484711633063853,80512,-2.424264046875,546,3.355313777923584
-11.96142292022705,68,1258.0,9,85443,-58.80996322631836,0.0008459126528049375,0.0003245962434448302,85544,-2.395331602941176,1057,1.8653610944747925
-7.164902687072754,72,1258.0,9,90475,-37.77831268310547,0.0008459126528049375,0.0005022013210691512,90576,-2.3750417916666664,1557,1.8540655374526978
