time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,time/fps,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/ent_coef,time/episodes,time/time_elapsed
5032,0.0008459126528049375,-4.97571575,-122.75657653808594,70,4931,-183.40139770507812,1258.0,1.2037209272384644,0.017095742747187614,4,71
10064,0.0008459126528049375,-3.84549925,-130.0614013671875,70,9963,-34.218971252441406,1258.0,4.7466325759887695,0.001067180885002017,8,143
15096,0.0008459126528049375,-3.177667833333333,-132.065185546875,69,14995,42.026123046875,1258.0,6.410338878631592,0.000693321751896292,12,216
20128,0.0008459126528049375,-2.8579608125,-129.0542755126953,69,20027,-41.03778839111328,1258.0,5.331329345703125,0.00036083743907511234,16,289
25160,0.0008459126528049375,-2.5835920499999996,-117.25227355957031,69,25059,-41.864463806152344,1258.0,4.888833999633789,0.0009055906557478011,20,2
30192,0.0008459126528049375,-2.4806645416666666,-95.31475067138672,69,30091,-7.026031494140625,1258.0,6.13885498046875,0.000998950912617147,24,74
35224,0.0008459126528049375,-2.3622854642857143,-92.19660949707031,69,35123,98.65779876708984,1258.0,1.8664875030517578,0.00044299420551396906,28,147
40256,0.0008459126528049375,-2.2654865312499997,-90.62348937988281,69,40155,65.51582336425781,1258.0,2.514514923095703,0.000516217143740505,32,220
45288,0.0008459126528049375,-2.2112776944444446,-85.61668395996094,69,45187,27.838993072509766,1258.0,3.832306385040283,0.0004490229766815901,36,292
50320,0.0008459126528049375,-2.1621999250000004,-83.74417114257812,68,50219,146.70411682128906,1258.0,3.5463876724243164,0.0003063997137360275,40,4
55352,0.0008459126528049375,-2.1411695454545456,-55.83122634887695,68,55251,8.746162414550781,1258.0,4.748477935791016,0.000640981481410563,44,77
60384,0.0008459126528049375,-2.1180401666666664,-47.254058837890625,68,60283,110.61885070800781,1258.0,4.071935653686523,0.00038873599260114133,48,151
65416,0.0008459126528049375,-2.0892783653846156,-37.659420013427734,68,65315,53.43486022949219,1258.0,5.139810562133789,0.0003317197842989117,52,224
70448,0.0008459126528049375,-2.047473125,-33.38262939453125,68,70347,-66.41136169433594,1258.0,3.07778263092041,0.0003940165915992111,56,298
75480,0.0008459126528049375,-2.0127156166666667,-28.05051040649414,66,75379,33.15306091308594,1258.0,4.522354602813721,0.00033340006484650075,60,7
80512,0.0008459126528049375,-1.985422546875,-21.703813552856445,65,80411,-53.50300979614258,1258.0,3.140200614929199,0.0005910136387683451,64,84
85544,0.0008459126528049375,-1.9940817794117645,-19.919538497924805,65,85443,-3.6127736568450928,1258.0,3.591187000274658,0.00030181833426468074,68,160
90576,0.0008459126528049375,-1.9756562777777777,-14.304368019104004,65,90475,29.14937973022461,1258.0,5.055424690246582,0.0005093211657367647,72,238
95608,0.0008459126528049375,-1.9605932763157898,-5.339979648590088,65,95507,-121.07260131835938,1258.0,2.8481392860412598,0.0004301331646274775,76,317
