time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
3722,0,1,512,,,,,,,,,,,,,
1804,0,2,1024,-0.027960316205280833,-0.04179992154240608,-0.989174485206604,0.231689453125,0.2,0.016104244,-43.97674751281738,0.1361726689938223,0.0004092704424510632,16,0.999194324016571,,
1525,1,3,1536,-0.026659452152671292,-0.034072987735271454,-0.03543901443481445,0.2611083984375,0.2,0.021377323,-43.965667963027954,0.00259434717008844,0.0004092704424510632,32,0.9997786283493042,-2.22547,1223.0
1418,1,4,2048,-0.026126351935090497,-0.015456950291991234,0.001994609832763672,0.28759765625,0.2,0.018634109,-43.980013966560364,0.04469594836700708,0.0004092704424510632,48,0.9996486306190491,-2.22547,1223.0
1361,1,5,2560,-0.029681250860448927,-0.03922196477651596,-0.003450751304626465,0.27685546875,0.2,0.019388927,-43.96984016895294,0.0015566066977044102,0.0004092704424510632,64,0.9997206926345825,-2.277239,1223.0
1328,2,6,3072,-0.024651114454172784,-0.01791537180542946,0.004509270191192627,0.2574462890625,0.2,0.017776318,-43.98001527786255,0.046960039413534105,0.0004092704424510632,80,1.0001537799835205,-2.277239,1223.0
1303,2,7,3584,-0.027908413583645597,-0.03470951318740845,0.0010887980461120605,0.2640380859375,0.2,0.015898123,-43.96039938926697,0.003062504383706255,0.0004092704424510632,96,0.9979712963104248,-2.277239,1223.0
1282,3,8,4096,-0.02623909938847646,-0.03313169628381729,-0.0017338991165161133,0.2564697265625,0.2,0.018279567,-43.90827798843384,0.002924468310084194,0.0004092704424510632,112,0.9978024959564209,-2.264231333333333,1223.0
1269,3,9,4608,-0.023631352523807436,0.003750992938876152,0.006477296352386475,0.23828125,0.2,0.016794322,-43.92151701450348,0.06536183436401188,0.0004092704424510632,128,0.9982815980911255,-2.264231333333333,1223.0
1258,4,10,5120,-0.022524635307490826,-0.03537938743829727,0.07573050260543823,0.245849609375,0.2,0.020939134,-43.926822900772095,0.0020814497602259507,0.0004092704424510632,144,0.9980233907699585,-2.2995729999999996,1223.0
