time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4043,1,,,,,,,,,,,,,
1024,0,1833,2,16,0.11360969398083398,-43.98261344432831,0.9997901320457458,0.012761464,0.4405145049095154,0.2293701171875,-0.03404279798269272,0.2,-0.02968333725584671,0.0004092704424510632,,
1536,1,1524,3,32,0.004741412427392788,-43.98624634742737,1.0002954006195068,0.018782139,-0.0950697660446167,0.2587890625,-0.03986296057701111,0.2,-0.0278412010629836,0.0004092704424510632,1257.0,-2.384886
2048,1,1417,4,48,0.012323092087171972,-43.97013258934021,0.9980911612510681,0.027962107,-0.008994817733764648,0.33251953125,-0.04900634288787842,0.2,-0.03840939103974961,0.0004092704424510632,1257.0,-2.384886
2560,1,1377,5,64,0.004138569413044024,-43.88718628883362,0.9956927299499512,0.015613919,0.02682548761367798,0.22802734375,-0.029889434576034546,0.2,-0.02102402136370074,0.0004092704424510632,1257.0,-2.460783
3072,2,1350,6,80,0.02079238125588745,-43.81030225753784,0.9930294156074524,0.02177225,0.019809246063232422,0.33251953125,-0.02559509128332138,0.2,-0.0284952400252223,0.0004092704424510632,1257.0,-2.460783
3584,2,1330,7,96,0.002438256564346375,-43.72662138938904,0.9904424548149109,0.015902411,0.14940154552459717,0.2626953125,-0.02841850556433201,0.2,-0.027170139088411815,0.0004092704424510632,1257.0,-2.460783
4096,3,1317,8,112,0.004064432592713274,-43.65873682498932,0.9887135028839111,0.019012397,-0.08813917636871338,0.30517578125,-0.03752640634775162,0.2,-0.03193408844526857,0.0004092704424510632,1257.0,-2.425965
4608,3,1304,9,128,0.024857907672412694,-43.63646876811981,0.9894855618476868,0.02075023,0.01223212480545044,0.318115234375,-0.0286853089928627,0.2,-0.027340199914760888,0.0004092704424510632,1257.0,-2.425965
5120,3,1297,10,144,0.0038653861774946563,-43.635849356651306,0.9879913330078125,0.015674511,0.013177812099456787,0.2467041015625,-0.02845349907875061,0.2,-0.025332144810818136,0.0004092704424510632,1257.0,-2.4014095
5632,4,1290,11,160,0.03358611569274217,-43.60567498207092,0.9886345267295837,0.023325022,0.034547388553619385,0.2900390625,-0.014084565453231335,0.2,-0.027037607418606058,0.0004092704424510632,1257.0,-2.4014095
6144,4,1285,12,176,0.002962451624625828,-43.61135506629944,0.9873310923576355,0.017618943,-0.3578968048095703,0.2447509765625,-0.046459175646305084,0.2,-0.026378646449302323,0.0004092704424510632,1257.0,-2.4014095
6656,5,1281,13,192,0.002414015201793518,-43.55797064304352,0.9858530163764954,0.016885407,-0.007734060287475586,0.268798828125,-0.03234432637691498,0.2,-0.027663173139444552,0.0004092704424510632,1257.0,-2.4029676
7168,5,1278,14,208,0.04263727739453316,-43.535725235939026,0.9866089820861816,0.01776455,0.00813281536102295,0.248779296875,-0.029442140832543373,0.2,-0.0298213959322311,0.0004092704424510632,1257.0,-2.4029676
7680,6,1276,15,224,0.005048716731835157,-43.57707941532135,0.9876538515090942,0.021512771,0.004073739051818848,0.29541015625,-0.0337020680308342,0.2,-0.033417642101994716,0.0004092704424510632,1257.0,-2.387654
8192,6,1273,16,240,0.04384742269758135,-43.61991488933563,0.9899508357048035,0.017357161,0.1625416874885559,0.2637939453125,-0.01926363632082939,0.2,-0.029040519817499444,0.0004092704424510632,1257.0,-2.387654
8704,6,1271,17,256,0.0028903095044370275,-43.71318864822388,0.9937910437583923,0.013701241,-0.0009028911590576172,0.1954345703125,-0.01960078440606594,0.2,-0.01863898427109234,0.0004092704424510632,1257.0,-2.387654
9216,7,1269,18,272,0.0027185491380805615,-43.81748938560486,0.9959885478019714,0.027854398,-0.14524364471435547,0.296142578125,-0.037078045308589935,0.2,-0.03309610069118207,0.0004092704424510632,1257.0,-2.390883571428571
9728,7,1267,19,288,0.04804679757216945,-43.85661733150482,0.9963402152061462,0.023865674,0.039288461208343506,0.2763671875,-0.015861760824918747,0.2,-0.028145798176410608,0.0004092704424510632,1257.0,-2.390883571428571
10240,8,1265,20,304,0.005055085537605919,-43.832950830459595,0.9945101141929626,0.014190681,-1.3071537017822266,0.212890625,-0.034292884171009064,0.2,-0.024912289940402843,0.0004092704424510632,1257.0,-2.3896377500000003
10752,8,1264,21,320,0.047599839919712394,-43.804720401763916,0.9952924251556396,0.017340157,0.03694695234298706,0.256591796875,-0.015876460820436478,0.2,-0.026398191024782136,0.0004092704424510632,1257.0,-2.3896377500000003
11264,8,1263,22,336,0.004410203357110731,-43.79470217227936,0.9928413033485413,0.020185433,-0.15445053577423096,0.2340087890625,-0.03521118313074112,0.2,-0.022328188220853917,0.0004092704424510632,1257.0,-2.3896377500000003
11776,9,1261,23,352,0.0018266419974679593,-43.72051513195038,0.9913132786750793,0.012954788,0.20990324020385742,0.1654052734375,-0.02608489617705345,0.2,-0.017370641682646237,0.0004092704424510632,1257.0,-2.3794923333333333
12288,9,1260,24,368,0.04265912383561954,-43.684502840042114,0.9904793500900269,0.03269331,0.17762279510498047,0.310791015625,-0.031714100390672684,0.2,-0.029898706794483587,0.0004092704424510632,1257.0,-2.3794923333333333
12800,10,1259,25,384,0.005530253729375545,-43.67817962169647,0.9912201166152954,0.015707893,-0.7306137084960938,0.2169189453125,-0.035516560077667236,0.2,-0.02734790282556787,0.0004092704424510632,1257.0,-2.3846686000000004
13312,10,1258,26,400,0.048623916576616466,-43.695642590522766,0.9912636280059814,0.025564138,0.24252581596374512,0.266357421875,-0.010118424892425537,0.2,-0.030369876825716347,0.0004092704424510632,1257.0,-2.3846686000000004
13824,10,1258,27,416,0.005178295548830647,-43.67789351940155,0.990679144859314,0.014647195,-0.00913858413696289,0.1966552734375,-0.035920631140470505,0.2,-0.02361709889373742,0.0004092704424510632,1257.0,-2.3846686000000004
14336,11,1257,28,432,0.005489059069077484,-43.6658148765564,0.990442156791687,0.015783064,0.6506736278533936,0.26708984375,-0.04771539568901062,0.2,-0.03133783313387539,0.0004092704424510632,1257.0,-2.3862009090909093
