time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4146,1,,,,,,,,,,,,,
1024,0,1877,2,16,0.13654080979176797,-43.99723792076111,1.0007818937301636,0.017627945,-0.9824866056442261,0.2520751953125,-0.03760283812880516,0.2,-0.029322770540602505,0.0004092704424510632,,
1536,0,1611,3,32,0.003427282310440205,-44.01568412780762,1.000855565071106,0.015205771,-0.09553182125091553,0.2496337890625,-0.034047309309244156,0.2,-0.02620889770332724,0.0004092704424510632,1257.0,-2.217252
2048,1,1499,4,48,0.03904776182025671,-43.994845271110535,0.9996654987335205,0.021450268,0.005684256553649902,0.3389892578125,-0.027312438935041428,0.2,-0.0355018070404185,0.0004092704424510632,1257.0,-2.217252
2560,1,1434,5,64,0.0036926066859450657,-43.969892740249634,0.9995109438896179,0.014407881,-0.14300072193145752,0.202392578125,-0.011711868457496166,0.2,-0.019186095567420125,0.0004092704424510632,1257.0,-2.321163
3072,2,1395,6,80,0.042177405674010515,-43.98466432094574,1.0007541179656982,0.021771256,0.017508864402770996,0.27734375,-0.009142208844423294,0.2,-0.026063592464197427,0.0004092704424510632,1257.0,-2.321163
3584,2,1369,7,96,0.002305021156644216,-44.0217981338501,1.0013047456741333,0.019577142,-0.42341065406799316,0.2672119140625,-0.02211274579167366,0.2,-0.02742683159885928,0.0004092704424510632,1257.0,-2.321163
4096,3,1350,8,112,0.0031685569520050194,-44.01897096633911,1.0008896589279175,0.018035995,-0.042397499084472656,0.232421875,-0.02888280712068081,0.2,-0.020792063180124387,0.0004092704424510632,1257.0,-2.3181646666666667
4608,3,1335,9,128,0.04728024860378355,-44.00209856033325,1.0001317262649536,0.016098473,0.023363173007965088,0.255126953125,-0.01998782530426979,0.2,-0.027324586815666407,0.0004092704424510632,1257.0,-2.3181646666666667
5120,3,1318,10,144,0.004220514540065778,-43.968963503837585,0.9988846182823181,0.017740725,-0.711403489112854,0.250244140625,-0.0414811410009861,0.2,-0.025990328678744845,0.0004092704424510632,1257.0,-2.31702825
5632,4,1309,11,160,0.05057455599308014,-43.936678528785706,0.9982969164848328,0.022390764,0.059321045875549316,0.2723388671875,-0.01130092702805996,0.2,-0.02532273887482006,0.0004092704424510632,1257.0,-2.31702825
6144,4,1302,12,176,0.007319831172935665,-43.92694973945618,0.9982397556304932,0.021094223,-1.0211243629455566,0.2421875,-0.03521475940942764,0.2,-0.02416737173916772,0.0004092704424510632,1257.0,-2.31702825
6656,5,1295,13,192,0.002746383845078526,-43.96587312221527,1.0011335611343384,0.015960023,0.021819591522216797,0.210205078125,-0.050010088831186295,0.2,-0.023615617930772714,0.0004092704424510632,1257.0,-2.3706454
7168,5,1291,14,208,0.0581177338026464,-44.04435348510742,1.0026425123214722,0.02165183,0.03127121925354004,0.246337890625,-0.019343186169862747,0.2,-0.027723889317712747,0.0004092704424510632,1257.0,-2.3706454
7680,5,1289,15,224,0.005504019158252049,-44.03623282909393,1.0001376867294312,0.02396435,-3.061764717102051,0.275634765625,-0.03513426333665848,0.2,-0.028384629418724217,0.0004092704424510632,1257.0,-2.388391
8192,6,1286,16,240,0.04788510361686349,-43.94680595397949,0.99765545129776,0.019179046,0.03308182954788208,0.2510986328125,-0.011632759124040604,0.2,-0.024819941958412528,0.0004092704424510632,1257.0,-2.388391
8704,6,1284,17,256,0.0031401882370118983,-43.87563741207123,0.9955242872238159,0.017497139,-0.47280728816986084,0.229736328125,-0.03628174960613251,0.2,-0.02477437302877661,0.0004092704424510632,1257.0,-2.388391
9216,7,1281,18,272,0.0026417905355629046,-43.846129059791565,0.9962831735610962,0.023157582,0.062115252017974854,0.250732421875,-0.03339725732803345,0.2,-0.02784903655992821,0.0004092704424510632,1257.0,-2.4010995714285714
9728,7,1279,19,288,0.045612290676217526,-43.85265588760376,0.9952106475830078,0.02257276,0.056677281856536865,0.2591552734375,-0.02457716502249241,0.2,-0.02972903889894951,0.0004092704424510632,1257.0,-2.4010995714285714
10240,8,1277,20,304,0.005003875216061715,-43.814111948013306,0.99464350938797,0.012934263,-3.5685219764709473,0.1932373046875,-0.02970864064991474,0.2,-0.020244105311576277,0.0004092704424510632,1257.0,-2.370230625
10752,8,1275,21,320,0.03652673278702423,-43.82037901878357,0.9955596327781677,0.02269277,0.06432777643203735,0.256103515625,-0.02625858411192894,0.2,-0.026162162095715757,0.0004092704424510632,1257.0,-2.370230625
11264,8,1274,22,336,0.0043076625079265796,-43.864131450653076,0.9975630640983582,0.024097616,-0.017490863800048828,0.2633056640625,-0.040635913610458374,0.2,-0.02858746438869275,0.0004092704424510632,1257.0,-2.370230625
11776,9,1272,23,352,0.0036557382773025893,-43.91320216655731,0.9984913468360901,0.024060804,0.30989938974380493,0.27197265625,-0.03817557170987129,0.2,-0.032970732645480894,0.0004092704424510632,1257.0,-2.3616083333333333
12288,9,1271,24,368,0.024903260928113014,-43.92482340335846,0.9979300498962402,0.025988095,0.3852895498275757,0.268798828125,-0.02783757448196411,0.2,-0.02622727984271478,0.0004092704424510632,1257.0,-2.3616083333333333
12800,10,1270,25,384,0.005216373290750198,-43.89548933506012,0.9975398182868958,0.014662022,-1.6046581268310547,0.185546875,-0.03283468633890152,0.2,-0.02331615328148473,0.0004092704424510632,1257.0,-2.3572026999999998
13312,10,1268,26,400,0.030228267947677523,-43.88042712211609,0.9964784979820251,0.018174537,0.15060120820999146,0.1990966796875,-0.01699415035545826,0.2,-0.017954419628949836,0.0004092704424510632,1257.0,-2.3572026999999998
13824,10,1267,27,416,0.004771743551827967,-43.833481311798096,0.994823694229126,0.01647291,-0.1095665693283081,0.2186279296875,-0.03329183906316757,0.2,-0.02404661595937796,0.0004092704424510632,1257.0,-2.3572026999999998
14336,11,1266,28,432,0.004852645070059225,-43.78531587123871,0.9935627579689026,0.014268843,0.6824025511741638,0.2119140625,-0.042370446026325226,0.2,-0.026579761557513848,0.0004092704424510632,1257.0,-2.3762659090909093
14848,11,1264,29,448,0.008740258490433916,-43.77394914627075,0.9948291778564453,0.020047637,0.47320330142974854,0.2293701171875,-0.026534873992204666,0.2,-0.02153382808319293,0.0004092704424510632,1257.0,-2.3762659090909093
15360,12,1264,30,464,0.0033385998649464455,-43.80941164493561,0.9948612451553345,0.015207576,-0.9222073554992676,0.2117919921875,-0.03768905997276306,0.2,-0.02330444924882613,0.0004092704424510632,1257.0,-2.3667004166666668
15872,12,1263,31,480,0.03875696429167874,-43.80323374271393,0.9951048493385315,0.0155087365,0.14844286441802979,0.191650390625,-0.009027678519487381,0.2,-0.01708634666283615,0.0004092704424510632,1257.0,-2.3667004166666668
16384,12,1262,32,496,0.007256964934640564,-43.815343499183655,0.9956308603286743,0.017198501,-0.6621267795562744,0.2498779296875,-0.036851752549409866,0.2,-0.032376080853282474,0.0004092704424510632,1257.0,-2.375656076923077
16896,13,1262,33,512,0.028036594099830836,-43.81261169910431,0.9949191808700562,0.021979528,0.39474785327911377,0.2391357421875,-0.03305121883749962,0.2,-0.026389664446469396,0.0004092704424510632,1257.0,-2.375656076923077
17408,13,1261,34,528,0.0047022581420606,-43.78415238857269,0.9941337704658508,0.017930571,-0.38440024852752686,0.24462890625,-0.020330170169472694,0.2,-0.02413365844404325,0.0004092704424510632,1257.0,-2.375656076923077
17920,14,1260,35,544,0.004407536493090447,-43.77700054645538,0.9946463704109192,0.019806886,-0.44908928871154785,0.2794189453125,-0.04535230994224548,0.2,-0.03088865941390395,0.0004092704424510632,1257.0,-2.3826567857142855
