time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
8704,6,1272,17,256,0.0033601047471165657,-43.809505462646484,0.9941155910491943,0.017743804,-0.02378547191619873,0.264892578125,-0.03038095310330391,0.2,-0.027797981092589907,0.0004092704424510632,1257.0,-2.3798703333333333
9216,7,1269,18,272,0.0023376815624942537,-43.79162871837616,0.9948791861534119,0.019191768,0.003524184226989746,0.256103515625,-0.03457879647612572,0.2,-0.02765783344511874,0.0004092704424510632,1257.0,-2.3675495714285715
9728,7,1266,19,288,0.042188547959085554,-43.785921812057495,0.9925411939620972,0.022853062,0.0010349750518798828,0.2340087890625,-0.0047633834183216095,0.2,-0.02367689246602822,0.0004092704424510632,1257.0,-2.3675495714285715
10240,8,1264,20,304,0.004522265538980719,-43.72623431682587,0.9926832318305969,0.017978314,-0.025992512702941895,0.252685546875,-0.04316641762852669,0.2,-0.02465636868146248,0.0004092704424510632,1257.0,-2.3438875
10752,8,1261,21,320,0.0466929217800498,-43.730427742004395,0.9915394186973572,0.021767804,0.002938210964202881,0.300537109375,-0.014823496341705322,0.2,-0.024809965369058773,0.0004092704424510632,1257.0,-2.3438875
11264,8,1259,22,336,0.0017341836901323404,-43.70431661605835,0.9919774532318115,0.015037685,-0.43223321437835693,0.23095703125,-0.03362410515546799,0.2,-0.025175554379529785,0.0004092704424510632,1257.0,-2.3438875
11776,9,1257,23,352,0.0016730112292862032,-43.71987748146057,0.992341160774231,0.014000785,0.01426553726196289,0.2198486328125,-0.028610466048121452,0.2,-0.022071182262152433,0.0004092704424510632,1257.0,-2.327919
12288,9,1255,24,368,0.0585065467748791,-43.711363077163696,0.990974485874176,0.016801815,0.004328310489654541,0.1854248046875,0.01096426509320736,0.2,-0.017414690024452284,0.0004092704424510632,1257.0,-2.327919
12800,10,1253,25,384,0.003852228299365379,-43.66302156448364,0.9900068640708923,0.015105281,-0.24080097675323486,0.2176513671875,-0.02881297655403614,0.2,-0.0211481821606867,0.0004092704424510632,1257.0,-2.3403877
13312,10,1253,26,400,0.057348245405592024,-43.638726592063904,0.9892479777336121,0.023074206,0.0018032193183898926,0.2674560546875,-0.0019334480166435242,0.2,-0.025249830388929695,0.0004092704424510632,1257.0,-2.3403877
13824,11,1252,27,416,0.003800241436692886,-43.63751721382141,0.9903889894485474,0.01763451,-0.030451178550720215,0.2357177734375,-0.02960864081978798,0.2,-0.026247792557114735,0.0004092704424510632,1257.0,-2.3403877
14336,11,1251,28,432,0.0015260021918948041,-43.685922622680664,0.9920886754989624,0.016707912,0.0015146136283874512,0.238525390625,-0.047158289700746536,0.2,-0.02510940100182779,0.0004092704424510632,1257.0,-2.342110454545455
14848,11,1251,29,448,0.013770261153695174,-43.69824814796448,0.9907054901123047,0.026951542,7.003545761108398e-05,0.220703125,-0.015599740669131279,0.2,-0.017189887985296082,0.0004092704424510632,1257.0,-2.342110454545455
15360,12,1250,30,464,0.004368791749584489,-43.659587144851685,0.9901846647262573,0.02803633,-0.0007292032241821289,0.2880859375,-0.04646699130535126,0.2,-0.02782187663251534,0.0004092704424510632,1257.0,-2.3526682500000002
15872,12,1247,31,480,0.09027063986286521,-43.606640100479126,0.9866120219230652,0.019480625,0.0004298686981201172,0.265869140625,0.005383141338825226,0.2,-0.02758896045270376,0.0004092704424510632,1257.0,-2.3526682500000002
