time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4010,1,,,,,,,,,,,,,
1024,0,1818,2,16,0.16552721518382896,-43.97288405895233,0.9991356730461121,0.014977125,-0.822687029838562,0.2706298828125,-0.05157684534788132,0.2,-0.03658529027597979,0.0004092704424510632,,
1536,0,1566,3,32,0.003831852722214535,-43.960787296295166,0.9994503855705261,0.019753095,-0.00869905948638916,0.2855224609375,-0.025895195081830025,0.2,-0.030807717674179003,0.0004092704424510632,1257.0,-2.270485
2048,1,1450,4,48,0.011723249714123085,-43.97210669517517,0.9998427629470825,0.017194021,0.016299545764923096,0.2569580078125,-0.02537405863404274,0.2,-0.024624305311590433,0.0004092704424510632,1257.0,-2.270485
2560,1,1395,5,64,0.0027791320280812215,-43.97689414024353,0.9995289444923401,0.02030512,0.0003769397735595703,0.2340087890625,-0.03071153722703457,0.2,-0.024696225969819352,0.0004092704424510632,1257.0,-2.3351034999999998
3072,2,1364,6,80,0.003837815183942439,-43.969552993774414,0.9997040629386902,0.01744295,0.024211466312408447,0.2730712890625,-0.03615577518939972,0.2,-0.02544921971275471,0.0004092704424510632,1257.0,-2.3351034999999998
3584,2,1341,7,96,0.0027384807326598093,-43.9524587392807,0.9980766773223877,0.019404627,0.017406225204467773,0.297607421875,-0.042148198932409286,0.2,-0.03528183278103825,0.0004092704424510632,1257.0,-2.3351034999999998
4096,3,1324,8,112,0.0032407836406491697,-43.91231954097748,0.9977291226387024,0.017279116,0.011184871196746826,0.234375,-0.03141378238797188,0.2,-0.023432788148056716,0.0004092704424510632,1257.0,-2.3673906666666666
4608,3,1310,9,128,0.0030275534736574627,-43.90149700641632,0.9969940781593323,0.019328445,0.010228335857391357,0.2674560546875,-0.03871823102235794,0.2,-0.0284734003507765,0.0004092704424510632,1257.0,-2.3673906666666666
5120,3,1302,10,144,0.003988569471403025,-43.87604546546936,0.9962432384490967,0.014736827,0.010055840015411377,0.2586669921875,-0.03053760528564453,0.2,-0.02544054319150746,0.0004092704424510632,1257.0,-2.34028075
5632,4,1294,11,160,0.004677174772950821,-43.8337436914444,0.994006335735321,0.015153129,4.404783248901367e-05,0.2711181640625,-0.04422259330749512,0.2,-0.026584707709844224,0.0004092704424510632,1257.0,-2.34028075
6144,4,1287,12,176,0.003120011169812642,-43.77372193336487,0.9930550456047058,0.015978336,0.023514628410339355,0.2523193359375,-0.03153340518474579,0.2,-0.026951486855978146,0.0004092704424510632,1257.0,-2.34028075
6656,5,1282,13,192,0.002221787868620595,-43.76264572143555,0.9932220578193665,0.016273681,0.01942986249923706,0.2593994140625,-0.03740173205733299,0.2,-0.03019469155697152,0.0004092704424510632,1257.0,-2.3614995999999997
7168,5,1277,14,208,0.009771695607923903,-43.746177315711975,0.991679310798645,0.01755638,-0.003901958465576172,0.2603759765625,-0.032360613346099854,0.2,-0.025842699855274986,0.0004092704424510632,1257.0,-2.3614995999999997
7680,6,1272,15,224,0.003820108249783516,-43.71032392978668,0.9913512468338013,0.016221393,0.007021307945251465,0.2501220703125,-0.038576655089855194,0.2,-0.028643659985391423,0.0004092704424510632,1257.0,-2.3459741666666667
8192,6,1267,16,240,0.01797560791601427,-43.6713992357254,0.9888449907302856,0.027232446,0.0012513995170593262,0.29248046875,-0.032350845634937286,0.2,-0.03320870266179554,0.0004092704424510632,1257.0,-2.3459741666666667
8704,6,1264,17,256,0.0031727473688079044,-43.596670031547546,0.9871235489845276,0.011709761,-0.008800148963928223,0.1700439453125,-0.03282199054956436,0.2,-0.021695860035833903,0.0004092704424510632,1257.0,-2.3459741666666667
9216,7,1261,18,272,0.0023224600772664417,-43.567261695861816,0.9874703288078308,0.020038195,0.013767421245574951,0.2481689453125,-0.03659145161509514,0.2,-0.02844966563861817,0.0004092704424510632,1257.0,-2.311769714285714
9728,7,1258,19,288,0.024539282952900976,-43.568501591682434,0.9863614439964294,0.017917478,0.00263291597366333,0.2054443359375,-0.030019156634807587,0.2,-0.022462775406893343,0.0004092704424510632,1257.0,-2.311769714285714
10240,8,1254,20,304,0.002978928678203374,-43.548871755599976,0.9874492883682251,0.02002404,-0.01628267765045166,0.21044921875,-0.029833108186721802,0.2,-0.025628204035456292,0.0004092704424510632,1257.0,-2.308289125
10752,8,1252,21,320,0.028594058356247842,-43.5660719871521,0.9869488477706909,0.03718297,0.006385207176208496,0.2896728515625,-0.02881813794374466,0.2,-0.02951550490979571,0.0004092704424510632,1257.0,-2.308289125
11264,9,1250,22,336,0.0031187676431727596,-43.552706241607666,0.9868548512458801,0.015185031,-0.023813724517822266,0.1988525390625,-0.03938155621290207,0.2,-0.023078701371559873,0.0004092704424510632,1257.0,-2.308289125
