rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/episodes,time/fps
-5.28865025,-121.10235595703125,4931,1.7495415210723877,0.01702762208878994,0.0008459126528049375,1258.0,-184.114501953125,445,5032,4,11
-4.227795625,-123.02813720703125,9963,5.601027965545654,0.0011932640336453915,0.0008459126528049375,1258.0,-24.06902503967285,906,10064,8,11
-3.530257,-111.91413879394531,14995,5.646547317504883,0.0012140570906922221,0.0008459126528049375,1258.0,70.16197204589844,1373,15096,12,10
-3.1884173125000004,-107.41108703613281,20027,1.7964444160461426,0.0007846731459721923,0.0008459126528049375,1258.0,-72.36700439453125,1843,20128,16,10
-2.94932045,-87.0660400390625,25059,3.6983723640441895,0.001094681560061872,0.0008459126528049375,1258.0,-49.166316986083984,14,25160,20,10
-2.817677958333333,-82.95491027832031,30091,0.7658607363700867,0.0003282333491370082,0.0008459126528049375,1258.0,53.73916244506836,486,30192,24,10
-2.7151066785714284,-81.34477233886719,35123,2.2835607528686523,0.00038755295099690557,0.0008459126528049375,1258.0,55.67085647583008,959,35224,28,10
-2.62742515625,-58.987815856933594,40155,1.0049076080322266,0.0003452036762610078,0.0008459126528049375,1258.0,-5.2906599044799805,1435,40256,32,10
-2.5644511666666663,-36.66575241088867,45187,22.19854164123535,0.0003455964906606823,0.0008459126528049375,1258.0,404.66900634765625,1915,45288,36,10
-2.499062275,-34.20268630981445,50219,0.8570212721824646,0.00025231242761947215,0.0008459126528049375,1258.0,-12.409280776977539,28,50320,40,11
-2.455679,-32.79960632324219,55251,1.0593414306640625,0.0003981506743002683,0.0008459126528049375,1258.0,-81.09498596191406,497,55352,44,10
-2.426066604166667,-29.660720825195312,60283,1.6966156959533691,0.0004085366381332278,0.0008459126528049375,1258.0,38.660587310791016,960,60384,48,10
-2.384656057692308,-17.2575740814209,65315,5.022861957550049,0.001083853654563427,0.0008459126528049375,1258.0,50.664833068847656,1422,65416,52,10
