rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,time/episodes,train/learning_rate
1258.0,3.6717684268951416,-4.7612025,22,5032,223,4931,-158.0543212890625,-121.56007385253906,0.017132995650172234,4,0.0008459126528049375
1258.0,5.623754501342773,-3.6555665,22,10064,450,9963,-23.747121810913086,-128.42295837402344,0.0012622673530131578,8,0.0008459126528049375
1258.0,6.365224838256836,-3.04981925,22,15096,671,14995,8.731566429138184,-135.13746643066406,0.001040658331476152,12,0.0008459126528049375
1258.0,5.10849666595459,-2.79041075,22,20128,911,20027,48.712928771972656,-138.93063354492188,0.0009636083268560469,16,0.0008459126528049375
1258.0,9.561880111694336,-2.60375685,21,25160,7,25059,-11.233826637268066,-120.43059539794922,0.0015548891387879848,20,0.0008459126528049375
1258.0,29.596389770507812,-2.4882395416666667,21,30192,239,30091,-47.1418342590332,-106.96990203857422,0.0017280870815739036,24,0.0008459126528049375
1258.0,4.924840450286865,-2.433824285714286,21,35224,467,35123,-59.86002731323242,-104.60445404052734,0.0007903464138507843,28,0.0008459126528049375
1258.0,4.704898357391357,-2.3471600625,21,40256,703,40155,15.020927429199219,-86.84663391113281,0.0010626240400597453,32,0.0008459126528049375
1258.0,6.818917751312256,-2.2749774722222225,21,45288,933,45187,31.03516387939453,-81.55706024169922,0.0007915159221738577,36,0.0008459126528049375
1258.0,7.530910491943359,-2.2407948249999996,24,50320,13,50219,74.81202697753906,-72.56381225585938,0.0008140683057717979,40,0.0008459126528049375
1258.0,6.865941047668457,-2.226596409090909,21,55352,243,55251,-6.40078592300415,-67.42035675048828,0.000624470878392458,44,0.0008459126528049375
1258.0,5.279699802398682,-2.20537775,21,60384,476,60283,3.3185153007507324,-65.57301330566406,0.0007641041302122176,48,0.0008459126528049375
1258.0,15.897693634033203,-2.157136442307692,21,65416,712,65315,57.09358596801758,-55.52952575683594,0.0007047553081065416,52,0.0008459126528049375
1258.0,3.763615131378174,-2.148319875,21,70448,956,70347,-4.2772536277771,-39.73523712158203,0.0007716873078607023,56,0.0008459126528049375
1258.0,1.9642651081085205,-2.121639916666667,18,75480,25,75379,86.41212463378906,-32.96297836303711,0.0004967257846146822,60,0.0008459126528049375
1258.0,1.9485275745391846,-2.098623140625,18,80512,293,80411,74.92743682861328,-30.332138061523438,0.0005028523737564683,64,0.0008459126528049375
