time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/std,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
4023,1,512,0,,,,,,,,,,,,,
2437,2,1024,0,1.000177264213562,16,-0.03267481783404946,-0.22057127952575684,0.2,0.275146484375,0.016723238,0.07860505039207055,0.0004092704424510632,-0.04225047305226326,-43.98493015766144,,
2138,3,1536,0,1.0024305582046509,32,-0.03244768289732747,0.0019512772560119629,0.2,0.2799072265625,0.017237749,0.0034892857729573734,0.0004092704424510632,-0.0385436974465847,-44.02341568470001,-2.595131,1258.0
2008,4,2048,1,1.000684142112732,48,-0.03141811769455671,-0.0067365169525146484,0.2,0.3697509765625,0.026560297,0.008370639741769992,0.0004092704424510632,-0.03891938179731369,-44.044934153556824,-2.595131,1258.0
1924,5,2560,1,0.9997553825378418,64,-0.030109819577774033,0.006075501441955566,0.2,0.28125,0.020983908,0.0026722780348791275,0.0004092704424510632,-0.03911447525024414,-43.987476110458374,-2.608722,1258.0
1876,6,3072,1,0.9995506405830383,80,-0.025455292576225474,0.0015524625778198242,0.2,0.3001708984375,0.024116382,0.015839982981560752,0.0004092704424510632,-0.021789636462926865,-43.973928570747375,-2.608722,1258.0
1853,7,3584,1,0.9994868040084839,96,-0.024998348526423797,0.013925790786743164,0.2,0.2222900390625,0.013757862,0.0014527816256304504,0.0004092704424510632,-0.030101271346211433,-43.968472957611084,-2.608722,1258.0
1827,8,4096,2,1.0000145435333252,112,-0.03289888231665827,-0.000911712646484375,0.2,0.3314208984375,0.019986983,0.010614651997457258,0.0004092704424510632,-0.039623841643333435,-43.975157141685486,-2.621637666666667,1258.0
1810,9,4608,2,0.9970978498458862,128,-0.0278802649845602,0.0016026496887207031,0.2,0.2698974609375,0.017192636,0.020881159871350974,0.0004092704424510632,-0.03383796662092209,-43.94760882854462,-2.621637666666667,1258.0
1794,10,5120,2,0.9958201050758362,144,-0.022530454021762125,-0.0061914920806884766,0.2,0.2359619140625,0.01736086,0.002482634812622564,0.0004092704424510632,-0.022585701197385788,-43.86296606063843,-2.6892862500000003,1258.0
1783,11,5632,3,0.9953782558441162,160,-0.02918713747203583,0.0018593668937683105,0.2,0.2847900390625,0.024748197,0.04721725289709866,0.0004092704424510632,-0.01863684132695198,-43.84257471561432,-2.6892862500000003,1258.0
