time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1233,5,14,7168,-0.023187673912616447,-0.040080271661281586,-0.0012050867080688477,0.21044921875,0.2,0.01594545,-44.007832407951355,0.0026960905197483953,0.0004092704424510632,208,1.0001583099365234,-2.3486974,1223.0
1229,6,15,7680,-0.019638777201180346,-0.03127255663275719,0.000968635082244873,0.184814453125,0.2,0.012846442,-43.96628284454346,0.0032422543663415127,0.0004092704424510632,224,0.9993613958358765,-2.3542943333333333,1223.0
1226,6,16,8192,-0.02777553159103263,-0.027165789157152176,-0.0014327764511108398,0.261474609375,0.2,0.021970525,-43.93790602684021,0.020247718988684937,0.0004092704424510632,240,0.9982876181602478,-2.3542943333333333,1223.0
1224,7,17,8704,-0.026754432168672793,-0.04168393090367317,0.004295766353607178,0.2059326171875,0.2,0.015033973,-43.88635432720184,0.0015429083032358903,0.0004092704424510632,256,0.9953694343566895,-2.3445594285714284,1223.0
1221,7,18,9216,-0.022928233214770444,-0.02854151651263237,0.003788590431213379,0.25439453125,0.2,0.01632452,-43.8260293006897,0.02694245200837031,0.0004092704424510632,272,0.9958963990211487,-2.3445594285714284,1223.0
1220,7,19,9728,-0.022477941907709464,-0.03851715102791786,-0.008400678634643555,0.22705078125,0.2,0.017737791,-43.831772685050964,0.0025878571468638256,0.0004092704424510632,288,0.9942406415939331,-2.3445594285714284,1223.0
1219,8,20,10240,-0.02162805294210557,-0.03734244406223297,-0.0008184909820556641,0.1790771484375,0.2,0.01581598,-43.74449300765991,0.0028807718808820937,0.0004092704424510632,304,0.9908044338226318,-2.34716025,1223.0
1216,8,21,10752,-0.025738229669514112,-0.009115120396018028,0.0032682418823242188,0.2427978515625,0.2,0.020669483,-43.67563855648041,0.03877532930346206,0.0004092704424510632,320,0.9903156757354736,-2.34716025,1223.0
1214,9,22,11264,-0.03386610315646976,-0.047175850719213486,-0.08281421661376953,0.2926025390625,0.2,0.02610245,-43.652700901031494,0.002177387614210602,0.0004092704424510632,336,0.9889090061187744,-2.3423981111111107,1223.0
1212,9,23,11776,-0.02347880600427743,-0.009386751800775528,0.003394007682800293,0.2276611328125,0.2,0.017751046,-43.58089470863342,0.04956147726625204,0.0004092704424510632,352,0.9854404926300049,-2.3423981111111107,1223.0
1209,10,24,12288,-0.022246672975597903,-0.03290922939777374,-0.2377920150756836,0.2154541015625,0.2,0.020394979,-43.48173427581787,0.000922773885577044,0.0004092704424510632,368,0.9834715723991394,-2.3567697,1223.0
1208,10,25,12800,-0.0205432002840098,-0.005436651408672333,0.0037290453910827637,0.2061767578125,0.2,0.014651669,-43.47365689277649,0.053799406974576414,0.0004092704424510632,384,0.984809160232544,-2.3567697,1223.0
1207,11,26,13312,-0.02112973009934649,-0.020299749448895454,0.0813325047492981,0.1951904296875,0.2,0.015605472,-43.504191875457764,0.0024998841690830886,0.0004092704424510632,400,0.9850042462348938,-2.3567697,1223.0
1206,11,27,13824,-0.02903800601779949,-0.054491810500621796,-0.0014793872833251953,0.2481689453125,0.2,0.020486586,-43.504165053367615,0.0024729430151637644,0.0004092704424510632,416,0.9848294854164124,-2.348462636363636,1223.0
1205,11,28,14336,-0.031177419921732508,-0.014506775885820389,0.001057744026184082,0.282958984375,0.2,0.021597028,-43.479281544685364,0.06620902416761965,0.0004092704424510632,432,0.9836089611053467,-2.348462636363636,1223.0
1204,12,29,14848,-0.024856986186932772,-0.03219248726963997,-0.0003088712692260742,0.244140625,0.2,0.016283449,-43.463916540145874,0.0013427131470962195,0.0004092704424510632,448,0.984490692615509,-2.343635083333333,1223.0
1203,12,30,15360,-0.033777177275624126,-0.009253807365894318,0.002227604389190674,0.3341064453125,0.2,0.036452055,-43.47340428829193,0.07257856684736907,0.0004092704424510632,464,0.9832876920700073,-2.343635083333333,1223.0
1203,13,31,15872,-0.025388372712768614,-0.03580113872885704,0.04575526714324951,0.216552734375,0.2,0.017582737,-43.40908193588257,0.002156991326046409,0.0004092704424510632,480,0.980827808380127,-2.343635083333333,1223.0
1202,13,32,16384,-0.03312044126505498,-0.04887864366173744,0.019375979900360107,0.2646484375,0.2,0.018786421,-43.33844769001007,0.0030034735282242764,0.0004092704424510632,496,0.9792826771736145,-2.3343582307692303,1223.0
1201,14,33,16896,-0.024852878486854024,-0.007789004594087601,0.004838228225708008,0.28857421875,0.2,0.034091152,-43.31540560722351,0.055967938620597124,0.0004092704424510632,512,0.9796639680862427,-2.3343582307692303,1223.0
1200,14,34,17408,-0.02904419257538393,-0.041099365800619125,-0.41760575771331787,0.279296875,0.2,0.02383695,-43.336801409721375,0.002323447377420962,0.0004092704424510632,528,0.980571448802948,-2.316669071428571,1223.0
1199,14,35,17920,-0.021120068777236156,-0.007161304354667664,0.019299864768981934,0.2056884765625,0.2,0.017373607,-43.34075880050659,0.06775757786817849,0.0004092704424510632,544,0.979399561882019,-2.316669071428571,1223.0
1199,15,36,18432,-0.024998561246320605,-0.04107297956943512,-1.084489345550537,0.2144775390625,0.2,0.016156198,-43.30247139930725,0.005334694153134478,0.0004092704424510632,560,0.9789091944694519,-2.3046446,1223.0
