train/n_updates,train/critic_loss,train/ent_coef_loss,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean
4791,1.0951108932495117,-170.89927673339844,14,4892,-120.72826385498047,0.0008459126528049375,328,4,-4.4081135,0.019669264554977417,1223.0
9683,3.2240118980407715,3.935257911682129,14,9784,-130.12960815429688,0.0008459126528049375,675,8,-3.4430636249999997,0.0015056373085826635,1223.0
14575,4.157102108001709,-1.9150816202163696,14,14676,-130.49606323242188,0.0008459126528049375,1021,12,-2.8254026666666667,0.001197659526951611,1223.0
19467,5.599111080169678,11.053323745727539,14,19568,-108.8672866821289,0.0008459126528049375,1366,16,-2.4521865,0.000889876508153975,1223.0
24359,2.642099618911743,-22.249361038208008,14,24460,-96.28590393066406,0.0008459126528049375,1707,20,-2.23919595,0.000947029679082334,1223.0
29251,10.356544494628906,331.134521484375,14,29352,-92.01604461669922,0.0008459126528049375,302,24,-2.0873665,0.0007086406694725156,1223.0
34143,4.850366592407227,-81.74468994140625,14,34244,-75.8513412475586,0.0008459126528049375,635,28,-1.9610566071428572,0.0006754542700946331,1223.0
39035,81.88919067382812,191.2848358154297,14,39136,-55.360931396484375,0.0008459126528049375,973,32,-1.8799404375,0.0004776236310135573,1223.0
43927,10.406944274902344,71.71778869628906,14,44028,-53.0809440612793,0.0008459126528049375,1316,36,-1.8178051666666666,0.000503674556966871,1223.0
48819,2.344467878341675,-27.25495147705078,14,48920,-52.17629623413086,0.0008459126528049375,1653,40,-1.762500825,0.0005714694852940738,1223.0
53711,3.3185956478118896,-5.375582695007324,14,53812,-47.79509353637695,0.0008459126528049375,260,44,-1.7091880454545454,0.0007399435271508992,1223.0
58603,0.502551794052124,-45.50836944580078,14,58704,-45.64839172363281,0.0008459126528049375,600,48,-1.653370416666667,0.0004170035244897008,1223.0
63495,2.458394765853882,-12.818033218383789,14,63596,-43.88518142700195,0.0008459126528049375,950,52,-1.6215818269230775,0.0008781128562986851,1223.0
68387,0.6380854845046997,-31.69198989868164,14,68488,-40.11893844604492,0.0008459126528049375,1314,56,-1.5913185535714285,0.0006465240148827434,1223.0
