train/ent_coef_loss,time/fps,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,time/episodes,train/n_updates
-174.33189392089844,41,1258.0,0.01716805435717106,-122.34393310546875,-5.28436225,120,5032,0.0008459126528049375,1.7810792922973633,4,4931
59.18864822387695,40,1258.0,0.0012479725992307067,-127.91961669921875,-4.259881125,250,10064,0.0008459126528049375,6.505597114562988,8,9963
-27.03986930847168,40,1258.0,0.0009408582700416446,-124.1790771484375,-3.6599446666666666,373,15096,0.0008459126528049375,4.481482028961182,12,14995
23.461069107055664,40,1258.0,0.0009189143311232328,-111.271484375,-3.2830250625,495,20128,0.0008459126528049375,2.91703462600708,16,20027
-67.465576171875,41,1258.0,0.0011411968152970076,-92.81715393066406,-3.0350138000000006,3,25160,0.0008459126528049375,4.710614204406738,20,25059
-102.10822296142578,40,1258.0,0.0005257792072370648,-89.91616821289062,-2.8334332083333336,126,30192,0.0008459126528049375,2.0249476432800293,24,30091
-22.160409927368164,40,1258.0,0.00046140479389578104,-88.89778137207031,-2.723974964285715,252,35224,0.0008459126528049375,2.205293893814087,28,35123
-38.26670837402344,40,1258.0,0.0007734832470305264,-65.87812805175781,-2.67827240625,379,40256,0.0008459126528049375,2.1725451946258545,32,40155
-41.56132507324219,39,1258.0,0.0006127678789198399,-45.484188079833984,-2.6310608055555558,516,45288,0.0008459126528049375,4.589447021484375,36,45187
21.254905700683594,30,1258.0,0.00034197221975773573,-43.55217742919922,-2.6029961,10,50320,0.0008459126528049375,1.924384593963623,40,50219
-78.50221252441406,29,1258.0,0.00026380931376479566,-28.78923988342285,-2.570136659090909,178,55352,0.0008459126528049375,1.0515762567520142,44,55251
86.49478149414062,29,1258.0,0.0002653391275089234,-25.58208656311035,-2.5352231250000004,346,60384,0.0008459126528049375,1.0150909423828125,48,60283
45.6336784362793,29,1258.0,0.00021389861649367958,-24.215044021606445,-2.5011367115384617,516,65416,0.0008459126528049375,5.108644008636475,52,65315
63.5147705078125,29,1258.0,0.0003772936179302633,-20.680686950683594,-2.47317775,686,70448,0.0008459126528049375,1.482482671737671,56,70347
105.72129821777344,28,1258.0,0.00047046435065567493,-16.29251480102539,-2.4405298166666665,16,75480,0.0008459126528049375,2.1750874519348145,60,75379
-51.378604888916016,27,1258.0,0.0003484711633063853,-13.6763916015625,-2.424264046875,198,80512,0.0008459126528049375,3.355313777923584,64,80411
-58.80996322631836,27,1258.0,0.0003245962434448302,-11.96142292022705,-2.395331602941176,383,85544,0.0008459126528049375,1.8653610944747925,68,85443
-37.77831268310547,28,1258.0,0.0005022013210691512,-7.164902687072754,-2.3750417916666664,537,90576,0.0008459126528049375,1.8540655374526978,72,90475
-56.6224365234375,30,1258.0,0.00027711308212019503,-3.9990358352661133,-2.358939210526316,679,95608,0.0008459126528049375,0.7470716834068298,76,95507
