train/n_updates,train/critic_loss,train/ent_coef_loss,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean
4791,1.6040369272232056,-173.9763641357422,13,4892,-124.58679962158203,0.0008459126528049375,373,4,-4.241239,0.019188465550541878,1223.0
9683,45.54722595214844,-25.738676071166992,12,9784,-131.64028930664062,0.0008459126528049375,755,8,-3.4921968750000003,0.0012465862091630697,1223.0
14575,7.365664482116699,61.77513885498047,12,14676,-129.81582641601562,0.0008459126528049375,1138,12,-2.8287320833333336,0.0009174217702820897,1223.0
19467,11.521529197692871,14.239544868469238,12,19568,-119.91987609863281,0.0008459126528049375,1517,16,-2.4853105625,0.0009027550113387406,1223.0
24359,3.885575294494629,134.7373046875,12,24460,-111.57164001464844,0.0008459126528049375,1897,20,-2.3262565499999996,0.0006070265080779791,1223.0
29251,3.5056662559509277,126.61885833740234,12,29352,-96.49507904052734,0.0008459126528049375,342,24,-2.214668083333333,0.0006244214600883424,1223.0
34143,1.6027748584747314,59.84989547729492,12,34244,-96.26341247558594,0.0008459126528049375,731,28,-2.104988964285714,0.0004440649936441332,1223.0
39035,2.8784475326538086,-37.837554931640625,12,39136,-90.19482421875,0.0008459126528049375,1125,32,-2.023489375,0.00037939700996503234,1223.0
43927,6.037172317504883,85.89978790283203,12,44028,-86.57703399658203,0.0008459126528049375,1518,36,-1.961879111111111,0.0002524775336496532,1223.0
48819,5.104783058166504,-31.58142852783203,12,48920,-70.85353088378906,0.0008459126528049375,1909,40,-1.9129483749999998,0.0006568653043359518,1223.0
53711,6.055330276489258,-82.40457153320312,12,53812,-41.563175201416016,0.0008459126528049375,305,44,-1.8552424090909092,0.001313462620601058,1223.0
58603,1.8955645561218262,-22.747947692871094,12,58704,-34.37639236450195,0.0008459126528049375,701,48,-1.8066910625,0.0003594700829125941,1223.0
63495,7.568288803100586,179.1527099609375,12,63596,-33.751434326171875,0.0008459126528049375,1098,52,-1.7572695384615384,0.00027138442965224385,1223.0
68387,7.0933637619018555,59.647682189941406,12,68488,-13.939112663269043,0.0008459126528049375,1496,56,-1.7191007857142857,0.000614339835010469,1223.0
73279,3.2292261123657227,24.826053619384766,12,73380,-13.387228012084961,0.0008459126528049375,1899,60,-1.6869330333333334,0.0008933503995649517,1223.0
