train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/episodes
0.0008459126528049375,0.019557107239961624,4791,1.5674059391021729,138,1223.0,-119.90306854248047,35,-4.37319775,4892,-173.78578186035156,4
0.0008459126528049375,0.001286868704482913,9683,2.516906261444092,281,1223.0,-127.47994995117188,34,-3.334207125,9784,-2.077138662338257,8
0.0008459126528049375,0.001060812035575509,14575,3.657641649246216,424,1223.0,-132.25779724121094,34,-2.6551995833333333,14676,70.11453247070312,12
0.0008459126528049375,0.0016421665204688907,19467,11.42419719696045,566,1223.0,-132.17530822753906,34,-2.3073471249999997,19568,40.28178787231445,16
0.0008459126528049375,0.0013404039200395346,24359,5.434996604919434,711,1223.0,-129.6326141357422,34,-2.1391968500000003,24460,-28.911855697631836,20
0.0008459126528049375,0.0012057471321895719,29251,4.7260847091674805,128,1223.0,-126.15332794189453,33,-2.0462565,29352,13.39938735961914,24
0.0008459126528049375,0.0008283024071715772,34143,6.06495475769043,273,1223.0,-112.33125305175781,33,-2.0078500000000004,34244,-30.5031681060791,28
0.0008459126528049375,0.0008640695014037192,39035,7.742153167724609,417,1223.0,-100.8582534790039,33,-1.94285559375,39136,-56.36192321777344,32
0.0008459126528049375,0.0014887675642967224,43927,10.314558029174805,562,1223.0,-80.62996673583984,33,-1.867894138888889,44028,23.313457489013672,36
0.0008459126528049375,0.0004033363948110491,48819,3.5899438858032227,719,1223.0,-72.60369873046875,33,-1.84562105,48920,-23.717966079711914,40
0.0008459126528049375,0.0005231573595665395,53711,2.6500918865203857,118,1223.0,-69.3743667602539,32,-1.8296030227272728,53812,-0.954840898513794,44
0.0008459126528049375,0.0005979674751870334,58603,43.071807861328125,270,1223.0,-64.43548583984375,32,-1.8144684791666668,58704,34.418701171875,48
0.0008459126528049375,0.0005933231441304088,63495,1.8633785247802734,422,1223.0,-56.11669158935547,32,-1.7974794615384617,63596,18.520477294921875,52
0.0008459126528049375,0.001235472853295505,68387,10.661149978637695,590,1223.0,-37.90715789794922,31,-1.7658162142857141,68488,-38.56698226928711,56
0.0008459126528049375,0.0013837477890774608,73279,2.7068374156951904,767,1223.0,-34.27305221557617,30,-1.7267772999999997,73380,-73.7167739868164,60
0.0008459126528049375,0.0008913237834349275,78171,6.498252868652344,103,1223.0,-22.033857345581055,31,-1.696996359375,78272,16.264408111572266,64
0.0008459126528049375,0.00043539004400372505,83063,1.9683066606521606,291,1223.0,-20.577083587646484,27,-1.6755522058823529,83164,33.135868072509766,68
0.0008459126528049375,0.0006851227954030037,87955,1.6492905616760254,487,1223.0,-18.659557342529297,26,-1.653531986111111,88056,-39.26668167114258,72
0.0008459126528049375,0.00048073980724439025,92847,2.5307188034057617,682,1223.0,-14.234528541564941,26,-1.631709907894737,92948,-40.64501953125,76
