rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/critic_loss
1257.0,0.01768689788877964,-122.80308532714844,-5.330141749999999,35,4927,5028,4,0.0008459126528049375,143,-164.79287719726562,58.25675964355469
1257.0,0.001046529272571206,-131.01409912109375,-4.267259,34,9955,10056,8,0.0008459126528049375,291,-5.682170867919922,1.7763357162475586
1257.0,0.0007427881937474012,-134.1483917236328,-3.51627625,34,14983,15084,12,0.0008459126528049375,441,-21.798402786254883,58.279052734375
1257.0,0.0009603927028365433,-141.22317504882812,-3.1459727500000003,33,20011,20112,16,0.0008459126528049375,591,-1.667144775390625,2.945204734802246
1257.0,0.0007685621967539191,-139.35142517089844,-2.9215494000000004,33,25039,25140,20,0.0008459126528049375,4,7.649163722991943,2.5876870155334473
1257.0,0.0007542160456068814,-137.76348876953125,-2.7569210833333337,33,30067,30168,24,0.0008459126528049375,155,-39.185646057128906,5.274413108825684
1257.0,0.0008949906914494932,-131.8251495361328,-2.6085374642857144,33,35095,35196,28,0.0008459126528049375,306,46.91580581665039,3.8434367179870605
1257.0,0.0014869591686874628,-113.92882537841797,-2.49707034375,33,40123,40224,32,0.0008459126528049375,457,39.69899368286133,13.04532527923584
1257.0,0.0009420110727660358,-99.7081298828125,-2.464971222222222,33,45151,45252,36,0.0008459126528049375,608,54.24918746948242,3.9501969814300537
1257.0,0.0007060162606649101,-100.10860443115234,-2.455122225,33,50179,50280,40,0.0008459126528049375,8,50.21769714355469,29.085086822509766
1257.0,0.0011068329913541675,-101.05537414550781,-2.4041814090909095,33,55207,55308,44,0.0008459126528049375,160,-36.043060302734375,7.065512180328369
1257.0,0.00044924570829607546,-100.03289031982422,-2.3664396875,33,60235,60336,48,0.0008459126528049375,312,-59.55148696899414,2.0329782962799072
1257.0,0.0009705974953249097,-82.589599609375,-2.3264623653846153,32,65263,65364,52,0.0008459126528049375,466,-2.8717057704925537,2.4521985054016113
1257.0,0.0008208315121009946,-75.27781677246094,-2.283649767857143,32,70291,70392,56,0.0008459126528049375,621,-53.054080963134766,5.1195831298828125
1257.0,0.0005388034041970968,-63.81946563720703,-2.269579233333333,31,75319,75420,60,0.0008459126528049375,13,-34.56304168701172,7.1033525466918945
1257.0,0.0008018915541470051,-54.927268981933594,-2.2438510156250002,30,80347,80448,64,0.0008459126528049375,181,138.1216583251953,3.799386501312256
1257.0,0.0006580149056389928,-47.77363204956055,-2.2472733088235297,29,85375,85476,68,0.0008459126528049375,350,-38.10893630981445,2.5464930534362793
1257.0,0.0007426458760164678,-42.652137756347656,-2.238674958333333,29,90403,90504,72,0.0008459126528049375,519,1.0545580387115479,0.8046349287033081
1257.0,0.0005866654682904482,-40.31650161743164,-2.2307350394736845,29,95431,95532,76,0.0008459126528049375,687,-9.103414535522461,0.3368150591850281
