rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/critic_loss
1257.0,0.01778997853398323,-121.617431640625,-5.18507075,36,4927,5028,4,0.0008459126528049375,136,-134.8979949951172,5.5478715896606445
1257.0,0.0015602150233462453,-130.85076904296875,-4.066674375,36,9955,10056,8,0.0008459126528049375,275,-22.406646728515625,1.199680209159851
1257.0,0.0010807716753333807,-134.43350219726562,-3.459094166666667,36,14983,15084,12,0.0008459126528049375,413,55.9207649230957,3.485257625579834
1257.0,0.0014169712085276842,-136.80233764648438,-3.129435375,36,20011,20112,16,0.0008459126528049375,554,44.84728240966797,112.08122253417969
1257.0,0.0005765868700109422,-142.81292724609375,-2.8877655,36,25039,25140,20,0.0008459126528049375,3,55.41319274902344,5.317598342895508
1257.0,0.000617740850429982,-146.1536407470703,-2.7501325,35,30067,30168,24,0.0008459126528049375,146,66.01580810546875,3.961775064468384
1257.0,0.0009597613825462759,-143.2981414794922,-2.6348398928571433,35,35095,35196,28,0.0008459126528049375,290,86.48561096191406,3.7223753929138184
1257.0,0.0011840123916044831,-137.7440185546875,-2.551754875,35,40123,40224,32,0.0008459126528049375,434,73.29409790039062,11.968639373779297
1257.0,0.0005585956969298422,-128.55384826660156,-2.499316027777778,34,45151,45252,36,0.0008459126528049375,581,-72.23316955566406,6.684257984161377
1257.0,0.000489685102365911,-124.05026245117188,-2.4734996249999996,35,50179,50280,40,0.0008459126528049375,7,-1.2790446281433105,3.632920980453491
1257.0,0.0012539292220026255,-116.58248138427734,-2.4257648181818183,34,55207,55308,44,0.0008459126528049375,153,-48.63313674926758,4.35084342956543
1257.0,0.0013078590855002403,-114.35887145996094,-2.3697491250000002,34,60235,60336,48,0.0008459126528049375,299,41.498233795166016,3.3268046379089355
1257.0,0.0007265786989592016,-112.84232330322266,-2.340972230769231,34,65263,65364,52,0.0008459126528049375,445,10.058852195739746,34.68403625488281
1257.0,0.0011897669173777103,-113.9229736328125,-2.3185034642857145,34,70291,70392,56,0.0008459126528049375,591,64.64486694335938,4.645188808441162
1257.0,0.0032749795354902744,-98.11237335205078,-2.286891483333333,32,75319,75420,60,0.0008459126528049375,12,-33.965946197509766,43.06752014160156
1257.0,0.0028673261404037476,-98.65911865234375,-2.261818734375,31,80347,80448,64,0.0008459126528049375,170,-43.48907470703125,2.0058822631835938
1257.0,0.0009203833760693669,-98.23397064208984,-2.2414293235294114,31,85375,85476,68,0.0008459126528049375,330,11.088191032409668,1.8869134187698364
1257.0,0.0018637932371348143,-90.67073822021484,-2.220671041666667,31,90403,90504,72,0.0008459126528049375,491,52.442161560058594,9.821706771850586
1257.0,0.001305715530179441,-80.92333984375,-2.2174468289473688,31,95431,95532,76,0.0008459126528049375,651,241.10133361816406,20.905773162841797
