rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/critic_loss
1257.0,0.017411798238754272,-124.25653076171875,-4.98524775,29,4927,5028,4,0.0008459126528049375,171,-175.03018188476562,1.583691120147705
1257.0,0.0013267785543575883,-132.0761260986328,-3.99022025,29,9955,10056,8,0.0008459126528049375,345,37.77728271484375,1.0411204099655151
1257.0,0.0008641408057883382,-138.30758666992188,-3.4184013333333336,29,14983,15084,12,0.0008459126528049375,518,111.02137756347656,1.7585463523864746
1257.0,0.0008472013869322836,-141.19017028808594,-3.1853185,29,20011,20112,16,0.0008459126528049375,689,32.712059020996094,3.9371769428253174
1257.0,0.0003462049353402108,-139.25523376464844,-3.0021097500000002,29,25039,25140,20,0.0008459126528049375,4,-11.338212013244629,6.080602645874023
1257.0,0.0006271099555306137,-144.9797821044922,-2.8146720416666664,29,30067,30168,24,0.0008459126528049375,175,60.40656661987305,3.878725051879883
1257.0,0.000537646992597729,-140.150390625,-2.7267341071428572,29,35095,35196,28,0.0008459126528049375,346,64.66352081298828,6.7842841148376465
1257.0,0.0007230333867482841,-138.1850128173828,-2.6453350625,29,40123,40224,32,0.0008459126528049375,518,-15.591118812561035,11.629121780395508
1257.0,0.0009711215388961136,-135.44671630859375,-2.5802371666666666,29,45151,45252,36,0.0008459126528049375,690,126.1171646118164,6.8453474044799805
1257.0,0.0007183802081272006,-133.62782287597656,-2.5395311,28,50179,50280,40,0.0008459126528049375,9,21.066492080688477,3.0930697917938232
1257.0,0.0007793311960995197,-129.19772338867188,-2.5087856136363635,28,55207,55308,44,0.0008459126528049375,187,44.69901657104492,8.40231990814209
1257.0,0.0008626948692835867,-119.93622589111328,-2.4906884791666664,28,60235,60336,48,0.0008459126528049375,365,29.25078010559082,4.7640228271484375
1257.0,0.0007406753138639033,-106.57732391357422,-2.4402982499999997,28,65263,65364,52,0.0008459126528049375,544,-25.199865341186523,5.976585388183594
1257.0,0.0014282051706686616,-84.81985473632812,-2.4265445892857147,28,70291,70392,56,0.0008459126528049375,724,-26.024311065673828,17.941307067871094
1257.0,0.0005933035863563418,-87.16401672363281,-2.4089436833333338,27,75319,75420,60,0.0008459126528049375,15,32.189491271972656,2.0467662811279297
1257.0,0.0008344995439983904,-88.61215209960938,-2.3802466875,26,80347,80448,64,0.0008459126528049375,207,46.935264587402344,0.7760246396064758
1257.0,0.0009869395289570093,-82.76439666748047,-2.3672992647058826,26,85375,85476,68,0.0008459126528049375,402,29.967662811279297,1.2496384382247925
1257.0,0.0008561103022657335,-77.99557495117188,-2.3551347361111112,25,90403,90504,72,0.0008459126528049375,596,47.520606994628906,1.5758280754089355
1257.0,0.0009742364636622369,-75.9756088256836,-2.360166868421053,25,95431,95532,76,0.0008459126528049375,789,4.283626079559326,0.797417402267456
