time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,4280,0,512,,,,,,,,,,,,,
2,2518,0,1024,-0.030786286530201323,0.11963335624750471,16,0.0004092704424510632,1.000301480293274,0.2,-0.08542048931121826,-43.995853304862976,0.017317455,-0.04325511306524277,0.2550048828125,,
3,2240,0,1536,-0.02634243422653526,0.005470353928103577,32,0.0004092704424510632,1.002459168434143,0.2,0.04012787342071533,-44.02101647853851,0.023411669,-0.029407203197479248,0.273681640625,-2.869915,1258.0
4,2143,0,2048,-0.030461891554296017,0.006815269458456896,48,0.0004092704424510632,1.0056334733963013,0.2,-0.0003839731216430664,-44.10692536830902,0.01652798,-0.040725063532590866,0.2794189453125,-2.869915,1258.0
5,2066,1,2560,-0.026506776339374483,0.007323358338908292,64,0.0004092704424510632,1.0069584846496582,0.2,0.01511836051940918,-44.182947874069214,0.02027121,-0.037379905581474304,0.2713623046875,-2.863397,1258.0
6,2023,1,3072,-0.02652820645016618,0.01319868688005954,80,0.0004092704424510632,1.0079716444015503,0.2,0.0019453763961791992,-44.21203696727753,0.018356815,-0.038067832589149475,0.256103515625,-2.863397,1258.0
7,1978,1,3584,-0.034646036045160145,0.0055738154260325246,96,0.0004092704424510632,1.0092352628707886,0.2,0.004834115505218506,-44.24320340156555,0.023426574,-0.04521049186587334,0.3118896484375,-2.863397,1258.0
8,1951,2,4096,-0.029088462091749534,0.002419940818072064,112,0.0004092704424510632,1.0106369256973267,0.2,0.032997190952301025,-44.28960371017456,0.018354366,-0.02551233395934105,0.27978515625,-2.8269873333333333,1258.0
9,1932,2,4608,-0.022839675322757103,0.027275264146737754,128,0.0004092704424510632,1.0111305713653564,0.2,0.003022909164428711,-44.313506960868835,0.018788472,-0.02566414512693882,0.2646484375,-2.8269873333333333,1258.0
10,1922,2,5120,-0.024358271912205964,0.005978952074656263,144,0.0004092704424510632,1.0114327669143677,0.2,0.03932923078536987,-44.32665526866913,0.02021129,-0.03026641346514225,0.2413330078125,-2.833643,1258.0
11,1919,2,5632,-0.02377193979191361,0.037114778999239206,160,0.0004092704424510632,1.0108304023742676,0.2,0.0032916665077209473,-44.32077729701996,0.018724618,-0.02467302978038788,0.254638671875,-2.833643,1258.0
12,1912,3,6144,-0.027621861125226133,0.003938001733331475,176,0.0004092704424510632,1.0108189582824707,0.2,0.13069581985473633,-44.30878710746765,0.024594616,-0.038229942321777344,0.2606201171875,-2.833643,1258.0
13,1904,3,6656,-0.027911064884392545,0.002161408032407053,192,0.0004092704424510632,1.0090094804763794,0.2,0.08761811256408691,-44.28437781333923,0.02178064,-0.040253035724163055,0.2618408203125,-2.758898,1258.0
14,1894,3,7168,-0.028060836368240416,0.047898873686790466,208,0.0004092704424510632,1.0056912899017334,0.2,0.008044064044952393,-44.20337247848511,0.022207435,-0.01725125126540661,0.2984619140625,-2.758898,1258.0
15,1888,4,7680,-0.02434207222540863,0.003281649074779125,224,0.0004092704424510632,1.0038883686065674,0.2,0.4708271622657776,-44.11589860916138,0.020444611,-0.04190649092197418,0.241455078125,-2.7633558333333332,1258.0
16,1885,4,8192,-0.025238975969841704,0.05646127462387085,240,0.0004092704424510632,1.0028908252716064,0.2,0.029398798942565918,-44.08090782165527,0.02351727,-0.008186887949705124,0.2542724609375,-2.7633558333333332,1258.0
17,1885,4,8704,-0.030119952585664578,0.0025902513443725184,256,0.0004092704424510632,1.0020288228988647,0.2,0.7326775789260864,-44.046361565589905,0.023994092,-0.03617294505238533,0.2574462890625,-2.7633558333333332,1258.0
18,1884,4,9216,-0.02829799884057138,0.003306411290395772,272,0.0004092704424510632,1.0035649538040161,0.2,0.16190767288208008,-44.047359585762024,0.016644478,-0.03875121846795082,0.243408203125,-2.767396,1258.0
19,1879,5,9728,-0.0277636843820801,0.07248694344889373,288,0.0004092704424510632,1.0052740573883057,0.2,0.010620951652526855,-44.10395061969757,0.024957163,0.002858821302652359,0.2646484375,-2.767396,1258.0
20,1874,5,10240,-0.026197409999440424,0.004838152981392341,304,0.0004092704424510632,1.0060207843780518,0.2,0.5411844253540039,-44.14652979373932,0.020625083,-0.0417308434844017,0.2625732421875,-2.7661613750000003,1258.0
21,1869,5,10752,-0.027848222001921386,0.07453442143741995,320,0.0004092704424510632,1.0078083276748657,0.2,0.06967484951019287,-44.17303431034088,0.017021328,0.00025615841150283813,0.245849609375,-2.7661613750000003,1258.0
22,1866,6,11264,-0.025652268785052,0.005682949267793447,336,0.0004092704424510632,1.0072871446609497,0.2,0.6695935726165771,-44.21081006526947,0.018942557,-0.04431711509823799,0.2354736328125,-2.7661613750000003,1258.0
23,1864,6,11776,-0.02579809515736997,0.002601276119094109,352,0.0004092704424510632,1.006948709487915,0.2,0.13009202480316162,-44.18262052536011,0.016404957,-0.028825365006923676,0.2137451171875,-2.760858888888889,1258.0
24,1862,6,12288,-0.02299561222025659,0.08333083556499332,368,0.0004092704424510632,1.006169080734253,0.2,0.02430891990661621,-44.17468738555908,0.019932132,0.015411820262670517,0.18359375,-2.760858888888889,1258.0
25,1859,6,12800,-0.02412208725581877,0.0033985619811573997,384,0.0004092704424510632,1.0053313970565796,0.2,0.3249046802520752,-44.13765847682953,0.019325012,-0.035760361701250076,0.2236328125,-2.7618773,1258.0
26,1859,7,13312,-0.023402640566928312,0.08795716403983533,400,0.0004092704424510632,1.006026268005371,0.2,0.08425545692443848,-44.13564217090607,0.018215586,0.012624114751815796,0.208740234375,-2.7618773,1258.0
27,1854,7,13824,-0.027344561065547168,0.0045694807267864235,416,0.0004092704424510632,1.0071382522583008,0.2,0.6002994179725647,-44.16381847858429,0.02154876,-0.028242584317922592,0.2410888671875,-2.7618773,1258.0
28,1848,7,14336,-0.021445189500809647,0.004115067022212315,432,0.0004092704424510632,1.0103518962860107,0.2,0.30545276403427124,-44.22732865810394,0.020203412,-0.024131370708346367,0.1807861328125,-2.7548096363636363,1258.0
29,1848,8,14848,-0.023474410292692482,0.052535269351210445,448,0.0004092704424510632,1.0092695951461792,0.2,0.049523234367370605,-44.27744174003601,0.032170556,-0.008825398981571198,0.279541015625,-2.7548096363636363,1258.0
30,1851,8,15360,-0.022272860165685415,0.004670485053793527,464,0.0004092704424510632,1.0098704099655151,0.2,0.4427677392959595,-44.25161170959473,0.018523043,-0.014958517625927925,0.19287109375,-2.7519335,1258.0
31,1851,8,15872,-0.020623030388378538,0.11389382765628397,480,0.0004092704424510632,1.0085022449493408,0.2,0.12235748767852783,-44.25186824798584,0.017098334,0.013562221080064774,0.1959228515625,-2.7519335,1258.0
32,1849,8,16384,-0.02074705074483063,0.003946977398300078,496,0.0004092704424510632,1.0083121061325073,0.2,0.7274482250213623,-44.21549916267395,0.017083641,-0.03529592975974083,0.1959228515625,-2.7416723846153843,1258.0
33,1847,9,16896,-0.025959875260014087,0.10841592168435454,512,0.0004092704424510632,1.007428526878357,0.2,0.14097869396209717,-44.20594668388367,0.020592129,0.009250663220882416,0.240966796875,-2.7416723846153843,1258.0
34,1843,9,17408,-0.026173478821874596,0.010112836534972303,528,0.0004092704424510632,1.0047541856765747,0.2,-0.3783382177352905,-44.15400195121765,0.015811883,-0.03638175502419472,0.2254638671875,-2.7416723846153843,1258.0
35,1840,9,17920,-0.021176470778300427,0.0025864009039651137,544,0.0004092704424510632,1.0033347606658936,0.2,0.01369774341583252,-44.0787216424942,0.020814557,-0.03571828082203865,0.2069091796875,-2.738515714285714,1258.0
36,1837,10,18432,-0.017823172820499167,0.1270028450526297,560,0.0004092704424510632,1.002253770828247,0.2,0.04780173301696777,-44.0523145198822,0.01346484,0.02571338601410389,0.1649169921875,-2.738515714285714,1258.0
37,1834,10,18944,-0.020753874559886754,0.0051943397702416405,576,0.0004092704424510632,1.0014870166778564,0.2,0.5796420574188232,-44.02181649208069,0.018258743,-0.015418458729982376,0.1824951171875,-2.7404342666666666,1258.0
38,1830,10,19456,-0.0250560894201044,0.1218637868296355,592,0.0004092704424510632,1.0007320642471313,0.2,0.16598385572433472,-43.99561548233032,0.020844365,0.03782088682055473,0.242919921875,-2.7404342666666666,1258.0
39,1826,10,19968,-0.021790222177514806,0.015944514248985797,608,0.0004092704424510632,0.9978844523429871,0.2,0.5242735743522644,-43.95415997505188,0.023013882,-0.02301829867064953,0.18896484375,-2.7404342666666666,1258.0
40,1823,11,20480,-0.02225796555285342,0.0031724640030006412,624,0.0004092704424510632,0.9987621903419495,0.2,0.1820887327194214,-43.896313190460205,0.018336397,-0.028338786214590073,0.2025146484375,-2.7559085000000003,1258.0
41,1821,11,20992,-0.023224242904689163,0.14366941363550723,640,0.0004092704424510632,0.9995600581169128,0.2,0.09796017408370972,-43.94020867347717,0.018896103,0.03994199261069298,0.2142333984375,-2.7559085000000003,1258.0
42,1820,11,21504,-0.025604177615605295,0.017688441497739404,656,0.0004092704424510632,1.0001791715621948,0.2,0.09764820337295532,-43.95504426956177,0.02211583,-0.030311226844787598,0.2415771484375,-2.7529186470588236,1258.0
43,1820,12,22016,-0.02565977576887235,0.1509348382242024,672,0.0004092704424510632,1.0002516508102417,0.2,0.12203711271286011,-43.9690808057785,0.021887247,0.03022269904613495,0.2528076171875,-2.7529186470588236,1258.0
44,1820,12,22528,-0.026868353379541077,0.00906733340525534,688,0.0004092704424510632,0.9982703328132629,0.2,0.4857650399208069,-43.945537090301514,0.019035237,-0.030071301385760307,0.2393798828125,-2.7529186470588236,1258.0
45,1821,12,23040,-0.02955863233364653,0.0049313677081954665,704,0.0004092704424510632,0.9992596507072449,0.2,-0.07684755325317383,-43.912558913230896,0.02270845,-0.05615197867155075,0.2823486328125,-2.7403602222222228,1258.0
46,1822,12,23552,-0.02217601763550192,0.15017717401497066,720,0.0004092704424510632,0.9995609521865845,0.2,0.1348744034767151,-43.94921922683716,0.017031372,0.04224938526749611,0.197265625,-2.7403602222222228,1258.0
47,1821,13,24064,-0.022082442781538703,0.01105848333099857,736,0.0004092704424510632,0.9986253380775452,0.2,-0.03827798366546631,-43.934136271476746,0.016025588,-0.024571489542722702,0.1990966796875,-2.7358197894736844,1258.0
48,1822,13,24576,-0.023847664357163012,0.15278643905185163,752,0.0004092704424510632,0.9971535205841064,0.2,0.06173735857009888,-43.894177317619324,0.019672833,0.023401256650686264,0.2271728515625,-2.7358197894736844,1258.0
49,1821,13,25088,-0.025258877343731,0.015714044508058578,768,0.0004092704424510632,0.9979413151741028,0.2,0.3650606870651245,-43.8729749917984,0.021131076,-0.03824255242943764,0.22705078125,-2.7358197894736844,1258.0
50,1821,14,25600,-0.03072376415366307,0.0030965261976234615,784,0.0004092704424510632,0.9971503615379333,0.2,0.006458282470703125,-43.88523495197296,0.021923535,-0.05477166548371315,0.265380859375,-2.7333504000000004,1258.0
51,1821,14,26112,-0.022332048654789105,0.18790155882015824,800,0.0004092704424510632,0.9974582195281982,0.2,0.06295675039291382,-43.86389231681824,0.021630492,0.050597988069057465,0.1954345703125,-2.7333504000000004,1258.0
52,1822,14,26624,-0.023279353728867136,0.01713839892181568,816,0.0004092704424510632,0.9978932738304138,0.2,0.046430885791778564,-43.88210725784302,0.016536055,-0.028072059154510498,0.1944580078125,-2.7299318571428577,1258.0
53,1821,14,27136,-0.022043351928004995,0.19006758043542504,832,0.0004092704424510632,0.9969111084938049,0.2,0.11218273639678955,-43.873027086257935,0.021900855,0.06768404692411423,0.2239990234375,-2.7299318571428577,1258.0
54,1820,15,27648,-0.023102614271920174,0.018745594919892028,848,0.0004092704424510632,0.9981187582015991,0.2,0.3325468897819519,-43.865718483924866,0.016613312,-0.024743465706706047,0.1763916015625,-2.7299318571428577,1258.0
55,1817,15,28160,-0.02373315604927484,0.0057228434379794635,864,0.0004092704424510632,0.9976665377616882,0.2,0.3326364755630493,-43.89146816730499,0.019570954,-0.02031719498336315,0.23388671875,-2.728165772727273,1258.0
56,1817,15,28672,-0.029209549131337553,0.16227536089718342,880,0.0004092704424510632,0.9970399737358093,0.2,0.07698291540145874,-43.85908818244934,0.041368697,0.03364529833197594,0.302978515625,-2.728165772727273,1258.0
57,1817,16,29184,-0.02563902708061505,0.01780006429180503,896,0.0004092704424510632,0.9963202476501465,0.2,-0.09921228885650635,-43.84209430217743,0.019584538,-0.02549704536795616,0.2301025390625,-2.7308659565217392,1258.0
58,1818,16,29696,-0.02968258035252802,0.2091518146917224,912,0.0004092704424510632,0.9949688911437988,0.2,0.2810128331184387,-43.80829441547394,0.025032315,0.03673827648162842,0.25048828125,-2.7308659565217392,1258.0
59,1817,16,30208,-0.031436288118129596,0.01932647463399917,928,0.0004092704424510632,0.995600163936615,0.2,0.27676546573638916,-43.784698843955994,0.025764279,-0.03668208420276642,0.2813720703125,-2.7306974166666667,1258.0
60,1817,16,30720,-0.02432498207781464,0.2046189522370696,944,0.0004092704424510632,0.9966797828674316,0.2,0.23497146368026733,-43.82400166988373,0.01912212,0.06003484129905701,0.216064453125,-2.7306974166666667,1258.0
61,1814,17,31232,-0.021996241208398715,0.0036979956585128093,960,0.0004092704424510632,0.9978413581848145,0.2,-4.256940841674805,-43.84948134422302,0.014429639,-0.033883240073919296,0.198486328125,-2.7306974166666667,1258.0
62,1815,17,31744,-0.0263632494607009,0.003632072279287968,976,0.0004092704424510632,0.999435305595398,0.2,-0.18628108501434326,-43.8931759595871,0.029324563,-0.03652067855000496,0.315673828125,-2.7274562400000004,1258.0
63,1815,17,32256,-0.027166443673195317,0.21992036886513233,992,0.0004092704424510632,0.9987776875495911,0.2,0.01526564359664917,-43.91546177864075,0.030566858,0.03388863801956177,0.2913818359375,-2.7274562400000004,1258.0
64,1817,18,32768,-0.029369623691309243,0.01199339734739624,1008,0.0004092704424510632,0.9986050128936768,0.2,0.38798779249191284,-43.89028799533844,0.02153609,-0.031328774988651276,0.2579345703125,-2.7314293846153848,1258.0
65,1816,18,33280,-0.02319041281589307,0.20629298174753785,1024,0.0004092704424510632,0.9977898001670837,0.2,0.14658665657043457,-43.8819454908371,0.023870539,0.07611015439033508,0.2498779296875,-2.7314293846153848,1258.0
66,1817,18,33792,-0.02633679678547196,0.016847160557517782,1040,0.0004092704424510632,0.9965364336967468,0.2,0.529403030872345,-43.84870398044586,0.019657567,-0.03994282707571983,0.2388916015625,-2.7314293846153848,1258.0
67,1817,18,34304,-0.024000636403798126,0.0045610490124090575,1056,0.0004092704424510632,0.9955694079399109,0.2,-0.05961012840270996,-43.80719482898712,0.015485723,-0.03469947353005409,0.2293701171875,-2.731760962962963,1258.0
68,1818,19,34816,-0.02015623278566636,0.19387739314697683,1072,0.0004092704424510632,0.9958847761154175,0.2,0.10116314888000488,-43.79392671585083,0.018900426,0.06756836920976639,0.179931640625,-2.731760962962963,1258.0
69,1814,19,35328,-0.028141452028648928,0.016545110440347344,1088,0.0004092704424510632,0.9950641989707947,0.2,0.04473459720611572,-43.79352569580078,0.018069718,-0.03312719613313675,0.2149658203125,-2.7344422500000003,1258.0
70,1808,19,35840,-0.02478904292365769,0.14599123410880566,1104,0.0004092704424510632,0.9969461560249329,0.2,0.14760184288024902,-43.799798130989075,0.01794664,0.021089494228363037,0.2252197265625,-2.7344422500000003,1258.0
71,1806,20,36352,-0.027414955344283953,0.019092812755843624,1120,0.0004092704424510632,0.9971325993537903,0.2,0.47833675146102905,-43.84126329421997,0.023419326,-0.030623069033026695,0.262451171875,-2.7344422500000003,1258.0
72,1804,20,36864,-0.024229517148341984,0.004110215311811771,1136,0.0004092704424510632,0.9974010586738586,0.2,0.021841347217559814,-43.84149169921875,0.020068008,-0.027316033840179443,0.2294921875,-2.7348842413793104,1258.0
73,1800,20,37376,-0.021235937121673487,0.14437071606516838,1152,0.0004092704424510632,0.9975485801696777,0.2,0.14044475555419922,-43.848052978515625,0.018447256,0.03514488786458969,0.200439453125,-2.7348842413793104,1258.0
74,1796,21,37888,-0.02771436152397655,0.027269341808278114,1168,0.0004092704424510632,0.997451663017273,0.2,-0.027334928512573242,-43.84773063659668,0.025103088,-0.0444658100605011,0.2054443359375,-2.7342760333333334,1258.0
75,1792,21,38400,-0.02053384587634355,0.16771819069981575,1184,0.0004092704424510632,0.9962436556816101,0.2,0.32861435413360596,-43.83113479614258,0.021166895,0.03777085244655609,0.2109375,-2.7342760333333334,1258.0
76,1790,21,38912,-0.024578597804065794,0.020515341457212344,1200,0.0004092704424510632,0.9938029050827026,0.2,0.1738641858100891,-43.77447855472565,0.017237619,-0.02589191123843193,0.2073974609375,-2.7342760333333334,1258.0
77,1788,22,39424,-0.023308670351980254,0.004060563653183635,1216,0.0004092704424510632,0.9929667711257935,0.2,-0.212762713432312,-43.71070349216461,0.01934367,-0.021637216210365295,0.2440185546875,-2.7364460000000004,1258.0
78,1786,22,39936,-0.025281904148869216,0.16247784649021924,1232,0.0004092704424510632,0.9919760823249817,0.2,0.046971023082733154,-43.69288623332977,0.019999385,0.04332239180803299,0.26513671875,-2.7364460000000004,1258.0
79,1784,22,40448,-0.029165374959120527,0.02059470841777511,1248,0.0004092704424510632,0.9911088347434998,0.2,-0.17529594898223877,-43.65669250488281,0.022773452,-0.035412516444921494,0.2392578125,-2.73657375,1258.0
