train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,time/fps,train/critic_loss
4931,1258.0,-4.1665185,5032,-164.6914520263672,0.017430497333407402,147,-122.7381820678711,0.0008459126528049375,4,34,1.6792683601379395
9963,1258.0,-3.1408057499999997,10064,-30.088777542114258,0.0010725538013502955,310,-128.7008056640625,0.0008459126528049375,8,32,5.859519004821777
14995,1258.0,-2.553458083333333,15096,7.454529285430908,0.0013621291145682335,473,-129.60968017578125,0.0008459126528049375,12,31,4.353554725646973
20027,1258.0,-2.2479550625,20128,-35.83356475830078,0.001284728990867734,629,-130.09877014160156,0.0008459126528049375,16,31,3.3218994140625
25059,1258.0,-2.0665274,25160,49.66879653930664,0.0005961678689345717,4,-128.17552185058594,0.0008459126528049375,20,32,1.1361863613128662
30091,1258.0,-1.9077524583333334,30192,44.09977722167969,0.0006395038799382746,169,-123.93182373046875,0.0008459126528049375,24,30,2.4778146743774414
35123,1258.0,-1.8181602499999998,35224,2.134708881378174,0.0006522512994706631,329,-120.7270736694336,0.0008459126528049375,28,30,2.780644416809082
40155,1258.0,-1.743961625,40256,7.953821659088135,0.0007018651231192052,486,-117.03386688232422,0.0008459126528049375,32,31,5.486627578735352
45187,1258.0,-1.7062131111111112,45288,-31.18010139465332,0.0010077526094391942,643,-104.92630767822266,0.0008459126528049375,36,31,2.8509881496429443
50219,1258.0,-1.673740725,50320,-29.76343536376953,0.0006593714351765811,10,-103.39989471435547,0.0008459126528049375,40,31,5.216329097747803
55251,1258.0,-1.628732681818182,55352,-24.713111877441406,0.0011817713966593146,155,-87.14598083496094,0.0008459126528049375,44,34,5.045482158660889
60283,1258.0,-1.5822725208333335,60384,-4.708318710327148,0.0021819917019456625,324,-80.29823303222656,0.0008459126528049375,48,32,8.361065864562988
65315,1258.0,-1.5528759230769231,65416,10.218453407287598,0.0012228458654135466,487,-79.05926513671875,0.0008459126528049375,52,31,14.104472160339355
70347,1258.0,-1.5237339464285715,70448,30.34221839904785,0.0010441684862598777,650,-66.34514617919922,0.0008459126528049375,56,31,18.89019012451172
75379,1258.0,-1.4985607,75480,-69.02738189697266,0.001408737269230187,17,-62.906005859375,0.0008459126528049375,60,27,5.931072235107422
80411,1258.0,-1.471243828125,80512,-35.022178649902344,0.0009707104181870818,186,-41.227691650390625,0.0008459126528049375,64,29,18.677282333374023
85443,1258.0,-1.4696352352941178,85544,-0.14756059646606445,0.0010597796645015478,357,-35.85685729980469,0.0008459126528049375,68,29,11.599623680114746
90475,1258.0,-1.4592679305555558,90576,-0.9267772436141968,0.0010468856198713183,511,-14.924269676208496,0.0008459126528049375,72,30,19.620750427246094
95507,1258.0,-1.447377355263158,95608,-60.61749267578125,0.0011303286300972104,681,-3.686899423599243,0.0008459126528049375,76,30,10.738691329956055
