train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,time/fps,train/critic_loss
4931,1258.0,-4.487152,5032,-169.257568359375,0.01746293529868126,177,-123.2594223022461,0.0008459126528049375,4,28,1.1624252796173096
9963,1258.0,-3.369279875,10064,-61.90480422973633,0.0010168665321543813,365,-129.85780334472656,0.0008459126528049375,8,27,5.7676310539245605
14995,1258.0,-2.6987805000000002,15096,-43.6433219909668,0.0011300937039777637,548,-127.86207580566406,0.0008459126528049375,12,27,3.5552825927734375
20027,1258.0,-2.31249525,20128,52.279605865478516,0.0009909425862133503,736,-109.00558471679688,0.0008459126528049375,16,27,3.3859610557556152
25059,1258.0,-2.0887585,25160,19.170392990112305,0.0006717005744576454,4,-109.11625671386719,0.0008459126528049375,20,32,2.64357590675354
30091,1258.0,-1.9325475416666666,30192,27.820392608642578,0.0006366511806845665,162,-107.10260009765625,0.0008459126528049375,24,31,2.637483596801758
35123,1258.0,-1.8186371785714286,35224,-43.641483306884766,0.0005548343760892749,326,-104.43220520019531,0.0008459126528049375,28,31,7.594057083129883
40155,1258.0,-1.74170871875,40256,-4.0261454582214355,0.0011722594499588013,488,-101.23103332519531,0.0008459126528049375,32,31,4.35466194152832
45187,1258.0,-1.68703675,45288,54.25736999511719,0.0010802620090544224,645,-91.96033477783203,0.0008459126528049375,36,31,4.83087682723999
50219,1258.0,-1.6553817,50320,-7.463289260864258,0.0011390282306820154,10,-83.58053588867188,0.0008459126528049375,40,29,13.804956436157227
55251,1258.0,-1.6221222727272726,55352,-8.899642944335938,0.0013300413265824318,166,-78.41053771972656,0.0008459126528049375,44,32,23.669628143310547
60283,1258.0,-1.6207593541666665,60384,-29.76058006286621,0.0007126384880393744,323,-68.09873962402344,0.0008459126528049375,48,32,8.389060974121094
65315,1258.0,-1.5829494423076922,65416,-53.4427490234375,0.0013165764976292849,486,-60.839935302734375,0.0008459126528049375,52,31,11.618612289428711
70347,1258.0,-1.584725357142857,70448,-100.33770751953125,0.0010745205217972398,652,-52.27164077758789,0.0008459126528049375,56,31,27.33024024963379
75379,1258.0,-1.5833247166666664,75480,-68.71143341064453,0.0011273347772657871,17,-42.187923431396484,0.0008459126528049375,60,27,9.70035171508789
80411,1258.0,-1.5758704374999999,80512,-9.741997718811035,0.0007279481505975127,192,-26.438501358032227,0.0008459126528049375,64,28,6.638327598571777
85443,1258.0,-1.562059294117647,85544,17.360557556152344,0.0010483142687007785,361,-29.695817947387695,0.0008459126528049375,68,29,5.567988395690918
90475,1258.0,-1.5517412777777777,90576,-1.0995113849639893,0.0010939917992800474,525,-18.407188415527344,0.0008459126528049375,72,29,15.337370872497559
95507,1258.0,-1.540730894736842,95608,-38.93763732910156,0.0009881111327558756,681,-5.809411525726318,0.0008459126528049375,76,30,44.098934173583984
