train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,time/fps,train/critic_loss
4931,1258.0,-4.34727975,5032,-178.47720336914062,0.01717965118587017,163,-121.48060607910156,0.0008459126528049375,4,30,1.200691819190979
9963,1258.0,-3.413973875,10064,-63.80108642578125,0.0008632240351289511,324,-127.59307861328125,0.0008459126528049375,8,31,4.244817733764648
14995,1258.0,-2.7346059166666663,15096,-19.596933364868164,0.0008071440970525146,483,-126.00910949707031,0.0008459126528049375,12,31,4.828314781188965
20027,1258.0,-2.4328172500000003,20128,73.64644622802734,0.0006055033300071955,649,-121.55809783935547,0.0008459126528049375,16,30,3.096728801727295
25059,1258.0,-2.2367239000000003,25160,53.70866775512695,0.0009654083987697959,5,-107.57475280761719,0.0008459126528049375,20,31,3.3419227600097656
30091,1258.0,-2.1409251250000003,30192,-2.086826801300049,0.0007519318023696542,169,-102.78118133544922,0.0008459126528049375,24,30,3.941530704498291
35123,1258.0,-2.0405858214285715,35224,-31.804779052734375,0.0006992968264967203,326,-100.35529327392578,0.0008459126528049375,28,31,2.8071768283843994
40155,1258.0,-1.98915675,40256,3.1327037811279297,0.0004098937788512558,486,-96.75447082519531,0.0008459126528049375,32,31,1.6657471656799316
45187,1258.0,-1.9332291944444446,45288,26.157928466796875,0.0006058443686924875,645,-89.6495590209961,0.0008459126528049375,36,31,3.8267030715942383
50219,1258.0,-1.907566775,50320,84.12820434570312,0.0006040412117727101,9,-88.85462951660156,0.0008459126528049375,40,34,5.688913345336914
55251,1258.0,-1.862368090909091,55352,-88.59114074707031,0.0012160101905465126,170,-82.96248626708984,0.0008459126528049375,44,31,3.5261459350585938
60283,1258.0,-1.8474717083333332,60384,44.16935729980469,0.0008037941879592836,330,-80.16122436523438,0.0008459126528049375,48,31,2.589221715927124
65315,1258.0,-1.8220819807692306,65416,8.566171646118164,0.0006494030239991844,491,-73.16517639160156,0.0008459126528049375,52,31,2.3513355255126953
70347,1258.0,-1.8121035892857142,70448,-39.17361068725586,0.0003081047907471657,649,-70.39539337158203,0.0008459126528049375,56,31,1.668662190437317
75379,1258.0,-1.7939061,75480,-81.2160873413086,0.0007883139187470078,16,-63.86354446411133,0.0008459126528049375,60,29,4.23005485534668
80411,1258.0,-1.7687896093750002,80512,-75.68396759033203,0.0006259299116209149,189,-53.93162155151367,0.0008459126528049375,64,29,6.3887529373168945
85443,1258.0,-1.7519264411764706,85544,-91.15446472167969,0.00040545829688198864,362,-50.415687561035156,0.0008459126528049375,68,29,2.238637924194336
90475,1258.0,-1.7373276805555555,90576,-8.640501022338867,0.00047969355364330113,539,-42.681610107421875,0.0008459126528049375,72,28,2.652719497680664
95507,1258.0,-1.7274732763157896,95608,-8.246285438537598,0.0006723462720401585,715,-32.07014846801758,0.0008459126528049375,76,28,3.464387893676758
