train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,time/fps,train/critic_loss
4931,1258.0,-4.6941035,5032,-168.17251586914062,0.017386121675372124,124,-123.98490905761719,0.0008459126528049375,4,40,1.5531079769134521
9963,1258.0,-3.568514875,10064,-8.732344627380371,0.0009633473819121718,276,-130.4701690673828,0.0008459126528049375,8,36,4.52117919921875
14995,1258.0,-2.9478039999999996,15096,-36.41837692260742,0.0011893222108483315,416,-135.5930633544922,0.0008459126528049375,12,36,7.285761833190918
20027,1258.0,-2.6230888749999997,20128,14.13885498046875,0.0010644278954714537,557,-124.49214172363281,0.0008459126528049375,16,36,6.71000337600708
25059,1258.0,-2.3946166499999997,25160,22.50387191772461,0.0004963509854860604,4,-115.03621673583984,0.0008459126528049375,20,34,1.76137113571167
30091,1258.0,-2.1637967083333334,30192,69.57315063476562,0.0010613281046971679,153,-108.42195129394531,0.0008459126528049375,24,33,4.512938022613525
35123,1258.0,-2.0563513928571426,35224,-72.57083892822266,0.0004638647078536451,302,-109.3851318359375,0.0008459126528049375,28,33,2.5209293365478516
40155,1258.0,-1.98955490625,40256,61.36714553833008,0.00023074750788509846,452,-97.22201538085938,0.0008459126528049375,32,33,4.989213943481445
45187,1258.0,-1.9276349999999998,45288,-28.05344581604004,0.0005455733626149595,604,-98.72940063476562,0.0008459126528049375,36,33,4.9231953620910645
50219,1258.0,-1.86934715,50320,-58.78407287597656,0.0005452222540043294,9,-89.0938491821289,0.0008459126528049375,40,33,6.384819984436035
55251,1258.0,-1.8170925909090911,55352,-43.125465393066406,0.0011746627278625965,159,-83.09022521972656,0.0008459126528049375,44,33,3.0909628868103027
60283,1258.0,-1.772743875,60384,-81.0574951171875,0.0006848186603747308,311,-80.6585464477539,0.0008459126528049375,48,33,23.972782135009766
65315,1258.0,-1.7362162500000002,65416,-15.222987174987793,0.0007756135310046375,462,-69.69140625,0.0008459126528049375,52,33,3.584475517272949
70347,1258.0,-1.6995118571428571,70448,39.61247253417969,0.0007024687947705388,614,-69.9951171875,0.0008459126528049375,56,33,8.417890548706055
75379,1258.0,-1.6677630333333333,75480,7.740374565124512,0.001453824806958437,15,-61.829750061035156,0.0008459126528049375,60,30,3.0025649070739746
80411,1258.0,-1.648266515625,80512,-64.59833526611328,0.0007031058776192367,186,-53.33000564575195,0.0008459126528049375,64,29,7.081910133361816
85443,1258.0,-1.6335741323529414,85544,15.293157577514648,0.0004521538794506341,360,-46.07415008544922,0.0008459126528049375,68,29,3.6748576164245605
90475,1258.0,-1.6112232638888888,90576,-34.67424392700195,0.000913564523216337,526,-34.73887634277344,0.0008459126528049375,72,29,8.544170379638672
95507,1258.0,-1.5897206315789472,95608,-19.25830078125,0.0009865857427939773,693,-25.300668716430664,0.0008459126528049375,76,29,12.363868713378906
