rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,time/time_elapsed
1258.0,0.01721506007015705,-4.825256,5032,4,-169.40164184570312,4931,32,-121.35757446289062,0.0008459126528049375,2.05780029296875,153
1258.0,0.0008459342061541975,-3.780373,10064,8,-49.19207000732422,9963,32,-125.92276763916016,0.0008459126528049375,4.681883811950684,309
1258.0,0.001043084659613669,-3.108200333333333,15096,12,-24.601032257080078,14995,32,-121.39557647705078,0.0008459126528049375,2.550826072692871,464
1258.0,0.0017686939099803567,-2.7511144375,20128,16,-36.95436477661133,20027,32,-100.27519989013672,0.0008459126528049375,5.978708267211914,619
1258.0,0.0008968207985162735,-2.53304955,25160,20,-28.976282119750977,25059,32,-87.63519287109375,0.0008459126528049375,4.241125106811523,4
1258.0,0.0005428369622677565,-2.3926859166666667,30192,24,17.44367218017578,30091,32,-76.6258316040039,0.0008459126528049375,1.794745922088623,160
1258.0,0.0008223833283409476,-2.2765035,35224,28,57.75589370727539,35123,32,-59.546234130859375,0.0008459126528049375,4.769918441772461,316
1258.0,0.0005753625300712883,-2.17347571875,40256,32,26.043149948120117,40155,32,-54.86335754394531,0.0008459126528049375,1.7771174907684326,472
1258.0,0.0005511335912160575,-2.1010140277777776,45288,36,70.79100036621094,45187,32,-50.80952453613281,0.0008459126528049375,1.8044813871383667,629
1258.0,0.0004552280006464571,-2.0466618999999997,50320,40,-45.682044982910156,50219,31,-47.5328369140625,0.0008459126528049375,2.4259181022644043,10
1258.0,0.000628445646725595,-2.003631977272727,55352,44,-31.60630226135254,55251,31,-33.384788513183594,0.0008459126528049375,2.9316868782043457,169
1258.0,0.0003495530690997839,-1.959954625,60384,48,0.12805473804473877,60283,31,-27.0894718170166,0.0008459126528049375,2.0955862998962402,329
1258.0,0.00023169370251707733,-1.92661625,65416,52,21.861221313476562,65315,31,-21.858312606811523,0.0008459126528049375,2.1417574882507324,490
1258.0,0.00031976078753359616,-1.9018592857142858,70448,56,62.28063201904297,70347,31,-14.68793773651123,0.0008459126528049375,2.8263559341430664,651
1258.0,0.0003702762187458575,-1.8664959666666663,75480,60,-87.18878936767578,75379,29,-7.876589775085449,0.0008459126528049375,1.7331374883651733,16
1258.0,0.0004298741987440735,-1.841508484375,80512,64,-29.98892593383789,80411,29,-5.407909393310547,0.0008459126528049375,2.174745798110962,189
1258.0,0.0004601256223395467,-1.8223888676470588,85544,68,-28.60047149658203,85443,28,-0.3088587820529938,0.0008459126528049375,2.8359105587005615,366
1258.0,0.0005712280981242657,-1.8054376944444444,90576,72,35.72340393066406,90475,28,1.6718083620071411,0.0008459126528049375,2.927432060241699,543
