time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,1,4143,,,,,,,,,,,,,
1024,0,2,2488,0.022778038,0.2794189453125,-0.34873855113983154,-43.99777388572693,-0.04081972315907478,16,0.2,-0.036082470207475126,1.0006725788116455,0.0004092704424510632,0.11392854231962701,,
1536,0,3,2277,0.019017946,0.2506103515625,0.1592234969139099,-44.0098443031311,-0.05952290818095207,32,0.2,-0.032399908581282943,1.000835657119751,0.0004092704424510632,0.0028105431301810313,1258.0,-2.537404
2048,0,4,2197,0.018943463,0.2783203125,0.004551887512207031,-44.01094114780426,-0.03179445117712021,48,0.2,-0.02753981572459452,1.0006606578826904,0.0004092704424510632,0.006360456420225091,1258.0,-2.537404
2560,1,5,2127,0.021101259,0.303955078125,0.08941221237182617,-43.99459135532379,-0.03949778899550438,64,0.2,-0.028502003202447668,0.9999259114265442,0.0004092704424510632,0.004488866266910918,1258.0,-2.5507275
3072,1,6,2086,0.016533557,0.26416015625,-0.004771590232849121,-43.972304701805115,-0.04727388173341751,80,0.2,-0.029382089502178133,0.9991465210914612,0.0004092704424510632,0.01179353438783437,1258.0,-2.5507275
3584,1,7,2049,0.018875463,0.291259765625,0.08216476440429688,-43.97774136066437,-0.05376658961176872,96,0.2,-0.03038717369781807,1.0007344484329224,0.0004092704424510632,0.002820186367898714,1258.0,-2.5507275
4096,2,8,2021,0.01626201,0.2452392578125,0.10506892204284668,-44.01958608627319,-0.028684532269835472,112,0.2,-0.02377274795435369,1.0015820264816284,0.0004092704424510632,0.0026719611705630086,1258.0,-2.5112106666666665
4608,2,9,1996,0.020518733,0.292724609375,0.020656287670135498,-44.021989941596985,-0.03360554575920105,128,0.2,-0.02795623328711372,1.0006940364837646,0.0004092704424510632,0.02150386688299477,1258.0,-2.5112106666666665
5120,2,10,1992,0.017909229,0.24072265625,0.29549169540405273,-43.998547434806824,-0.02655491791665554,144,0.2,-0.022146430681459606,1.0011292695999146,0.0004092704424510632,0.003740903477591928,1258.0,-2.5094559999999997
5632,2,11,1985,0.015449654,0.20703125,0.04388701915740967,-43.98457467556,-0.014746852219104767,160,0.2,-0.0197300736035686,0.9989996552467346,0.0004092704424510632,0.02886119863251224,1258.0,-2.5094559999999997
6144,3,12,1977,0.014365535,0.222900390625,0.4995291233062744,-43.91748857498169,-0.023590095341205597,176,0.2,-0.01753695802472066,0.9977664947509766,0.0004092704424510632,0.0032998744027281646,1258.0,-2.5094559999999997
6656,3,13,1970,0.0131423585,0.212890625,0.18245607614517212,-43.89510715007782,-0.03603559732437134,192,0.2,-0.025379851656907704,0.9968999624252319,0.0004092704424510632,0.0020255501367500983,1258.0,-2.5184331999999996
7168,3,14,1958,0.018377073,0.2362060546875,0.04557394981384277,-43.86089098453522,-0.009640591219067574,208,0.2,-0.02174306512461044,0.9959238767623901,0.0004092704424510632,0.03832931851502508,1258.0,-2.5184331999999996
7680,3,15,1950,0.019814711,0.243896484375,0.3280349373817444,-43.853036522865295,-0.03216978907585144,224,0.2,-0.023804170850780793,0.9964658617973328,0.0004092704424510632,0.003021610256837448,1258.0,-2.5201126666666664
8192,4,16,1945,0.019518206,0.2510986328125,0.1306455135345459,-43.840673089027405,-0.0031273122876882553,240,0.2,-0.02468017476348905,0.9947620630264282,0.0004092704424510632,0.05012416071258485,1258.0,-2.5201126666666664
8704,4,17,1941,0.017002521,0.2503662109375,0.581317663192749,-43.79119324684143,-0.030470000579953194,256,0.2,-0.02496003887790721,0.9935867786407471,0.0004092704424510632,0.004043674576678313,1258.0,-2.5201126666666664
9216,4,18,1941,0.0154600665,0.208251953125,0.34400856494903564,-43.75846743583679,-0.02884816937148571,272,0.2,-0.022604734549531713,0.9926020503044128,0.0004092704424510632,0.0026433181410538964,1258.0,-2.5365038571428573
