time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,1,4055,,,,,,,,,,,,,
1024,0,2,2270,0.016222466,0.2545166015625,-0.8219677209854126,-43.987911224365234,-0.04749513790011406,16,0.2,-0.02790947470930405,0.9998523592948914,0.0004092704424510632,0.09510303096976713,,
1536,0,3,1982,0.022581246,0.2802734375,-0.014659762382507324,-43.97407901287079,-0.03676929697394371,32,0.2,-0.030575307260733098,0.9994198679924011,0.0004092704424510632,0.003727948758751154,1258.0,-2.607809
2048,1,4,1866,0.019749958,0.2723388671875,0.027169466018676758,-43.95719909667969,-0.027928844094276428,48,0.2,-0.029493450027075596,0.9987086057662964,0.0004092704424510632,0.004229247417242732,1258.0,-2.607809
2560,1,5,1817,0.01936586,0.31005859375,0.03607279062271118,-43.92065358161926,-0.04253491014242172,64,0.2,-0.03315581279457547,0.9970740079879761,0.0004092704424510632,0.004990482426364906,1258.0,-2.672405
3072,1,6,1810,0.011806715,0.1875,0.012409210205078125,-43.87828600406647,-0.012334910221397877,80,0.2,-0.018897813541116193,0.9961532950401306,0.0004092704424510632,0.005099797424918506,1258.0,-2.672405
3584,1,7,1811,0.02321107,0.306396484375,0.015188097953796387,-43.852097511291504,-0.04872909188270569,96,0.2,-0.030681938776979223,0.9954919219017029,0.0004092704424510632,0.004489851729886141,1258.0,-2.672405
4096,2,8,1812,0.015219889,0.217041015625,0.057288944721221924,-43.85061478614807,-0.024638909846544266,112,0.2,-0.02485564077505842,0.9962645769119263,0.0004092704424510632,0.0025788077764445916,1258.0,-2.6099316666666668
4608,2,9,1813,0.017033052,0.262451171875,0.00812995433807373,-43.86970233917236,-0.04359770938754082,128,0.2,-0.027581537084188312,0.9964374303817749,0.0004092704424510632,0.012316646869294345,1258.0,-2.6099316666666668
5120,2,10,1812,0.014780335,0.225830078125,0.12758296728134155,-43.86719226837158,-0.02937893196940422,144,0.2,-0.02061238867463544,0.9963902831077576,0.0004092704424510632,0.003219592326786369,1258.0,-2.575809
5632,3,11,1811,0.017864885,0.2618408203125,0.017818927764892578,-43.85407495498657,-0.028575118631124496,160,0.2,-0.02350659388503118,0.9953522086143494,0.0004092704424510632,0.017782755516236648,1258.0,-2.575809
6144,3,12,1809,0.01675891,0.2708740234375,0.41677242517471313,-43.83234417438507,-0.027645766735076904,176,0.2,-0.023426453437423334,0.9958806037902832,0.0004092704424510632,0.0032841324427863583,1258.0,-2.575809
6656,3,13,1810,0.015078917,0.22412109375,0.1508692502975464,-43.86262059211731,-0.03136945143342018,192,0.2,-0.022567528387298808,0.9966621994972229,0.0004092704424510632,0.002631519422720885,1258.0,-2.5445986
7168,3,14,1803,0.01863676,0.289794921875,0.03096616268157959,-43.865416526794434,-0.017239175736904144,208,0.2,-0.02662012499058619,0.9963619709014893,0.0004092704424510632,0.025384485285030678,1258.0,-2.5445986
7680,4,15,1802,0.017263167,0.312744140625,0.4230106472969055,-43.87300407886505,-0.047935742884874344,224,0.2,-0.03259779229119886,0.9974789023399353,0.0004092704424510632,0.005003218357160222,1258.0,-2.5065296666666668
8192,4,16,1799,0.019292988,0.2716064453125,0.12623482942581177,-43.9037891626358,-0.02626539021730423,240,0.2,-0.024206225643865764,0.998045802116394,0.0004092704424510632,0.032331490016076714,1258.0,-2.5065296666666668
8704,4,17,1801,0.017475544,0.2540283203125,0.474970281124115,-43.93230748176575,-0.045113008469343185,256,0.2,-0.029321074929612223,0.9999938607215881,0.0004092704424510632,0.003526090455125086,1258.0,-2.5065296666666668
9216,5,18,1800,0.016126541,0.239990234375,-0.008108139038085938,-43.985132813453674,-0.03760505095124245,272,0.2,-0.027182593301404268,1.0012552738189697,0.0004092704424510632,0.0030953377681726124,1258.0,-2.521001571428571
9728,5,19,1796,0.022660717,0.2572021484375,0.05275028944015503,-44.00666785240173,-0.030939821153879166,288,0.2,-0.026168277850956656,1.0016080141067505,0.0004092704424510632,0.035740549967158586,1258.0,-2.521001571428571
10240,5,20,1798,0.028335737,0.2923583984375,-0.35547494888305664,-44.03146433830261,-0.027852317318320274,304,0.2,-0.027444950566859916,1.003053903579712,0.0004092704424510632,0.003776474881306058,1258.0,-2.5274912499999997
10752,5,21,1804,0.018909924,0.239501953125,0.278713583946228,-44.05685901641846,-0.016409484669566154,320,0.2,-0.023414706403855234,1.0025935173034668,0.0004092704424510632,0.040694552240893245,1258.0,-2.5274912499999997
11264,6,22,1803,0.014662647,0.203857421875,0.37726664543151855,-44.04919159412384,-0.02591751329600811,336,0.2,-0.02127961890073493,1.0031155347824097,0.0004092704424510632,0.007274362789758015,1258.0,-2.5274912499999997
11776,6,23,1804,0.013932336,0.2188720703125,0.1547582745552063,-44.08122646808624,-0.031469155102968216,352,0.2,-0.02055753709282726,1.0043922662734985,0.0004092704424510632,0.003591307406168198,1258.0,-2.5200698888888886
12288,6,24,1804,0.03250943,0.3070068359375,0.12750351428985596,-44.10392951965332,-0.021650023758411407,368,0.2,-0.027872938488144428,1.0046733617782593,0.0004092704424510632,0.0314305360079743,1258.0,-2.5200698888888886
12800,7,25,1806,0.01866837,0.239990234375,-1.3243675231933594,-44.10016369819641,-0.03286866098642349,384,0.2,-0.023784633638570085,1.0043922662734985,0.0004092704424510632,0.005616274320345838,1258.0,-2.5214449999999995
13312,7,26,1809,0.023417676,0.2838134765625,0.1917906403541565,-44.078131318092346,-0.0425347164273262,400,0.2,-0.029237944763735868,1.0031322240829468,0.0004092704424510632,0.03409855091013014,1258.0,-2.5214449999999995
13824,7,27,1812,0.017907739,0.2490234375,0.27257490158081055,-44.05229926109314,-0.027262156829237938,416,0.2,-0.027419974969234318,1.0033190250396729,0.0004092704424510632,0.007386870885966346,1258.0,-2.5214449999999995
14336,7,28,1814,0.025137596,0.3492431640625,0.6524085998535156,-44.0607670545578,-0.045347005128860474,432,0.2,-0.03806874749716371,1.0036163330078125,0.0004092704424510632,0.006148495711386204,1258.0,-2.5122241818181816
14848,8,29,1816,0.040666997,0.3369140625,0.4861869215965271,-44.067126393318176,-0.025404108688235283,448,0.2,-0.026524938046350144,1.0036845207214355,0.0004092704424510632,0.020473553013289347,1258.0,-2.5122241818181816
15360,8,30,1815,0.018465713,0.2611083984375,-0.6238492727279663,-44.07774770259857,-0.04185157269239426,464,0.2,-0.024871967121725902,1.0045877695083618,0.0004092704424510632,0.004145753606280778,1258.0,-2.4957844999999996
15872,8,31,1815,0.020814715,0.24853515625,0.300301730632782,-44.081557393074036,-0.025824323296546936,480,0.2,-0.023005611110420432,1.00341796875,0.0004092704424510632,0.04459036246407777,1258.0,-2.4957844999999996
16384,9,32,1815,0.016052578,0.2532958984375,-0.24363553524017334,-44.02421569824219,-0.04151491820812225,496,0.2,-0.02942420297767967,1.0012538433074951,0.0004092704424510632,0.005577236435783561,1258.0,-2.4846011538461537
16896,9,33,1811,0.021446534,0.2747802734375,0.3989884853363037,-43.98915636539459,-0.010101670399308205,512,0.2,-0.027760897151893005,1.0018932819366455,0.0004092704424510632,0.0510425140382722,1258.0,-2.4846011538461537
