time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,1,4268,,,,,,,,,,,,,
1024,0,2,2499,0.016589839,0.2294921875,-1.0556161403656006,-43.98099076747894,-0.032861895859241486,16,0.2,-0.02697924294625409,0.9993485808372498,0.0004092704424510632,0.19238902295546723,,
1536,0,3,2256,0.022460021,0.29638671875,-0.10046732425689697,-43.96641421318054,-0.042124200612306595,32,0.2,-0.032483561284607276,0.9996125102043152,0.0004092704424510632,0.004049122515425552,1258.0,-2.381878
2048,0,4,2155,0.017968774,0.2646484375,-0.006984710693359375,-43.98026084899902,-0.038406480103731155,48,0.2,-0.02372918665059842,0.9998493194580078,0.0004092704424510632,0.009674514745711349,1258.0,-2.381878
2560,1,5,2048,0.017677717,0.29541015625,0.0009586215019226074,-43.984426736831665,-0.02779063954949379,64,0.2,-0.027813706576125696,1.0003340244293213,0.0004092704424510632,0.004223642732540611,1258.0,-2.506489
3072,1,6,2010,0.016945051,0.251220703125,0.0039784908294677734,-44.02038252353668,-0.03483648598194122,80,0.2,-0.027937138103879988,1.0022492408752441,0.0004092704424510632,0.003966603697335813,1258.0,-2.506489
3584,1,7,1979,0.020381607,0.3143310546875,0.007627427577972412,-44.07614827156067,-0.03271331265568733,96,0.2,-0.028283059888053685,1.0035470724105835,0.0004092704424510632,0.004124257378862239,1258.0,-2.506489
4096,2,8,1957,0.015222796,0.236328125,0.020936310291290283,-44.09059131145477,-0.0237289946526289,112,0.2,-0.02535615678061731,1.0033549070358276,0.0004092704424510632,0.0029050659722997807,1258.0,-2.5006980000000003
4608,2,9,1940,0.014956693,0.235107421875,0.005311131477355957,-44.09163224697113,-0.02635444700717926,128,0.2,-0.022571597823116463,1.0037060976028442,0.0004092704424510632,0.004331988769990858,1258.0,-2.5006980000000003
5120,2,10,1941,0.017256513,0.272216796875,0.03553354740142822,-44.09093952178955,-0.05232594534754753,144,0.2,-0.028409269303665496,1.0032212734222412,0.0004092704424510632,0.0031913198181428015,1258.0,-2.4850777500000003
5632,2,11,1946,0.022881914,0.27197265625,0.026988208293914795,-44.052608013153076,-0.02377932332456112,160,0.2,-0.02379987762105884,1.0012925863265991,0.0004092704424510632,0.00847144408908207,1258.0,-2.4850777500000003
6144,3,12,1947,0.02342356,0.3282470703125,0.12002110481262207,-43.988160848617554,-0.02640555053949356,176,0.2,-0.03064628815627657,0.9992023706436157,0.0004092704424510632,0.0042117729972233064,1258.0,-2.4850777500000003
6656,3,13,1951,0.012472087,0.1951904296875,0.1517307162284851,-43.940847396850586,-0.033374588936567307,192,0.2,-0.02106356789590791,0.9986151456832886,0.0004092704424510632,0.0021040404553787084,1258.0,-2.491194
7168,3,14,1954,0.018016145,0.2857666015625,0.02534198760986328,-43.910823702812195,-0.03556186333298683,208,0.2,-0.026557549586868845,0.9971144199371338,0.0004092704424510632,0.013728829857427627,1258.0,-2.491194
7680,3,15,1958,0.015142815,0.2388916015625,0.350225031375885,-43.86336898803711,-0.03802342712879181,224,0.2,-0.02625956729752943,0.9959441423416138,0.0004092704424510632,0.0024277884149341844,1258.0,-2.451934
8192,4,16,1959,0.017972589,0.273193359375,0.13459080457687378,-43.84566628932953,-0.027111303061246872,240,0.2,-0.028235192061401904,0.9961106181144714,0.0004092704424510632,0.0185980093665421,1258.0,-2.451934
8704,4,17,1960,0.013165314,0.205078125,0.7053736448287964,-43.86955511569977,-0.02692878618836403,256,0.2,-0.019616252335254103,0.9975160956382751,0.0004092704424510632,0.002655398056958802,1258.0,-2.451934
9216,4,18,1959,0.013784746,0.207275390625,0.15265178680419922,-43.90653955936432,-0.037069983780384064,272,0.2,-0.024752873621764593,0.9978289604187012,0.0004092704424510632,0.0027838362148031592,1258.0,-2.447631428571429
9728,4,19,1958,0.021556716,0.2940673828125,0.14873003959655762,-43.90723478794098,-0.027743317186832428,288,0.2,-0.030673744768137112,0.9981388449668884,0.0004092704424510632,0.022879069292685017,1258.0,-2.447631428571429
10240,5,20,1955,0.012936349,0.1822509765625,0.43004822731018066,-43.90875291824341,-0.030938468873500824,304,0.2,-0.01834748376859352,0.9979714751243591,0.0004092704424510632,0.0036772507010027766,1258.0,-2.459665375
10752,5,21,1953,0.013420217,0.204833984375,0.2631648778915405,-43.9146066904068,-0.019168833270668983,320,0.2,-0.020941322844009846,0.998784601688385,0.0004092704424510632,0.022789302107412368,1258.0,-2.459665375
11264,5,22,1946,0.01893584,0.2779541015625,0.5785959959030151,-43.928173899650574,-0.035052649676799774,336,0.2,-0.023243739793542773,0.9987854957580566,0.0004092704424510632,0.0036713237859657966,1258.0,-2.459665375
11776,6,23,1942,0.01949494,0.2962646484375,0.3889169692993164,-43.92302656173706,-0.04597172513604164,352,0.2,-0.03420642128912732,0.9983864426612854,0.0004092704424510632,0.0029571717823273502,1258.0,-2.450292666666667
12288,6,24,1940,0.026603846,0.3116455078125,0.22974425554275513,-43.891804575920105,-0.027714334428310394,368,0.2,-0.029318517917999998,0.9970172643661499,0.0004092704424510632,0.02323861568584107,1258.0,-2.450292666666667
12800,6,25,1939,0.016425937,0.234375,-0.49616754055023193,-43.876864552497864,-0.027380898594856262,384,0.2,-0.0221264376596082,0.9977701306343079,0.0004092704424510632,0.007018327829428017,1258.0,-2.4550734000000003
13312,6,26,1938,0.019196268,0.27294921875,0.3448328375816345,-43.88436841964722,-0.015492157079279423,400,0.2,-0.025333839730592445,0.9970844388008118,0.0004092704424510632,0.02693770726909861,1258.0,-2.4550734000000003
