time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,4223,512,,,,,,,,,,,,,
2,0,2301,1024,0.017523821,-0.03025100670856773,0.2,-3.9527950286865234,-0.04297158494591713,1.0011295080184937,0.0004092704424510632,0.1691621512036363,0.253662109375,16,-44.00725340843201,,
3,0,2004,1536,0.019703854,-0.02772625975194387,0.2,-0.013132214546203613,-0.03722591698169708,1.002089262008667,0.0004092704424510632,0.003888280138198752,0.264404296875,32,-44.03656828403473,1258.0,-2.533885
4,1,1876,2048,0.021662626,-0.0262209857464768,0.2,0.00830376148223877,-0.025366630405187607,1.0016725063323975,0.0004092704424510632,0.0072725928912404925,0.294189453125,48,-44.04456686973572,1258.0,-2.533885
5,1,1823,2560,0.013928274,-0.020512718940153718,0.2,-0.0005714893341064453,-0.032861899584531784,0.9994102716445923,0.0004092704424510632,0.0045894240465713665,0.2032470703125,64,-44.004658699035645,1258.0,-2.4288040000000004
6,1,1789,3072,0.019990524,-0.025950743875000626,0.2,0.02258521318435669,-0.037183936685323715,0.9990789294242859,0.0004092704424510632,0.004087417815753724,0.2606201171875,80,-43.95631814002991,1258.0,-2.4288040000000004
7,2,1768,3584,0.022786813,-0.03164813306648284,0.2,0.005335509777069092,-0.044275250285863876,0.9991133809089661,0.0004092704424510632,0.0040050131756288465,0.3582763671875,96,-43.95640683174133,1258.0,-2.4288040000000004
8,2,1750,4096,0.019145845,-0.03214478176960256,0.2,0.010265052318572998,-0.04388393834233284,1.0006766319274902,0.0004092704424510632,0.002041827410721453,0.2862548828125,112,-43.97481417655945,1258.0,-2.4825603333333337
9,2,1737,4608,0.015785938,-0.029594997293315828,0.2,0.0028748512268066406,-0.032069284468889236,0.9989671111106873,0.0004092704424510632,0.004820600683160592,0.266357421875,128,-43.985899448394775,1258.0,-2.4825603333333337
10,2,1724,5120,0.014939129,-0.02394732041284442,0.2,0.010399103164672852,-0.035537634044885635,0.9981809854507446,0.0004092704424510632,0.0034037049117614515,0.2340087890625,144,-43.93164920806885,1258.0,-2.4619145000000002
11,3,1714,5632,0.01757784,-0.02264598142937757,0.2,0.0060517191886901855,-0.017895061522722244,0.99599289894104,0.0004092704424510632,0.010541662923060358,0.254638671875,160,-43.896891355514526,1258.0,-2.4619145000000002
