time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,4240,512,,,,,,,,,,,,,
2,0,2608,1024,0.015135544,-0.029562705341959372,0.2,-1.0057199001312256,-0.040710803121328354,0.9988347887992859,0.0004092704424510632,0.19082760262972442,0.229736328125,16,-43.96832299232483,,
3,0,2309,1536,0.01579102,-0.024391701430431567,0.2,0.09788656234741211,-0.04631153121590614,0.998748242855072,0.0004092704424510632,0.0031905253636068664,0.2320556640625,32,-43.94483399391174,1258.0,-2.257715
4,0,2202,2048,0.019720616,-0.0239089427923318,0.2,-0.007167339324951172,-0.028738398104906082,0.9993501901626587,0.0004092704424510632,0.013849530427251011,0.2646484375,48,-43.953872203826904,1258.0,-2.257715
5,1,2148,2560,0.016315218,-0.0267723515862599,0.2,0.02393031120300293,-0.02485049143433571,0.9978896379470825,0.0004092704424510632,0.003339813403727021,0.2677001953125,64,-43.94716119766235,1258.0,-2.4021345
6,1,2122,3072,0.015427189,-0.027394516408094205,0.2,-0.0023764371871948242,-0.04766998067498207,0.9973379373550415,0.0004092704424510632,0.006704368410282768,0.2666015625,80,-43.90812063217163,1258.0,-2.4021345
7,1,2108,3584,0.018211551,-0.028915318442159332,0.2,0.009642422199249268,-0.04052680358290672,0.9987038373947144,0.0004092704424510632,0.0034259725180163514,0.282958984375,96,-43.91565299034119,1258.0,-2.4021345
8,1,2091,4096,0.0141422935,-0.02419941955304239,0.2,0.021743595600128174,-0.040865130722522736,1.0003727674484253,0.0004092704424510632,0.002234736060927389,0.2353515625,112,-43.97113275527954,1258.0,-2.444566
9,2,2072,4608,0.017407527,-0.02786876326717902,0.2,0.005645930767059326,-0.03714953735470772,1.0009043216705322,0.0004092704424510632,0.004374589705548715,0.2493896484375,128,-44.001728534698486,1258.0,-2.444566
10,2,2053,5120,0.018017715,-0.028661070275120437,0.2,0.017737507820129395,-0.04059432074427605,1.0024750232696533,0.0004092704424510632,0.0028675726243818644,0.276611328125,144,-44.03134524822235,1258.0,-2.44898625
11,2,2041,5632,0.016474176,-0.021589532814687118,0.2,0.003443777561187744,-0.02743356302380562,1.000830054283142,0.0004092704424510632,0.005487374946824275,0.2132568359375,160,-44.04333531856537,1258.0,-2.44898625
12,3,2039,6144,0.02128798,-0.03395476145669818,0.2,0.017937660217285156,-0.03754205256700516,1.000737190246582,0.0004092704424510632,0.0050919062123284675,0.3077392578125,176,-43.996631383895874,1258.0,-2.44898625
13,3,2038,6656,0.01672219,-0.024733838115935214,0.2,0.014206230640411377,-0.035011131316423416,0.9995681643486023,0.0004092704424510632,0.0023109453031793237,0.2374267578125,192,-43.98842704296112,1258.0,-2.4353252
14,3,2038,7168,0.019358344,-0.026697704146499746,0.2,0.0022898316383361816,-0.016278155148029327,0.9978816509246826,0.0004092704424510632,0.0144099400495179,0.2781982421875,208,-43.938422441482544,1258.0,-2.4353252
15,3,2032,7680,0.04116471,-0.03606553323334083,0.2,0.02937394380569458,-0.05548097938299179,0.9957504272460938,0.0004092704424510632,0.00403334824659396,0.361328125,224,-43.87913620471954,1258.0,-2.465439
16,4,2018,8192,0.021710258,-0.028106139376177453,0.2,0.00660395622253418,-0.03140363097190857,0.9937738180160522,0.0004092704424510632,0.02107404195703566,0.2691650390625,240,-43.8138393163681,1258.0,-2.465439
17,4,2007,8704,0.014827253,-0.022232408373383805,0.2,0.26507848501205444,-0.03155478835105896,0.9923264980316162,0.0004092704424510632,0.004050806281156838,0.201416015625,256,-43.761763215065,1258.0,-2.465439
18,4,2000,9216,0.018017262,-0.02383757714414969,0.2,0.13154226541519165,-0.030060667544603348,0.9912867546081543,0.0004092704424510632,0.0024876040042727254,0.2357177734375,272,-43.71581983566284,1258.0,-2.4507172857142856
19,4,1996,9728,0.025488615,-0.02358027566515375,0.2,0.008200466632843018,-0.021285656839609146,0.992806613445282,0.0004092704424510632,0.029218851996120065,0.2523193359375,288,-43.719258546829224,1258.0,-2.4507172857142856
20,5,1997,10240,0.017936837,-0.030183322000084445,0.2,0.4785764217376709,-0.03308746591210365,0.9911413788795471,0.0004092704424510632,0.0023732403096801136,0.24609375,304,-43.73750174045563,1258.0,-2.45807375
21,5,1993,10752,0.022667695,-0.0275197027658578,0.2,0.10992664098739624,-0.025354158133268356,0.9897242784500122,0.0004092704424510632,0.029886405798606575,0.283447265625,320,-43.670820116996765,1258.0,-2.45807375
22,5,1986,11264,0.015641527,-0.029493375681340694,0.2,0.5697548389434814,-0.04309234395623207,0.9898821115493774,0.0004092704424510632,0.004369120586488862,0.23876953125,336,-43.64964938163757,1258.0,-2.45807375
23,5,1979,11776,0.015919523,-0.0231116859940812,0.2,0.28774815797805786,-0.04466961324214935,0.9908903241157532,0.0004092704424510632,0.003560127748642117,0.200927734375,352,-43.6714551448822,1258.0,-2.4719789999999997
24,6,1974,12288,0.02682544,-0.030531578726368025,0.2,0.017997682094573975,-0.03393255174160004,0.9904693365097046,0.0004092704424510632,0.03728827985469252,0.279296875,368,-43.68664371967316,1258.0,-2.4719789999999997
25,6,1971,12800,0.017805418,-0.02576890986529179,0.2,0.42089253664016724,-0.03459068760275841,0.9914653301239014,0.0004092704424510632,0.002783070354780648,0.2283935546875,384,-43.68319129943848,1258.0,-2.480615
26,6,1970,13312,0.022287203,-0.02359493254334666,0.2,0.28537917137145996,-0.016467396169900894,0.9923451542854309,0.0004092704424510632,0.03502626693807542,0.2412109375,400,-43.72701716423035,1258.0,-2.480615
27,7,1968,13824,0.019585427,-0.027352812292519957,0.2,0.3938426971435547,-0.037047985941171646,0.9926716685295105,0.0004092704424510632,0.007023449812550098,0.2291259765625,416,-43.73347997665405,1258.0,-2.480615
28,7,1964,14336,0.015120057,-0.026787764771142974,0.2,0.26994788646698,-0.024167519062757492,0.9904595613479614,0.0004092704424510632,0.0038282534587779082,0.23583984375,432,-43.719491481781006,1258.0,-2.4746122727272724
29,7,1959,14848,0.03249066,-0.023656942241359502,0.2,0.2162877321243286,-0.00820967461913824,0.9892972707748413,0.0004092704424510632,0.023680750135099515,0.2911376953125,448,-43.642606139183044,1258.0,-2.4746122727272724
30,7,1952,15360,0.015906613,-0.022175957885337994,0.2,-1.521751880645752,-0.0255257748067379,0.9910984635353088,0.0004092704424510632,0.005462899294798262,0.214599609375,464,-43.65790605545044,1258.0,-2.485285083333333
31,8,1946,15872,0.022349278,-0.0285231493471656,0.2,0.1478613018989563,-0.02239127829670906,0.9928107857704163,0.0004092704424510632,0.037875673500820994,0.28857421875,480,-43.71599364280701,1258.0,-2.485285083333333
32,8,1943,16384,0.031017257,-0.030697409049025737,0.2,-0.16956722736358643,-0.04056087136268616,0.9929277896881104,0.0004092704424510632,0.004919109574984759,0.3323974609375,496,-43.749229192733765,1258.0,-2.482753692307692
33,8,1940,16896,0.026208583,-0.033138183076516725,0.2,0.4737433195114136,-0.027504319325089455,0.9933686256408691,0.0004092704424510632,0.03861550509463996,0.3450927734375,512,-43.75289237499237,1258.0,-2.482753692307692
34,8,1938,17408,0.014864163,-0.020689770972239785,0.2,-0.5279264450073242,-0.020016785711050034,0.9946290850639343,0.0004092704424510632,0.006667794616078027,0.2254638671875,528,-43.77758777141571,1258.0,-2.482753692307692
35,9,1937,17920,0.015361636,-0.025788235856452957,0.2,0.12086135149002075,-0.035114586353302,0.9946556091308594,0.0004092704424510632,0.002427212595648598,0.2392578125,544,-43.80302822589874,1258.0,-2.4909004285714285
36,9,1937,18432,0.020733736,-0.02298905441421084,0.2,0.16369104385375977,-0.024103228002786636,0.9953410029411316,0.0004092704424510632,0.04932685353560373,0.194580078125,560,-43.80518341064453,1258.0,-2.4909004285714285
37,9,1935,18944,0.019096792,-0.025409411086002365,0.2,-0.27236998081207275,-0.04003167524933815,0.9957674741744995,0.0004092704424510632,0.00517311884323135,0.2550048828125,576,-43.824209213256836,1258.0,-2.484736
