time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
18,5,1711,9216,0.020164695,-0.023877713858382776,0.2,0.5489896535873413,-0.035723116248846054,0.9920305609703064,0.0004092704424510632,0.002788419591524871,0.234130859375,272,-43.723015546798706,1258.0,-2.5058985714285713
19,5,1705,9728,0.019972617,-0.023569116601720452,0.2,0.4196814298629761,-0.01743253506720066,0.990689754486084,0.0004092704424510632,0.023002633883152157,0.2421875,288,-43.703646183013916,1258.0,-2.5058985714285713
20,6,1698,10240,0.021271365,-0.029485545470379293,0.2,-0.5857871770858765,-0.04115326702594757,0.989956259727478,0.0004092704424510632,0.007639405128429644,0.269287109375,304,-43.661585688591,1258.0,-2.4884456249999998
21,6,1692,10752,0.026212817,-0.02775108491186984,0.2,0.48428863286972046,-0.01857328973710537,0.991249680519104,0.0004092704424510632,0.028971626074053347,0.2696533203125,320,-43.670100688934326,1258.0,-2.4884456249999998
22,6,1689,11264,0.022039581,-0.023012277713860385,0.2,0.18591904640197754,-0.026737120002508163,0.9928211569786072,0.0004092704424510632,0.006809962491388433,0.229248046875,336,-43.71369194984436,1258.0,-2.4884456249999998
23,6,1684,11776,0.014097853,-0.025534821703331545,0.2,0.6122714281082153,-0.02507135458290577,0.9932916760444641,0.0004092704424510632,0.003713800382683985,0.2393798828125,352,-43.74970483779907,1258.0,-2.476134333333333
24,7,1682,12288,0.020648867,-0.023426742700394243,0.2,0.46149498224258423,-0.023523850366473198,0.9922096729278564,0.0004092704424510632,0.019904747256077826,0.271240234375,368,-43.739990234375,1258.0,-2.476134333333333
25,7,1678,12800,0.013948496,-0.023165120161138475,0.2,-1.7011125087738037,-0.031322676688432693,0.9910555481910706,0.0004092704424510632,0.006947277026483789,0.2374267578125,384,-43.70115923881531,1258.0,-2.4690364
26,7,1675,13312,0.029685147,-0.03233215866202954,0.2,0.4470779299736023,-0.035697128623723984,0.9913041591644287,0.0004092704424510632,0.04455422965111211,0.327880859375,400,-43.681894183158875,1258.0,-2.4690364
27,8,1672,13824,0.018097792,-0.024376812361879274,0.2,0.4098320007324219,-0.0208701491355896,0.9918258190155029,0.0004092704424510632,0.005701045040041208,0.2349853515625,416,-43.69965326786041,1258.0,-2.4690364
28,8,1677,14336,0.023535114,-0.029055655570118688,0.2,0.7759895324707031,-0.042888253927230835,0.9912241697311401,0.0004092704424510632,0.00608571276825387,0.2830810546875,432,-43.6958954334259,1258.0,-2.480621727272727
29,8,1682,14848,0.027892888,-0.024477701110299677,0.2,0.6453450918197632,-0.024311473593115807,0.9901112914085388,0.0004092704424510632,0.012298268295126036,0.266845703125,448,-43.66617214679718,1258.0,-2.480621727272727
30,9,1685,15360,0.02113432,-0.026258141471771523,0.2,-3.13057804107666,-0.029225610196590424,0.9880375862121582,0.0004092704424510632,0.007964298842125572,0.2672119140625,464,-43.617143392562866,1258.0,-2.465673666666667
31,9,1690,15872,0.018650416,-0.024063225864665583,0.2,0.2840930223464966,-0.015098952688276768,0.9880779981613159,0.0004092704424510632,0.032681270327884704,0.22900390625,480,-43.57657778263092,1258.0,-2.465673666666667
32,9,1692,16384,0.015251658,-0.020340438131825067,0.2,0.3294299840927124,-0.029169578105211258,0.9872432351112366,0.0004092704424510632,0.0044010684650857,0.1927490234375,496,-43.57064867019653,1258.0,-2.4773764615384617
33,9,1695,16896,0.020184401,-0.028416460554581136,0.2,0.43509018421173096,-0.011424379423260689,0.9894450902938843,0.0004092704424510632,0.03492093033855781,0.2412109375,512,-43.58041965961456,1258.0,-2.4773764615384617
34,10,1698,17408,0.016434517,-0.02369986311532557,0.2,-0.17118775844573975,-0.03388536348938942,0.9906293153762817,0.0004092704424510632,0.003575350438040914,0.2047119140625,528,-43.6445472240448,1258.0,-2.4773764615384617
35,10,1693,17920,0.016801063,-0.024112080893246457,0.2,0.038147032260894775,-0.03259032964706421,0.9904393553733826,0.0004092704424510632,0.0023571177625854034,0.2210693359375,544,-43.66525948047638,1258.0,-2.4800195714285715
36,10,1688,18432,0.017027155,-0.02143526275176555,0.2,0.018874943256378174,-0.006424847990274429,0.9889757037162781,0.0004092704424510632,0.08766428916715086,0.223876953125,560,-43.63645136356354,1258.0,-2.4800195714285715
37,11,1683,18944,0.017937634,-0.022100848946138285,0.2,-0.10157811641693115,-0.022307727485895157,0.9883361458778381,0.0004092704424510632,0.008045845926972106,0.2286376953125,576,-43.60087549686432,1258.0,-2.472339666666667
38,11,1682,19456,0.02749189,-0.027475299997604452,0.2,0.5405635237693787,-0.01395801454782486,0.9896681308746338,0.0004092704424510632,0.07033847994171083,0.2371826171875,592,-43.60827851295471,1258.0,-2.472339666666667
39,11,1681,19968,0.018309847,-0.022895840666024014,0.2,0.025104284286499023,-0.030019382014870644,0.9890987277030945,0.0004092704424510632,0.010165346873691306,0.2103271484375,608,-43.6343799829483,1258.0,-2.472339666666667
40,12,1679,20480,0.017738774,-0.026284285355359316,0.2,-0.15091431140899658,-0.03811560943722725,0.9878072142601013,0.0004092704424510632,0.003821285099547822,0.230712890625,624,-43.59403145313263,1258.0,-2.4780630625
41,12,1676,20992,0.025818836,-0.02409432886634022,0.2,0.3287002444267273,-0.024582402780652046,0.9880478382110596,0.0004092704424510632,0.05337070260429755,0.1937255859375,640,-43.574756383895874,1258.0,-2.4780630625
42,12,1673,21504,0.013012605,-0.02035749121569097,0.2,-0.7040547132492065,-0.014940384775400162,0.9886385798454285,0.0004092704424510632,0.01061136218777392,0.2147216796875,656,-43.59210741519928,1258.0,-2.4835215294117643
43,13,1671,22016,0.016338985,-0.020230092341080308,0.2,0.5670585036277771,-0.02158447355031967,0.9891751408576965,0.0004092704424510632,0.04912248603068292,0.21044921875,672,-43.61155939102173,1258.0,-2.4835215294117643
44,13,1668,22528,0.02070637,-0.027873158222064376,0.2,-0.023574113845825195,-0.0384821817278862,0.9897022843360901,0.0004092704424510632,0.011161521688336506,0.2637939453125,688,-43.62382245063782,1258.0,-2.4835215294117643
45,13,1666,23040,0.02114429,-0.028557280747918412,0.2,0.31905293464660645,-0.032827116549015045,0.9911079406738281,0.0004092704424510632,0.00380659376969561,0.27734375,704,-43.650784850120544,1258.0,-2.4777941666666665
46,14,1664,23552,0.025537573,-0.024223653599619865,0.2,0.500333845615387,-0.011922318488359451,0.9912300705909729,0.0004092704424510632,0.05002367636188865,0.2353515625,720,-43.68208682537079,1258.0,-2.4777941666666665
47,14,1662,24064,0.022951059,-0.028673601453192532,0.2,-0.8313074111938477,-0.03073696792125702,0.9917150139808655,0.0004092704424510632,0.011623276979662478,0.2755126953125,736,-43.684162616729736,1258.0,-2.4817275263157894
48,14,1659,24576,0.016216263,-0.015212234109640121,0.2,0.5835530161857605,0.006309641525149345,0.9917269349098206,0.0004092704424510632,0.06517910270486027,0.1591796875,752,-43.69585180282593,1258.0,-2.4817275263157894
49,15,1658,25088,0.017652955,-0.027614068996626884,0.2,-0.3001896142959595,-0.032564256340265274,0.9916943311691284,0.0004092704424510632,0.012612981779966503,0.25341796875,768,-43.695596575737,1258.0,-2.4817275263157894
50,15,1657,25600,0.014854223,-0.025828985511907376,0.2,0.5735741853713989,-0.026672035455703735,0.9924325346946716,0.0004092704424510632,0.005159563428605907,0.2386474609375,784,-43.69861853122711,1258.0,-2.4827281
51,15,1656,26112,0.017955342,-0.021066867979243398,0.2,0.5569311380386353,-0.02351151406764984,0.9933473467826843,0.0004092704424510632,0.05009990697726607,0.2335205078125,800,-43.731425642967224,1258.0,-2.4827281
